outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
0,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242835178553,1.0405131555940001,0.8422551685139898,0.44886884306674,0.42716359647848795,0.239223315675682,-0.3080305574317087,1.0151930325833785,7;9;13;30
0,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242835178553,1.0405131555940001,0.8422551685139898,0.44886884306674,0.42716359647848795,0.239223315675682,-0.3080305574317087,1.0151930325833785,7;9;13;30
0,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7806242835178553,1.0405131555940001,0.8422551685139898,0.44886884306674,0.42716359647848795,0.239223315675682,-0.3080305574317087,1.0151930325833785,7;9;13;30
0,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7286010189805076,0.9706101595782533,0.7861246274013144,0.5348733168004751,0.4955087317417209,0.14607953693710754,-0.663325600871483,1.1166091527943742,29;28;28;30
0,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7286010189805076,0.9706101595782533,0.7861246274013144,0.5348733168004751,0.4955087317417209,0.14607953693710754,-0.663325600871483,1.1166091527943742,29;28;28;30
0,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7282398120630568,0.9706239808798286,0.7857349029211138,0.5352775896885597,0.4957210302717002,0.14784451322466413,-0.6694285622063814,1.1175403488627764,29;28;29;30
0,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6760064303710083,0.9157129040286489,0.7293776557434637,0.6016092092680212,0.5714072839417662,0.13352290641927272,-0.3860372454553687,1.0570890258705214,30;30;30;29
0,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6760064303710083,0.9157129040286489,0.7293776557434637,0.6016092092680212,0.5714072839417662,0.13352290641927272,-0.3860372454553687,1.0570890258705214,30;30;30;29
0,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6767773197673191,0.9144928793023243,0.7302094074479706,0.6008753640987067,0.5689035532306466,0.12087054455837357,-0.3581310042870704,1.0537942707316106,30;29;30;29
0,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6335708837170467,0.8671532379849457,0.683591790183469,0.6531704042097329,0.6249979628556739,0.12077948916069815,-0.3276775499780715,1.0469111460591132,26;30;29;28
0,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.633526480826262,0.8672725021125418,0.6835438816504525,0.6532972473373434,0.6249404837460542,0.12227222387367319,-0.33473148662312896,1.048155769639242,26;30;29;28
0,e2_lr0.0003_wd0.001,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6329317783355713,0.8662910936719367,0.6829022269426909,0.6539283317732937,0.6255254652174999,0.11979276726624676,-0.3278682782382069,1.0471886731528126,26;30;29;28
0,e3_floor0.1_curation0,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,False,42,2675.0,0.7850306875995386,1.0948091628255014,0.8470094615724045,0.5327608508442241,0.5203608621664698,0.5007288655432586,-2.348634985209323,1.3857540612927024,9;5;2;15
0,e3_floor0.1_curation1,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,True,42,2675.0,0.8208198544154659,1.142650139946453,0.8856242105162665,0.5278123608951715,0.5027955912373373,0.5581719345734498,-4.291898721543806,1.7701872709574704,9;5;2;6
0,e3_floor0.15_curation0,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,False,42,2675.0,0.7101486209512871,0.9919899242103527,0.7662153984165966,0.5814885893885415,0.5722233442313469,0.35810283373895097,-0.9709286489037962,1.1318543637846423,15;5;29;26
0,e3_floor0.15_curation1,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,True,42,2675.0,0.7910840931687401,1.0981022068939033,0.8535407881470725,0.5307139601331362,0.5063939484189539,0.48146439015753917,-3.377012921481407,1.606892104040941,9;5;2;6
0,e3_floor0.2_curation0,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,False,42,2675.0,0.6926653741676116,0.964114397165426,0.7473518359104484,0.5929830277748963,0.5759518567593935,0.3028927840295239,-0.8546224934518616,1.1201361321800087,15;5;29;26
0,e3_floor0.2_curation1,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,True,42,2675.0,0.7341129983135473,1.0199516141876215,0.7920717817238443,0.5605244449373366,0.5548170745615496,0.3755000086632845,-1.652965796030807,1.27383196521928,9;5;24;16
1,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.780135479178921,1.0298265501416843,0.8296105716203049,0.4681917067230016,0.44447833348495214,0.18886097029338156,-0.4063250464202669,1.0487235918973519,14;10;13;26
1,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.780135479178921,1.0298265501416843,0.8296105716203049,0.4681917067230016,0.44447833348495214,0.18886097029338156,-0.4063250464202669,1.0487235918973519,14;10;13;26
1,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.780135479178921,1.0298265501416843,0.8296105716203049,0.4681917067230016,0.44447833348495214,0.18886097029338156,-0.4063250464202669,1.0487235918973519,14;10;13;26
1,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328095512734195,0.9746025812410255,0.7792833000757943,0.5408168053108231,0.5058681349314463,0.13527862641646266,-0.5953470760104137,1.1043325002270845,26;29;29;29
1,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328095512734195,0.9746025812410255,0.7792833000757943,0.5408168053108231,0.5058681349314463,0.13527862641646266,-0.5953470760104137,1.1043325002270845,26;29;29;29
1,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328101615358535,0.9746005613608555,0.7792839490402117,0.5408122283502171,0.5058577853195867,0.1352479834346215,-0.5951586526855669,1.1042974441987632,26;29;29;29
1,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6809419274290944,0.9186968547276942,0.7241263046378151,0.6099833702996372,0.5739644668326485,0.13250599000288846,-0.48918072149351427,1.0809361725120867,28;30;27;30
1,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6809419274290944,0.9186968547276942,0.7241263046378151,0.6099833702996372,0.5739644668326485,0.13250599000288846,-0.48918072149351427,1.0809361725120867,28;30;27;30
1,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6810123790692859,0.9187661273768352,0.7242012242217217,0.6099420682827321,0.5740347633893779,0.13276436372685438,-0.4889680644330222,1.0808245480809004,28;30;27;30
1,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6390364522261953,0.868742099758269,0.6795632432658499,0.655106141617975,0.6239939038925115,0.07615513350709362,-0.13098648273243038,1.0126034201673275,28;26;29;22
1,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6377867493305048,0.86620530220248,0.6782342859740468,0.6581269475931645,0.626626125042621,0.07956197653208723,-0.19190017608659996,1.025801620479575,28;26;29;26
1,e2_lr0.0003_wd0.001,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6388510409654656,0.8685834688458899,0.6793660734843133,0.6551254406476288,0.6244195357834804,0.07460623762665293,-0.12650720502133306,1.0119340975286986,27;26;29;22
1,e3_floor0.1_curation0,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,False,42,2675.0,0.7418225552591006,1.0407630152039054,0.7888678960698731,0.571702206985556,0.5692257002098285,0.44001631223500115,-1.103290474776289,1.1406918651458278,9;8;19;27
1,e3_floor0.1_curation1,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,True,42,2675.0,0.7809113937650685,1.0908930288752696,0.8304356936158074,0.5464801330092848,0.5592000541359252,0.5036539566551614,-1.7295525416338893,1.2565708310009258,9;8;18;27
1,e3_floor0.15_curation0,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,False,42,2675.0,0.7134831711765561,0.9980079107707805,0.7587312681948896,0.5859167310932981,0.5715804777380501,0.3586907699989582,-0.9572856773071209,1.1292010711199796,15;7;13;27
1,e3_floor0.15_curation1,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,True,42,2675.0,0.7419718570518514,1.037686931986177,0.7890266663718704,0.5617424238710428,0.5649228538177196,0.4121446465477967,-1.2264548708860739,1.1737564719405607,9;8;19;27
1,e3_floor0.2_curation0,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,False,42,2675.0,0.6977365875302985,0.9705767377003419,0.7419860584095485,0.5950795250674776,0.5739063103650666,0.29894662094240776,-0.8504877411513222,1.1206001185482812,15;7;13;27
1,e3_floor0.2_curation1,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,True,42,2675.0,0.7210523661413839,1.004098601250087,0.7667804908351487,0.574240933757999,0.5675203159216445,0.3462176463237634,-1.1307322497355696,1.1697871880192394,9;7;19;27
2,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7817664447094591,1.0344425553001826,0.8386041542541679,0.4618577576198661,0.4355502137423731,0.2185027586904843,-0.3685057499810331,1.0333731769024963,14;7;14;29
2,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7817664447094591,1.0344425553001826,0.8386041542541679,0.4618577576198661,0.4355502137423731,0.2185027586904843,-0.3685057499810331,1.0333731769024963,14;7;14;29
2,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7817664447094591,1.0344425553001826,0.8386041542541679,0.4618577576198661,0.4355502137423731,0.2185027586904843,-0.3685057499810331,1.0333731769024963,14;7;14;29
2,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7331992935631676,0.9713351106284606,0.786505966889901,0.5428013167582436,0.5048405866252561,0.14611471711399185,-0.764005093185582,1.1397205766285456,30;29;27;28
2,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7331992935631676,0.9713351106284606,0.786505966889901,0.5428013167582436,0.5048405866252561,0.14611471711399185,-0.764005093185582,1.1397205766285456,30;29;27;28
2,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7332009591063405,0.9713432020108169,0.78650775352507,0.5428019062264403,0.5048380957073204,0.14616432912362853,-0.7641863283458209,1.1397487721629587,30;29;27;28
2,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6863483808273265,0.925805575069416,0.7362487956890092,0.5989346053706086,0.5666149103362329,0.14576777333892182,-0.5130526555014729,1.0830588787341922,28;30;27;30
2,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6863483808273265,0.925805575069416,0.7362487956890092,0.5989346053706086,0.5666149103362329,0.14576777333892182,-0.5130526555014729,1.0830588787341922,28;30;27;30
2,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6867570261006956,0.9253928881591552,0.7366871511929872,0.5967736663506947,0.5657897866995794,0.13532408197830556,-0.40687676501312825,1.0615550976959118,28;30;27;29
2,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6407347060003925,0.8750241773274788,0.6873188147982564,0.6509599606324542,0.6245805870290012,0.12612910645511446,-0.3332847948050851,1.0470557755078203,30;26;29;26
2,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6407465143030848,0.8748740065418936,0.6873314816142337,0.6518130624538903,0.6249883135718608,0.12932205289804832,-0.3696783809653245,1.0545577888048798,30;26;29;26
2,e2_lr0.0003_wd0.001,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6422030160731043,0.8754926601576044,0.6888938771906656,0.6497011308511125,0.6231901868860232,0.119553550475466,-0.3552579133730944,1.0536207472430958,30;26;29;21
2,e3_floor0.1_curation0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,False,42,2675.0,0.7586891982627605,1.0614490682218212,0.8138490949011906,0.557986480760381,0.5508266382461373,0.4647459638055441,-1.6422963628514373,1.2483780300840963,5;7;25;18
2,e3_floor0.1_curation1,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.1,0.95,True,42,2675.0,0.7922191789133326,1.1055152034315552,0.849816846210959,0.5311620696359863,0.5426746321365653,0.5233852039813083,-1.7710362483112578,1.2599489840714875,5;8;8;29
2,e3_floor0.15_curation0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,False,42,2675.0,0.7326375647701749,1.0226217137315274,0.7859033980503765,0.5713328204086857,0.5610154084518377,0.39932681030683215,-1.3066742293230011,1.1940625428632041,5;7;19;22
2,e3_floor0.15_curation1,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.15,0.95,True,42,2675.0,0.7676230773984627,1.0669906674533054,0.8234325046362924,0.5483492874053807,0.5389795595152787,0.44972092949822473,-2.1647060506252984,1.3628879781279895,5;8;8;18
2,e3_floor0.2_curation0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,False,42,2675.0,0.7141365592302362,0.9905662607070527,0.7660572915710455,0.5794600766748357,0.5624876986480655,0.33076695834845926,-1.0971442965509517,1.1663512995740384,5;7;19;22
2,e3_floor0.2_curation1,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,0.2,0.95,True,42,2675.0,0.7231120515115705,1.0049973820316167,0.7756853399025398,0.5702051272787942,0.5641597039317301,0.35081080312407803,-1.2014837864675798,1.1838487891566853,5;7;25;29
3,e2_lr1e-05_wd0,1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7867689049218101,1.050137322526652,0.845091174332219,0.44229313188096697,0.4176841441128777,0.2404877765382763,-0.32945906837547656,1.019629117283261,13;7;9;27
3,e2_lr1e-05_wd0.0001,1e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7867689049218101,1.050137322526652,0.845091174332219,0.44229313188096697,0.4176841441128777,0.2404877765382763,-0.32945906837547656,1.019629117283261,13;7;9;27
3,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7867689049218101,1.050137322526652,0.845091174332219,0.44229313188096697,0.4176841441128777,0.2404877765382763,-0.32945906837547656,1.019629117283261,13;7;9;27
3,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7365871181796444,0.9800160085974388,0.7911894697494224,0.5301480352389221,0.49143209331100746,0.14712110111682,-0.7289782233123102,1.131071000386459,28;28;30;30
3,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7365871181796444,0.9800160085974388,0.7911894697494224,0.5301480352389221,0.49143209331100746,0.14712110111682,-0.7289782233123102,1.131071000386459,28;28;30;30
3,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7363323940549855,0.9800621209027027,0.7909158632198658,0.5304746331921945,0.49148072378326535,0.14885191777077575,-0.7324117649021008,1.1314033289104042,29;28;30;30
3,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6914951766491849,0.930818603660594,0.7427549147199721,0.5888609277636385,0.5504461229142036,0.12758723867309213,-0.4079909634048526,1.0634438111117903,30;18;30;30
3,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6914951766491849,0.930818603660594,0.7427549147199721,0.5888609277636385,0.5504461229142036,0.12758723867309213,-0.4079909634048526,1.0634438111117903,30;18;30;30
3,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6916621071205873,0.931089605638035,0.7429342195542467,0.5886928036514608,0.550260121118135,0.12834212866934444,-0.4138872791115464,1.0645960708970417,30;18;30;30
3,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6471895121339124,0.8782209607123532,0.6951649225119019,0.6444906119436019,0.616374790904941,0.10303646642506464,-0.3241022825905574,1.050297480819601,23;26;29;28
3,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6469862115187979,0.8781498457683484,0.6949465514572061,0.6444711911267981,0.6170717146349671,0.10245725286376596,-0.31987335560115987,1.0494736081805804,23;26;29;28
