dataset,first_model,second_model,n,signed_residual_pearson,signed_residual_spearman,absolute_error_pearson,absolute_error_spearman,first_lower_absolute_error_fraction,second_lower_absolute_error_fraction,exact_tie_fraction,worst_decile_overlap_count,worst_decile_jaccard,oracle_mae,equal_blend_mae,equal_blend_spearman
nested_development,fine_tuned_nesso,nested_2d_lightgbm,3344.0,0.7785230508444243,0.7203473012136327,0.6647479490866088,0.45826450473235836,0.40101674641148327,0.5989832535885168,0.0,189.0,0.39293139293139295,0.4038457523877342,0.5407039566934847,0.7336561804898144
historical_lockbox_primary,fine_tuned_nesso,established_2d_lightgbm,714.0,0.769260289027383,0.6920270060770018,0.6657749378999601,0.4720503652769967,0.3851540616246499,0.6148459383753502,0.0,44.0,0.44,0.37662621994455614,0.5022423144060488,0.7368021696847248
public_challenge,fine_tuned_nesso,established_2d_challenge,513.0,0.8173351414955403,0.7001567584249211,0.7231414257766056,0.5026820303433682,0.39571150097465885,0.6042884990253411,0.0,36.0,0.5294117647058824,0.403551621172972,0.5284758292937705,0.7714257988337541
