dataset,subset,model,metric,estimate
nested_development,"potency_stratum:(5,6]",affine_frozen_nesso,bias,-0.8903990148840972
nested_development,"potency_stratum:(5,6]",affine_frozen_nesso,calibration_intercept,4.989899767764212
nested_development,"potency_stratum:(5,6]",affine_frozen_nesso,calibration_slope,0.07980593109620474
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,n,981.0
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,mae,0.5662106338018792
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,rmse,0.6778384307083353
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,rae,2.7059997855468274
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,pearson,0.19355023366875804
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,spearman,0.21409821366414844
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,bias,-0.5581117245035434
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,calibration_intercept,4.670194765384341
nested_development,"potency_stratum:(5,6]",fine_tuned_nesso,calibration_slope,0.14104815040729105
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,n,981.0
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,mae,0.46156038009375644
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,rmse,0.5930189392077712
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,rae,2.2058615910552537
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,pearson,0.2370363982150633
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,spearman,0.2648741588170881
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,bias,-0.4321774881670896
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,calibration_intercept,4.585232682412107
nested_development,"potency_stratum:(5,6]",nested_2d_lightgbm,calibration_slope,0.15472527727912117
nested_development,potency_stratum:<=4,mean,n,1041.0
nested_development,potency_stratum:<=4,mean,mae,1.4587159950817459
nested_development,potency_stratum:<=4,mean,rmse,1.621752059678683
nested_development,potency_stratum:<=4,mean,rae,2.4002537182414363
nested_development,potency_stratum:<=4,mean,pearson,-0.08400667772290954
nested_development,potency_stratum:<=4,mean,spearman,-0.07135136619815105
