lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90,source_row,source_file,source_metric,value,panel,aggregation,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_bias,weight_sum,weight_share
baselines,chemical_cluster,500,descriptor_lightgbm_rdkit_mordred,0.4955837524095323,0.5913874165290245,0.1634175286563157,0.6573926284266576,0.4443434684784519,2.55115999513132,1.1443255546217297,-0.809387840306595,0.6245716395422519,0.5707000570357709,4.296463995424785,4.459881524081101,1.1297950743124143,0.7054188001592705,2.5263744371598933,5.578948498181611,668.8,400.0,100.0,7.908909124460479,1133.86,0.4955837524095323,0.5913874165290245,0.6573926284266576,3.325691015487428,,0.7895026986385973,1.7827512594171313,0.0,0.0,0.8965896010669243,2.5897029912803866,0.0,0.0,15,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.4955837524095323,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
original,chemical_cluster,500,head_pretrained,0.5401831500196523,0.7097737660535693,0.3601457442803575,0.5788733826923655,0.3029840695969224,3.3553666588617883,1.145446233800313,-1.039213065561788,0.5204772412794911,0.3607405568931013,4.296463995424785,4.656609739705144,1.1297950743124143,0.5879646146732153,0.9061592825253806,5.633191830317179,668.8,400.0,100.0,3.7332630386392704,592130.0,0.5401831500196523,0.7097737660535693,0.5788733826923655,3.9418782361287192,0.1792574291962183,0.796680003222255,2.241634234619141,0.0,0.0,0.9037117245329968,3.511961650848388,0.0,0.0,56,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5401831500196523,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
readouts,chemical_cluster,500,repr_ridge_stable,0.5371407510278879,0.6656263144643391,0.2289244443218503,0.604607588705075,0.3948812619049927,2.829698557293216,0.9416630406471213,0.0323170818467312,0.6700107144951178,0.5034718796402564,4.296463995424785,4.525388439746637,1.1297950743124143,0.7570969273166835,-0.0708271790884157,6.76847490932148,668.8,400.0,100.0,0.2971803492587059,769.0,0.5371407510278879,0.6656263144643391,0.604607588705075,5.402092276480464,0.0668462475915706,0.7983571422178065,2.069758913744137,0.0,0.0,0.9057165937183927,3.147772553123686,0.0,0.0,94,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5371407510278879,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,descriptor_lightgbm_rdkit_mordred,0.4969902771422413,0.6027597183436793,0.1881495819175692,0.6530438952980355,0.4230911635696763,2.666672866044256,1.186973905994913,-1.0308392071955126,0.5997765182508537,0.5339930033945328,4.296463995424785,4.484613577342355,1.1297950743124143,0.6774483749422953,2.563358137370193,5.538545935803197,668.8,400.0,100.0,7.948118509118504,1235.38,0.4969902771422413,0.6027597183436793,0.6530438952980355,3.333198704548449,,0.786510611064866,1.7918033266495792,0.0,0.0,0.8910881376260932,2.58028234559761,0.0,0.0,177,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.4969902771422413,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,head_pretrained,0.5415680157158334,0.7274725901907432,0.3994108782979228,0.5755062532819774,0.2835117370502923,3.478416229747664,1.1805816990759994,-1.2552399796825529,0.499520266163828,0.3318743019376252,4.296463995424785,4.695874873722708,1.1297950743124143,0.5646841591054533,0.5838041655222574,5.579808390935261,668.8,400.0,100.0,4.655440185158514,592130.0,0.5415680157158334,0.7274725901907432,0.5755062532819774,4.005639192314607,0.1679212462031896,0.7805562417765367,2.2092845975240074,0.0,0.0,0.8864213277480912,3.387231836318969,0.0,0.0,178,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.5415680157158334,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,repr_ridge_stable,0.536892354936063,0.67702449479423,0.2616035009257713,0.5953044281523975,0.3709069485924543,2.966542215237593,1.011599312296871,-0.3220636427776118,0.6242447836857212,0.4617146261020455,4.296463995424785,4.558067496350557,1.1297950743124143,0.7078390070047624,0.2932439424476265,6.471459388472904,668.8,400.0,100.0,0.2877799976189271,769.0,0.536892354936063,0.67702449479423,0.5953044281523975,4.782141696370577,0.0767879873567543,0.790214279960259,2.070956181123621,0.0,0.0,0.8947379232566258,3.055019374892995,0.0,0.0,183,artifacts/experiments/low_data_followup_20260906/final_analysis/task_means.csv,weighted_mae,0.536892354936063,split_comparison_N500,mean-task weighted MAE,,,,,,,,,,
strict,strict_chemical,500,descriptor_lightgbm_rdkit_mordred,0.8273684738371605,0.960274214014412,0.496606225175819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.8273684738371605,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0,0.2)",906.0,257.0,226.0,104.98153468456758,66.07313645711439,False,-0.0247842772619993,4289.039838603632,0.0193237539034336
strict,strict_chemical,500,descriptor_lightgbm_rdkit_mordred,0.4904345277782704,0.5927976363694667,0.1795454076358604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.4904345277782704,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0.2,0.35)",32534.0,3319.0,1958.0,2740.662221501643,987.0695084765948,False,-0.0622881641392599,217667.82527348612,0.9806762460965665
strict,strict_chemical,500,head_pretrained,0.8938075963592947,1.2128739581864418,0.7395940948432455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.8938075963592947,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0,0.2)",906.0,257.0,226.0,104.98153468456758,66.07313645711439,False,0.2145903841694469,4289.039838603632,0.0193237539034336
strict,strict_chemical,500,head_pretrained,0.534503926265253,0.7139505438784168,0.3899237417334762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.534503926265253,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0.2,0.35)",32534.0,3319.0,1958.0,2740.662221501643,987.0695084765948,False,0.0921564052490488,217667.82527348612,0.9806762460965665
strict,strict_chemical,500,repr_ridge_stable,0.865700933676414,1.1151127075821468,0.547732763803797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.865700933676414,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0,0.2)",906.0,257.0,226.0,104.98153468456758,66.07313645711439,False,0.0291219462322987,4289.039838603632,0.0193237539034336
strict,strict_chemical,500,repr_ridge_stable,0.5303309450987004,0.6648203607299262,0.2536218058700884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,artifacts/experiments/low_data_followup_20260906/final_analysis/strata.csv,weighted_mae,0.5303309450987004,novelty_strata_N500,pooled within-stratum weighted MAE across repeated draws,"novelty_[0.2,0.35)",32534.0,3319.0,1958.0,2740.662221501643,987.0695084765948,False,-0.0054423700240477,217667.82527348612,0.9806762460965665
