split,isoform,subgroup,comparison,n,groups,delta_mae,lo95,hi95,plot_y
butina,CYP1A2,all,additive_minus_nesso,1412,1025,-0.00785938839526072,-0.015767401193342967,0.0005463711803497842,0
butina,CYP1A2,all,interaction_minus_additive,1412,1025,-0.0011393437329849257,-0.0034199587335423756,0.00104522270300979,0
butina,CYP2C9,all,additive_minus_nesso,1285,765,-0.013065628200960439,-0.020062869627757978,-0.0060493442202067945,1
butina,CYP2C9,all,interaction_minus_additive,1285,765,0.0007490906234625281,-0.00060072857111132,0.002782475346598698,1
butina,CYP2D6,all,additive_minus_nesso,1493,1214,0.00034989094853808494,-0.0032230976955937092,0.004101582982082433,2
butina,CYP2D6,all,interaction_minus_additive,1493,1214,0.0018832696880018349,0.00018600809469475292,0.003590244353605049,2
butina,CYP3A4,all,additive_minus_nesso,2335,1120,-0.019149938767159144,-0.02667189296062204,-0.011822944620187662,3
butina,CYP3A4,all,interaction_minus_additive,2335,1120,0.0009788681205928928,0.00017214609561853073,0.001884685784565087,3
