split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled,source_row,source_file,source_metric,value,panel,aggregation
chemical_cluster,25,repr_mlp,50,1.923629292633303,1.624151550905531,0.8315325968571143,7.260263731754016,427039.6976420155,221956.86511208976,2.1139381367360324,-0.5492733315637262,0.2063075866996223,0.2121224625007016,10.315379334981117,0.8024461391119107,1.0,inf,1.9239760726768125,20,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,1.923629292633303,original_vector_probes,mean-task weighted MAE
chemical_cluster,25,repr_ridge,50,0.6912887712605577,0.6574333439762714,0.5941582836685367,1.0335121959663132,153486.50302382474,221956.86511208976,0.8869573301054036,0.2777136510803133,0.0148329370402643,0.0146290854991093,0.7416468520132184,0.8320790705584347,1.0,inf,0.6915150065140494,21,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6912887712605577,original_vector_probes,mean-task weighted MAE
chemical_cluster,50,repr_mlp,50,1.7567459492554551,1.2920112152338912,0.7318103752190046,8.588365391071383,390272.3151138449,221956.86511208976,2.1274933392701527,-0.1571301233012867,0.2230849211206805,0.2245033764993422,11.154246056034026,0.842320157890497,0.9153415142808554,17.834687166343134,1.7583250462505613,32,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,1.7567459492554551,original_vector_probes,mean-task weighted MAE
chemical_cluster,50,repr_ridge,50,0.7096559734506355,0.6420032755965802,0.5847794841284223,1.830892555025245,157696.4245016852,221956.86511208976,0.9467491962951626,0.2280509654027334,0.0182116666204092,0.0179307889993651,0.9105833310204616,0.8409678401045443,0.9288627229845242,5.234670954990484,0.7104823021448217,33,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.7096559734506355,original_vector_probes,mean-task weighted MAE
chemical_cluster,100,repr_mlp,50,1.0325916737447725,0.9126865493936854,0.6979043170409519,1.9914821038795787,229390.3718583502,221956.86511208976,1.3970288679865257,0.1462976619474718,0.2936876557205687,0.294599193999602,14.684382786028436,0.8349887668608971,0.9144714606661116,6.949982824945449,1.0334907719232134,44,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,1.0325916737447725,original_vector_probes,mean-task weighted MAE
chemical_cluster,100,repr_ridge,50,0.6302636468001835,0.6206026489649051,0.5771029041756367,0.8132060394010845,139925.24446832752,221956.86511208976,0.8413276528069747,0.3064985017161049,0.0301111190402298,0.0279037769978458,1.5055559520114912,0.821797928806065,0.9115099845152744,4.460149532846026,0.6304163847226094,45,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6302636468001835,original_vector_probes,mean-task weighted MAE
chemical_cluster,250,repr_mlp,50,0.9547781277968956,0.7505524282155257,0.6388750194939893,8.38536132273212,212359.1015255373,221956.86511208976,1.5185451431243888,0.4624164406082284,0.5851341677996971,0.5785527615007595,29.25670838998485,0.8003626379527939,0.8981437125748504,3.8342627331703913,0.9567584287978408,56,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.9547781277968956,original_vector_probes,mean-task weighted MAE
chemical_cluster,250,repr_ridge,50,0.6518939663714999,0.5989156040200199,0.5570596165392689,1.8785042719614249,144799.79031086518,221956.86511208976,0.9355944325150172,0.1736787983124635,0.0660770144598791,0.0636547969952516,3.303850722993957,0.8062822784923427,0.9005416968753077,3.8012972792278577,0.6523780656108126,57,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6518939663714999,original_vector_probes,mean-task weighted MAE
chemical_cluster,500,repr_mlp,50,0.673503177798509,0.6503400914541726,0.5813408748843518,1.144281836003897,149466.2680052065,221956.86511208976,0.8483193382974835,0.0919454340654258,0.9284954085601932,0.9148666670007516,46.42477042800965,0.8061062180571592,0.9011126178137,3.4226457083940507,0.6734023204451234,68,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.673503177798509,original_vector_probes,mean-task weighted MAE
chemical_cluster,500,repr_ridge,50,0.5887544094108972,0.5824935306656533,0.5485279979426575,0.7408146111350111,130684.68196677136,221956.86511208976,0.7687053786386958,0.2968552860982251,0.1409948838191485,0.1405632879977929,7.049744190957426,0.7936296017829811,0.9003897585993932,3.5843027249456823,0.5887841401110737,69,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.5887544094108972,original_vector_probes,mean-task weighted MAE
chemical_cluster,25,head_pretrained,50,0.6343200842172498,0.6239604329131272,0.5771579135402874,0.7826534698900263,140793.55204860916,221956.86511208976,0.840044598615851,0.4438109721344265,0.4610219494601187,0.4334777059993939,23.05109747300594,0.8361171826750088,1.0,inf,0.6343284402467453,14,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6343200842172498,practical_readouts,mean-task weighted MAE
chemical_cluster,25,head_random,50,0.625090288279952,0.6166445700140015,0.5762027808458807,0.7648416686764882,138746.64814790414,221956.86511208976,0.8149107114596141,0.3686101102016082,0.4589839446410769,0.4510119030019268,22.949197232053848,0.83746627820592,1.0,inf,0.6251063605436854,15,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.625090288279952,practical_readouts,mean-task weighted MAE
chemical_cluster,25,morgan_ridge,50,0.7069815027068727,0.6590578565723877,0.6113187519596407,1.2217153502410587,156947.84142050287,221956.86511208976,0.9048806819104026,0.3373954228782033,0.0186612259800313,0.0184441434994369,0.9330612990015652,0.8318343581894507,1.0,inf,0.7071096509731434,18,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.7069815027068727,practical_readouts,mean-task weighted MAE
chemical_cluster,25,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208976,0.9149922251561944,0.713037645175738,0.0037310445193725,0.0031024830004753,0.1865522259686258,0.8254405538698388,1.0,inf,0.628051182696441,19,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6281891945792168,practical_readouts,mean-task weighted MAE
chemical_cluster,50,head_pretrained,50,0.6141268427038286,0.6112033758226831,0.5595906391247183,0.7091678565947697,136291.18197429407,221956.86511208976,0.8197434099202328,0.4364956267931418,0.5461126781804342,0.5158018035035639,27.305633909021708,0.8342616560600772,0.9203433491760872,4.715364097849528,0.6140435525860669,26,artifacts/experiments/low_data_20260905_cut035_run2/independent_assessment_aggregates.csv,wmae_cell_mean,0.6141268427038286,practical_readouts,mean-task weighted MAE
