fold,stratum,method,n,weight_sum,weighted_mae,budget,plot_y
0,All,descriptor,669,4496.998999397697,0.5028947104224021,500,0
0,All,blend,669,4496.998999397697,0.4852376594877717,500,0
0,pEC50 ≥4,descriptor,476,3751.3788405924897,0.4608288411371296,500,1
0,pEC50 ≥4,blend,476,3751.3788405924897,0.4305413840605066,500,1
0,pEC50 <4,descriptor,193,745.6201588052071,0.7145373411699001,500,2
0,pEC50 <4,blend,193,745.6201588052071,0.7604266385865331,500,2
