budget,method,subset,fold,n,mae,weighted_mae,spearman,bias,weight_sum,coverage_80,coverage_90
100,descriptor_lightgbm_rdkit_mordred,full,0,669,0.6763217676516847,0.5708976014492818,0.5307655855443648,0.17294287574488362,4496.998999397697,0.6920777279521674,0.7428998505231689
100,descriptor_lightgbm_rdkit_mordred,full,1,669,0.7704121731959641,0.6588434122011724,0.5053472777445991,0.06903286035126459,4503.669508077221,0.8251121076233184,0.874439461883408
100,descriptor_lightgbm_rdkit_mordred,full,2,669,0.7568507861129212,0.5827613419290127,0.5831019378206571,0.2931822178392683,4365.681885100077,0.7144992526158446,0.8325859491778774
100,descriptor_lightgbm_rdkit_mordred,full,3,668,0.71674599965534,0.645348061073577,0.5432107573073562,0.05851102719638396,4443.668686479243,0.7200598802395209,0.8502994011976048
100,descriptor_lightgbm_rdkit_mordred,full,4,669,0.8046301041487611,0.5925839572340841,0.44329962582886373,0.4345996234799371,4385.667432154742,0.8490284005979073,0.9237668161434978
100,descriptor_lightgbm_rdkit_mordred,lt215,0,39,1.181323889540974,0.9088316388909164,-0.07846909581615161,1.14935594910883,106.17284230237523,0.3333333333333333,0.41025641025641024
100,descriptor_lightgbm_rdkit_mordred,lt215,1,36,1.4907751507320088,1.2218466570560433,0.031925850697713455,1.4812126824504446,94.3993671778704,0.3888888888888889,0.5
100,descriptor_lightgbm_rdkit_mordred,lt215,2,70,1.1814419713428006,1.016196022781452,0.03133339784592053,1.155668999855721,164.74475022204064,0.3142857142857143,0.5571428571428572
100,descriptor_lightgbm_rdkit_mordred,lt215,3,43,0.6391843221885595,0.5615660717402527,0.14803066866646808,0.4867237391492536,106.06580514623882,0.7209302325581395,0.9534883720930233
100,descriptor_lightgbm_rdkit_mordred,lt215,4,49,1.7207885410375818,1.5525980693962387,0.2891731991083743,1.7207885410375818,113.82116709697485,0.40816326530612246,0.7959183673469388
100,descriptor_lightgbm_rdkit_mordred,gt215,0,630,0.6450597315347286,0.5627261512523942,0.4618564322066983,0.1124982569175917,4390.826157095322,0.7142857142857143,0.7634920634920634
100,descriptor_lightgbm_rdkit_mordred,gt215,1,633,0.7294436626251939,0.6467899093911704,0.46702598553789504,-0.011280684033522894,4409.270140899351,0.8499210110584519,0.8957345971563981
100,descriptor_lightgbm_rdkit_mordred,gt215,2,599,0.7072324506102642,0.5657636849915262,0.4721894094427854,0.19239077419794665,4200.937134878037,0.7612687813021702,0.8647746243739566
100,descriptor_lightgbm_rdkit_mordred,gt215,3,625,0.7220822430650545,0.6473967511907925,0.46993019829822635,0.029049992614026524,4337.602881333003,0.72,0.8432
100,descriptor_lightgbm_rdkit_mordred,gt215,4,620,0.7322240341365801,0.5670048703718875,0.3412221302165357,0.3329492090278007,4271.846265057767,0.8838709677419355,0.9338709677419355
100,head_only,full,0,669,0.7480928138624572,0.5709397830307663,0.4621469103242243,0.4680610456737524,4496.998999397697,0.6651718983557549,0.8699551569506726
100,head_only,full,1,669,0.7933969903049355,0.5927143279896672,0.3875451177300334,0.35656743003077424,4503.669508077221,0.7742899850523169,0.9476831091180867
100,head_only,full,2,669,0.8337077064970326,0.5933095227965418,0.46062522018117114,0.48730670410065013,4365.681885100077,0.828101644245142,0.8729446935724963
100,head_only,full,3,668,0.7796359945057394,0.6002490909069239,0.4786697510642874,0.44381557361808366,4443.668686479243,0.7859281437125748,0.812874251497006
100,head_only,full,4,669,0.798480545280582,0.5901407785809261,0.4360200001856103,0.45294464520452987,4385.667432154742,0.8340807174887892,0.953662182361734
100,head_only,lt215,0,39,1.3661082925551977,1.1071374370461062,-0.06864432836636898,1.2978870218228071,106.17284230237523,0.2564102564102564,0.5641025641025641
100,head_only,lt215,1,36,1.441144982179006,1.1934973359515029,0.013259526701066475,1.2165339541435243,94.3993671778704,0.3611111111111111,0.9444444444444444
100,head_only,lt215,2,70,1.327400340080261,1.1601967910260707,0.1008837184052838,1.3020309814725604,164.74475022204064,0.6285714285714286,0.7857142857142857
100,head_only,lt215,3,43,1.145043215197186,1.0739842397877513,0.26721046211324695,1.1105936125821845,106.06580514623882,0.5348837209302325,0.5813953488372093
100,head_only,lt215,4,49,1.4540684262100532,1.2879130439831636,0.037614517087534494,1.4342378602709087,113.82116709697485,0.5102040816326531,0.9795918367346939
100,head_only,gt215,0,630,0.7098347128005256,0.557974198212365,0.3807857072910347,0.4166908661978585,4390.826157095322,0.6904761904761905,0.8888888888888888
100,head_only,gt215,1,633,0.7565582419519078,0.5798519870691703,0.3138163478167764,0.3076593812660681,4409.270140899351,0.7977883096366508,0.9478672985781991
100,head_only,gt215,2,599,0.7760140765290429,0.5710783637931971,0.3415919307146332,0.3920968553259695,4200.937134878037,0.8514190317195326,0.8831385642737897
100,head_only,gt215,3,625,0.754495977722168,0.5886650198504523,0.4005113669327059,0.3979412445373535,4337.602881333003,0.8032,0.8288
100,head_only,gt215,4,620,0.7466679546909949,0.5715489921054573,0.33607202462315144,0.375390826594445,4271.846265057767,0.8596774193548387,0.9516129032258065
100,head_plus_lora,full,0,669,0.71918641761814,0.5674216619925861,0.504800050107227,0.4061146575346121,4496.998999397697,0.7144992526158446,0.8639760837070254
100,head_plus_lora,full,1,669,0.7668035977859754,0.5817993108537675,0.451942238652059,0.31938524221054493,4503.669508077221,0.7593423019431988,0.9626307922272048
100,head_plus_lora,full,2,669,0.7833308482490847,0.5793646173481563,0.5316753512805468,0.4018896715024483,4365.681885100077,0.8340807174887892,0.8804185351270553
100,head_plus_lora,full,3,668,0.7628758784825216,0.5933793709045044,0.5282690669785458,0.4248908226504297,4443.668686479243,0.812874251497006,0.8248502994011976
100,head_plus_lora,full,4,669,0.7853497373184638,0.593839966497587,0.44894519074393685,0.41357554354475223,4385.667432154742,0.8236173393124065,0.9551569506726457
100,head_plus_lora,lt215,0,39,1.1582623865665533,0.9404537778659561,-0.04080186479593908,1.0099761691460243,106.17284230237523,0.38461538461538464,0.5897435897435898
100,head_plus_lora,lt215,1,36,1.2816217335065205,1.0527826736404027,0.03179711742877107,0.9400298481517368,94.3993671778704,0.4444444444444444,0.9722222222222222
100,head_plus_lora,lt215,2,70,1.1130069762638637,0.9896914607915502,0.1022836659286876,0.995049680164882,164.74475022204064,0.7285714285714285,0.8285714285714286
100,head_plus_lora,lt215,3,43,1.0823093234661012,1.0100339988642464,0.32710246224207823,1.05153128136036,106.06580514623882,0.5813953488372093,0.6511627906976745
100,head_plus_lora,lt215,4,49,1.3204489667075021,1.2127328616188051,0.01668920907411639,1.1420101833343506,113.82116709697485,0.5102040816326531,0.9795918367346939
100,head_plus_lora,gt215,0,630,0.6920055243022858,0.5584015189499507,0.43078601324731886,0.36873275443485803,4390.826157095322,0.734920634920635,0.8809523809523809
100,head_plus_lora,gt215,1,633,0.7375248412521056,0.5717158888864993,0.38658775729809475,0.28408791864990846,4409.270140899351,0.7772511848341233,0.9620853080568721
100,head_plus_lora,gt215,2,599,0.7448044226046197,0.563273161760487,0.4234710598484095,0.33257214127478496,4200.937134878037,0.8464106844741235,0.8864774624373957
100,head_plus_lora,gt215,3,625,0.7408988574676514,0.5831910687958349,0.45531080513155964,0.38177795909118656,4337.602881333003,0.8288,0.8368
100,head_plus_lora,gt215,4,620,0.7430596369312655,0.5773498806518198,0.35452388206970525,0.3560057091097678,4271.846265057767,0.8483870967741935,0.9532258064516129
100,mw,full,0,669,0.7387725530990421,0.580515296865883,0.36564422759686155,0.3847383332843996,4496.998999397697,0.5560538116591929,0.8460388639760837
100,mw,full,1,669,0.8172423018763522,0.6732730154253759,0.29508305641735394,0.20483675817950237,4503.669508077221,0.8565022421524664,0.8878923766816144
100,mw,full,2,669,0.8366467925179677,0.6243716561294109,0.3420412994298935,0.43223899697305795,4365.681885100077,0.8146487294469357,0.898355754857997
100,mw,full,3,668,0.7833033074094011,0.6357125190921356,0.3784753964606075,0.31939762452592785,4443.668686479243,0.7245508982035929,0.7979041916167665
100,mw,full,4,669,0.856033741623244,0.6155019418564192,0.35104582385961797,0.5022465213015859,4385.667432154742,0.820627802690583,0.9147982062780269
100,mw,lt215,0,39,1.2793578247959123,1.0154791078804362,0.020150878668984202,1.2548063205725508,106.17284230237523,0.1282051282051282,0.5384615384615384
100,mw,lt215,1,36,1.0536541539696813,0.8599688929041345,0.288619988968845,1.0109442187400242,94.3993671778704,0.6666666666666666,0.8611111111111112
100,mw,lt215,2,70,0.9682835381504508,0.8364678976491587,0.19534798253036748,0.9253205843155967,164.74475022204064,0.7428571428571429,1.0
100,mw,lt215,3,43,0.8621068466146443,0.7247395573883676,0.11392309435672737,0.8274967918985511,106.06580514623882,0.6744186046511628,0.7441860465116279
100,mw,lt215,4,49,1.975551537086266,1.7816737779142902,0.2213997663282709,1.975551537086266,113.82116709697485,0.2857142857142857,0.7346938775510204
