split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled
chemical_cluster,-1,dual_head,50,0.5027977589091295,0.5006650128545288,0.47198618094617656,0.5420754439599423,111577.71897420546,221956.86511208978,0.6489700842034236,0.3150755896138482,36.21163098462079,35.63698609399762,1810.5815492310394,0.8023845134842423,0.8994298398718259,3.0324730410257974,0.5027000129861174
chemical_cluster,-1,head_lora,50,0.5075717991343,0.5042508944443893,0.48492428526590875,0.5442684701926346,112639.89701616223,221956.86511208978,0.6619690972141467,0.3359405071437515,13.031557732999863,12.917772884498845,651.5778866499932,0.8007091646303804,0.9001472839075213,3.1520584908803304,0.5074855285925861
chemical_cluster,-1,head_pretrained,50,0.5026236924131714,0.5005703947813136,0.4771326712619766,0.5401583306508853,111540.87836564732,221956.86511208978,0.65233147900193,0.3300043788248306,18.19585431655949,18.052178360001562,909.7927158279745,0.8022951406603832,0.8987714257583488,3.05965744934082,0.5025340320486072
chemical_cluster,-1,head_random,50,0.5004668513430797,0.4966558393430414,0.47260496986798084,0.5377572757399018,111060.98843411192,221956.86511208978,0.6464685376244571,0.31710763691902133,17.158394701879878,17.19161311449716,857.919735093994,0.8009494911522248,0.9007161909365127,3.0307502358754475,0.5003719455941376
chemical_cluster,-1,morgan_knn,50,0.5837857962298141,0.5800713795448743,0.5492667815101203,0.6166974113606942,129590.2890932177,221956.86511208978,0.7168852569442887,0.23471172077904837,1.1899754164197658,1.1928365045023384,59.498770820988284,0.7803188689884805,0.8868112653616533,3.1898851514253757,0.583853484449664
chemical_cluster,-1,morgan_lightgbm,50,0.5427899553579746,0.5398367257454566,0.5265766873704626,0.5662326435648879,120454.32353442666,221956.86511208978,0.7477755821160277,0.4381715880807741,0.8635764389198448,0.8553613830008544,43.17882194599224,0.794553135880705,0.897607430878154,3.732008227768595,0.5426924888022561
chemical_cluster,-1,morgan_ridge,50,0.5168662592822855,0.5168307916121669,0.5033233375203683,0.5306722733179642,114728.29573869657,221956.86511208978,0.6531735851920359,0.2582760332561481,5.14670999843991,5.0838368565018754,257.3354999219955,0.7953644728480259,0.8951863089963571,2.952833315645366,0.5168945582321051
chemical_cluster,-1,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208978,0.9149922251561944,0.713037645175738,0.003998522740221233,0.003947230001358548,0.19992613701106166,0.8014875629906107,0.9000302533945562,4.667704713439941,0.628051182696441
chemical_cluster,-1,repr_mlp,50,0.5340014077778688,0.5311676477543585,0.49629603319478904,0.661200768092473,118509.7069669032,221956.86511208978,0.6776529019157473,0.1934654352075306,4.599036513939864,4.726796976499827,229.95182569699318,0.799483141340637,0.8994286762797276,2.890481555302938,0.5339312523947163
chemical_cluster,-1,repr_ridge,50,0.520657738806025,0.5128903649559758,0.48954551562474263,0.8844345604542249,115520.80881821434,221956.86511208978,0.6445048667026794,0.21025279294038235,1.1327648155997303,1.1359679029992549,56.63824077998652,0.8017546968842584,0.9015241713881653,2.8770923794420185,0.5204651307355396
