outer_fold,selected_candidate,fixed_refit_epochs,inner_best_epochs,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope
0,e2_lr0.003_wd0,12,12;13;11;25,0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6305177447274466,0.8606681401824875,0.6802976035325058,0.6597806391896617,0.6291729398826653,0.12038744915757224,-0.32839767482100946,1.0471675060611947
1,e2_lr0.01_wd0.0001,14,11;13;14;14,0.01,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6320097669214645,0.8603114584189298,0.6720909354836311,0.6701801304866879,0.6366348211150807,0.12205911836124812,-0.43603513867935884,1.0714163346481187
2,e2_lr0.003_wd0.0001,16,13;11;24;18,0.003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6306713354329996,0.8610989902588947,0.676523794852432,0.6642478429377461,0.6347385245981602,0.11564315136829054,-0.4039971508732054,1.0656565007613334
3,e2_lr0.001_wd0,21,24;12;24;18,0.001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6370219314491437,0.8663204861168071,0.6842436308247797,0.6596777405286531,0.6304076952969148,0.11997832131198419,-0.4293048385034246,1.0701085453001522
4,e2_lr0.001_wd0.001,18,18;18;18;18,0.001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2676.0,0.621954452284607,0.8566915650225698,0.7043205319346826,0.6474541019180876,0.6203541279227198,0.12869870646776604,-0.8616226708333729,1.1636468577412757
