dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,active_threshold,active_n,active_mae,predicted_above_6,active_predicted_above_6,prediction_minimum,prediction_maximum
standardized_nested_development,mean384_ridge,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042,6.0,55,1.305040312086485,4,1,-9.457164503589436,8.380221645358358
standardized_nested_development,2d_lightgbm,3344.0,0.5159594459141478,0.7185388558091421,0.5589894187309365,0.7735253996238478,0.7304467583777929,0.028910611168909896,-0.07556068208138164,1.010785188567176,6.0,55,1.2449852063224587,0,0,1.4407656669512448,5.9481835229133395
retrospective_standardized_lockbox_790,mean384_ridge,790.0,0.5963026500170745,0.78868989493072,0.7085917993459181,0.6714364278453089,0.6191232241944308,-0.059694614168963864,-0.039030570986541266,1.022637040739586,6.0,9,1.3439976109398737,1,0,1.5132856369018555,6.048828125
retrospective_standardized_lockbox_790,2d_lightgbm,790.0,0.4886110812562471,0.6895351522661249,0.5806209401179165,0.7601449961705955,0.6972646690999612,0.014117066473124091,-0.01458048015445131,1.0001044893001925,6.0,9,1.255701374480248,0,0,2.0110297846730307,5.722534104380526
historical_nested_development,mean384_ridge,3344.0,0.632789341475056,0.8989509341469002,0.6855626909660857,0.626789918558408,0.6537124795131735,-0.01166902705042369,0.840021112755062,0.8066767544840273,6.0,55,1.305040312086487,4,1,-9.45716450358816,8.380221645358324
historical_nested_development,2d_lightgbm,3344.0,0.5159594459141478,0.7185388558091421,0.5589894187309365,0.7735253996238477,0.7304467583777929,0.02891061116890993,-0.07556068208138164,1.010785188567176,6.0,55,1.2449852063224587,0,0,1.4407656669512448,5.94818352291334
