outer_fold,selected_alpha,inner_mae,inner_spearman
0,100.0,0.6376781855587843,0.643760099343988
1,100.0,0.6789111015867956,0.655163342299866
2,100.0,0.6334531949904172,0.6482693512882508
3,100.0,0.639849539839711,0.6523361392990427
4,10.0,0.6401681849626972,0.634228716225973
