feature,gain
molfeat_rdkit_fp_1488,168.80013164471603
molfeat_desc2d_MinAbsEStateIndex,167.67426461302966
molfeat_topological_fp_1893,167.5147885987535
molfeat_rdkit_count_fp_1421,166.22683070815984
molfeat_rdkit_fp_536,165.76096566014456
molfeat_ecfp_count_fp_1088,162.93373768042073
molfeat_rdkit_count_fp_525,162.70162778618396
molfeat_layered_fp_1522,161.38043059350457
molfeat_desc2d_SlogP_VSA3,159.67207304264304
molfeat_rdkit_count_fp_1325,158.69405838442034
molfeat_desc2d_SMR_VSA7,156.58147211690084
molfeat_secfp_fp_419,154.71851650867612
molfeat_rdkit_count_fp_39,154.6760054638493
molfeat_rdkit_count_fp_603,154.55312492783415
molfeat_rdkit_count_fp_638,153.73108441323274
rdkit_atompair_hashed_1090,153.62030511796473
molfeat_rdkit_count_fp_1915,150.62149950168677
molfeat_rdkit_count_fp_1463,145.8115650946682
molfeat_desc2d_EState_VSA1,145.66585355795397
molfeat_desc2d_SMR_VSA10,145.50240234333032
molfeat_rdkit_count_fp_643,145.48368739353026
molfeat_rdkit_fp_297,144.97685538083314
molfeat_pharm2d_Desc_410,143.19850076287986
molfeat_rdkit_count_fp_488,142.31648844948504
molfeat_rdkit_count_fp_1571,142.17346112364902
molfeat_rdkit_count_fp_1745,142.06507529619847
molfeat_rdkit_count_fp_153,142.0290192630142
molfeat_layered_fp_468,141.0332160170423
molfeat_secfp_fp_1496,140.70465377569198
molfeat_rdkit_count_fp_981,139.861670388325
molfeat_erg_fp_156,139.8524282080296
molfeat_desc2d_EState_VSA5,137.2906112754572
molfeat_secfp_fp_105,136.97653140437325
molfeat_pattern_fp_476,136.64593323200825
molfeat_rdkit_fp_820,135.12684867233037
molfeat_rdkit_count_fp_1835,133.77919114538818
molfeat_rdkit_count_fp_915,132.48768974292034
molfeat_rdkit_count_fp_990,131.14167347120238
molfeat_pharm2d_Desc_159,130.9525753282942
rdkit_atompair_hashed_0321,130.84267704921075
molfeat_erg_fp_160,129.8958357465017
molfeat_topological_count_fp_95,129.82104374454357
molfeat_layered_fp_1409,129.71344528198242
molfeat_layered_fp_134,128.88177042007447
molfeat_layered_fp_872,128.84060749970376
molfeat_layered_fp_587,127.69964352420065
molfeat_rdkit_count_fp_1974,125.85934270734433
smarts_fg_alkene,125.75638701580465
molfeat_rdkit_count_fp_1060,125.06861158279352
molfeat_topological_fp_382,124.9608758142218
molfeat_erg_fp_22,124.61180949629633
molfeat_layered_fp_362,123.81463865814149
molfeat_rdkit_count_fp_1759,123.77000968778157
molfeat_layered_fp_907,123.03650409611873
molfeat_rdkit_count_fp_1201,122.7782529360964
molfeat_rdkit_count_fp_513,122.61154803626123
molfeat_rdkit_count_fp_1711,122.02328718341887
molfeat_rdkit_count_fp_1755,121.48733197681722
molfeat_rdkit_count_fp_1603,121.26063905209885
molfeat_secfp_fp_1400,117.68374998514773
molfeat_ecfp_fp_489,116.37035772093805
molfeat_layered_fp_489,115.71706904342281
molfeat_rdkit_count_fp_1424,115.63307115181814
molfeat_rdkit_count_fp_12,115.31834708703681
molfeat_rdkit_count_fp_982,114.78936230391264
molfeat_pattern_fp_721,114.00687264800072
molfeat_layered_fp_1137,113.80717646628618
molfeat_pattern_fp_1923,112.75773510932922
molfeat_rdkit_count_fp_1715,112.65349295440538
molfeat_desc2d_fr_para_hydroxylation,111.39624215142103
molfeat_cats2d_AR_bins_7,111.30462812972837
molfeat_rdkit_count_fp_1243,111.2251805783715
molfeat_pharm2d_Desc_1978,111.1490592956543
molfeat_rdkit_count_fp_435,110.8495564759185
molfeat_topological_fp_1717,110.6523634723504
molfeat_rdkit_count_fp_1470,109.93228232121328
rdkit_atompair_hashed_1680,109.43508084299974
molfeat_desc2d_EState_VSA9,109.19502020496584
molfeat_ecfp_count_fp_926,108.60720923077024
molfeat_avalon_fp_215,107.85629003769137
molfeat_scaffoldkeys_n_atom_in_chain,107.82149268303765
molfeat_rdkit_count_fp_670,107.11698752169032
molfeat_erg_fp_96,107.08155177627341
molfeat_layered_fp_768,106.99759819267202
molfeat_pattern_fp_981,106.64464163780212
molfeat_erg_fp_157,105.94101669397787
rdkit_atompair_hashed_1609,105.87119387760758
molfeat_erg_fp_152,104.57862053737918
molfeat_scaffoldkeys_n_bonds_atoms_with_at_least_one_nei_with_2_conn,103.74509163392068
molfeat_desc2d_NumRotatableBonds,103.59105178338068
molfeat_erg_fp_19,103.56030004305649
molfeat_secfp_fp_1468,103.22386538945139
molfeat_erg_fp_107,103.0695787421544
molfeat_rdkit_count_fp_863,103.03687960186508
rdkit_maccs_149,102.82835229525226
molfeat_topological_fp_409,102.1251252999762
molfeat_rdkit_count_fp_760,101.22503615649767
molfeat_pharm2d_Desc_950,100.68529971579555
rdkit_atompair_hashed_0512,100.47579506817274
molfeat_cats2d_AP_bins_3,99.69115609899163
molfeat_rdkit_fp_571,99.08433885378763
molfeat_scaffoldkeys_n_bonds_at_least_3_conn,98.939834302722
molfeat_rdkit_count_fp_836,98.48794041686924
molfeat_erg_fp_24,98.40942425376852
molfeat_desc2d_SlogP_VSA4,98.11157462020056
molfeat_avalon_fp_423,98.02635734677315
molfeat_desc2d_PEOE_VSA12,97.99714367811684
rdkit_atompair_hashed_0841,97.36650116099045
molfeat_rdkit_fp_284,96.75848818563391
