outer_fold,outer_train_rows,outer_validation_rows,input_feature_count,selected_feature_count,first_pass_best_iterations,second_pass_best_iterations,fixed_refit_iterations,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
0,2675,669,14325,1000,708;723;1733;251,1299;505;1599;360,902,669.0,0.5138676097671938,0.7313001194625273,0.5664473193706788,0.7654306701909531,0.7408207244417688,0.05060685796704989,-0.34122129153813985,1.0664355865016033
1,2675,669,14325,1000,1044;933;1345;422,834;639;1114;408,736,669.0,0.5512722304913783,0.7742079719525943,0.6483078657635837,0.6979707008048767,0.6819169592850217,0.0721531719322072,-0.06130324242890944,0.9975656694311434
2,2675,669,14325,1000,776;356;733;237,1280;504;771;218,638,669.0,0.4971990587068507,0.6976791586107469,0.5631985422132114,0.7738957843508399,0.7188865594252443,-0.011885047295237133,-0.1570333940312745,1.038693163577073
3,2675,669,14325,1000,868;1065;2150;864,865;742;1083;677,804,669.0,0.4880406301658052,0.683532843350239,0.5476957708594682,0.78555360987494,0.7269235099581125,0.01781628643160671,-0.019174761032957253,1.0003136159399324
4,2676,668,14325,1000,737;418;1174;753,1136;512;1058;1022,1040,668.0,0.5294378475271239,0.7023423895750298,0.5012224508157775,0.8178243618890584,0.7710477650292415,0.015842252640719232,0.06380648495430093,0.9805635618844852
