budget,fold,method,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
100,0,head_only,669,4496.998999397697,567.8473215867117,0.5709397830307663,0.7480928138624572,0.4621469103242242,0.4680610456737524,0.18176851490877335,1.0384042752940155,4.370149476831092,4.838210522504844,1.053601684601062,0.4506725182191141,0.4277446826499311,1.2399999999999998,0.43512773513793945,0.350909463820919,2.3719818592071533,6.738335609436035,1.61,6.845,1.1175951493524818,0.5529151840005098,0.6329982930728765,0.6651718983557549,1.5848763275146476,0.8699551569506726,3.0922245788574223
100,0,head_plus_lora,669,4496.998999397697,567.8473215867117,0.5674216619925861,0.71918641761814,0.504800050107227,0.4061146575346121,0.1468213314824274,0.9883583016398864,4.370149476831092,4.776264134365704,1.053601684601062,0.5594403082251214,0.5309789424235298,1.2399999999999998,0.5831074714660645,0.4702479608597295,1.6457710266113281,6.561628818511963,1.61,6.845,0.9763239251957042,0.5517658013467428,0.6179406815787951,0.7144992526158446,1.6776113891601558,0.8639760837070254,2.8288254547119145
500,0,head_only,669,4496.998999397697,567.8473215867117,0.5657438849231775,0.7386620319121265,0.4638321670911129,0.42712682119577633,0.13440860782875017,1.0223313189402843,4.370149476831092,4.797276298026867,1.053601684601062,0.4002917373960997,0.37992700965324194,1.2399999999999998,0.40778160095214844,0.32885612980011975,1.3770432472229004,5.7798848152160645,1.61,6.845,1.271850281129568,0.5539924778638394,0.6231332490276816,0.8266068759342302,2.5716202163696296,0.9282511210762332,4.082285346984863
500,0,head_plus_lora,669,4496.998999397697,567.8473215867117,0.5540958757996426,0.7085494885351983,0.5156653853117988,0.3796487077219782,0.10794809495650168,0.9739809718982985,4.370149476831092,4.749798184553069,1.053601684601062,0.47503411971851434,0.4508668946352171,1.2399999999999998,0.5197420120239258,0.41914678389026283,1.4771347045898438,5.791004657745361,1.61,6.845,1.177067752435772,0.5432127033474747,0.6029263925433965,0.8056801195814649,2.3142439270019532,0.9387144992526159,3.8753890991210938
100,1,head_only,669,4503.669508077221,557.6965945340913,0.5927143279896672,0.7933969903049355,0.38754511773003336,0.35656743003077424,-0.007470966144943993,1.0981211567926117,4.3768887208024925,4.733456150833267,1.1356423939932732,0.4662046809054866,0.4105206739122915,1.52,0.44460296630859375,0.2925019515188117,0.7165312767028809,6.896758556365967,1.71,7.54855421686747,0.9852933188620674,0.5906232697348941,0.6486926115713247,0.7742899850523169,2.3674022674560544,0.9476831091180867,4.953826713562011
100,1,head_plus_lora,669,4503.669508077221,557.6965945340913,0.5817993108537675,0.7668035977859754,0.45194223865205907,0.31938524221054493,-0.016839198095194248,1.0621366341811431,4.3768887208024925,4.696273963013037,1.1356423939932732,0.5770209023716791,0.5081008823056469,1.52,0.5594573020935059,0.3680640145352012,0.27306032180786133,7.101966381072998,1.71,7.54855421686747,0.8957859726662147,0.5776887127880891,0.6322750383493448,0.7593423019431988,2.1189376831054685,0.9626307922272048,5.111809539794921
500,1,head_only,669,4503.669508077221,557.6965945340913,0.5644591391379812,0.7851257389742963,0.45084296984526495,0.42528181706628665,0.0617992364850149,1.1027876617441084,4.3768887208024925,4.802170537868779,1.1356423939932732,0.3988973479028064,0.3512526038237784,1.52,0.41319942474365234,0.27184172680503443,1.0930500030517578,5.748985290527344,1.71,7.54855421686747,1.2994252525246826,0.5551616228518385,0.632313185466519,0.7115097159940209,1.899448013305664,0.8579970104633782,3.2695846557617188
500,1,head_plus_lora,669,4503.669508077221,557.6965945340913,0.5427746981031552,0.7409489753770273,0.5244963044443907,0.38137604676874437,0.046996900271698845,1.041112939016582,4.3768887208024925,4.758264767571237,1.1356423939932732,0.4868759651720045,0.42872295693364937,1.52,0.5639481544494629,0.37101852266412033,1.005685806274414,5.852355003356934,1.71,7.54855421686747,1.2408096248001987,0.5327483057398548,0.6017090059959037,0.6860986547085202,1.6934957885742177,0.866965620328849,2.9774951934814453
100,2,head_only,669,4365.681885100077,544.0824766056642,0.5933095227965417,0.8337077064970326,0.46062522018117114,0.48730670410065013,0.09396969373888092,1.1635087853771908,4.213916292974589,4.701222997075239,1.207966604405046,0.5410954127937265,0.4479390496562855,1.7800000000000002,0.5618038177490234,0.315620122330912,2.436659336090088,6.006916046142578,1.62,6.87,1.0855821352259198,0.5771091445638195,0.6656831027087354,0.828101644245142,3.2076218414306643,0.8729446935724963,3.732780990600585
100,2,head_plus_lora,669,4365.681885100077,544.0824766056642,0.5793646173481564,0.7833308482490847,0.5316753512805468,0.4018896715024483,0.04786786373321569,1.0893832263553007,4.213916292974589,4.615805964477037,1.207966604405046,0.6568544200037293,0.5437686916247545,1.7800000000000002,0.767542839050293,0.4312038421630859,1.8394489288330078,6.072658061981201,1.62,6.87,1.0028798678387234,0.565056467849202,0.6391241988171091,0.8340807174887892,2.8726332473754894,0.8804185351270553,3.472824630737304
