budget,method,small,charged,low_potency,n,median_MW,median_movement,mean_error_delta,weighted_error_delta,improved,worse,unchanged
100,head_only,False,False,False,2037,349.4520000000001,0.20641088485717773,-0.0035455480228175113,0.023438881560296262,1029,1008,0
100,head_only,False,False,True,568,338.4130000000001,0.27172613143920943,-0.29177941570819266,-0.2877607460654671,543,25,0
100,head_only,False,True,False,269,352.8620000000002,0.19409656524658203,-0.0072498457316571945,0.018958773657168207,147,122,0
100,head_only,False,True,True,274,306.00800000000004,0.317446231842041,-0.3257183106276241,-0.31270682065433514,257,17,0
100,head_only,True,False,True,58,153.181,0.720025897026062,-0.6581826042306835,-0.5828084586028456,56,2,0
100,head_only,True,True,False,2,162.72799999999995,0.600975513458252,-0.5007983207702633,-0.5624959577870432,2,0,0
100,head_only,True,True,True,136,163.73399999999998,0.7449905872344968,-0.8052739804632523,-0.7777214245631426,135,1,0
100,head_plus_lora,False,False,False,2037,349.4520000000001,0.20742511749267578,0.006014861259966075,0.030672742899493524,1007,1030,0
100,head_plus_lora,False,False,True,568,338.4130000000001,0.35935187339782715,-0.37975794031586446,-0.37266591860837256,543,25,0
100,head_plus_lora,False,True,False,269,352.8620000000002,0.3562612533569336,0.0480716860959078,0.0891132271629939,129,140,0
100,head_plus_lora,False,True,True,274,306.00800000000004,0.4720149040222168,-0.48169561741125844,-0.4724746518529234,270,4,0
100,head_plus_lora,True,False,True,58,153.181,1.0434634685516357,-0.8361232984477076,-0.6901076050839982,56,2,0
100,head_plus_lora,True,True,False,2,162.72799999999995,0.9733045101165771,-0.2868702983856197,-0.3566698334959253,2,0,0
100,head_plus_lora,True,True,True,136,163.73399999999998,0.9964715242385864,-0.971196792195825,-0.9332721729503759,135,1,0
500,head_only,False,False,False,2037,349.4520000000001,0.16617822647094727,-0.028389524535683375,-0.004116175546134484,1078,959,0
500,head_only,False,False,True,568,338.4130000000001,0.22149896621704102,-0.25746453479981757,-0.24836498193187784,568,0,0
500,head_only,False,True,False,269,352.8620000000002,0.19956064224243253,-0.009809615727250885,0.01790422138995808,144,125,0
500,head_only,False,True,True,274,306.00800000000004,0.2624359130859375,-0.2970255839563634,-0.2848158504039711,274,0,0
500,head_only,True,False,True,58,153.181,0.4267483949661255,-0.43162134976222605,-0.3658252550318121,56,2,0
500,head_only,True,True,False,2,162.72799999999995,0.5572528839111328,-0.5572528839111328,-0.6497971978726137,2,0,0
500,head_only,True,True,True,136,163.73399999999998,0.5222054719924927,-0.6622002941019394,-0.6396958678481623,136,0,0
500,head_plus_lora,False,False,False,2037,349.4520000000001,0.16286945343017578,-0.028643055458424667,-0.007373302911466254,1106,931,0
500,head_plus_lora,False,False,True,568,338.4130000000001,0.3270845413208008,-0.35701672632929304,-0.343246583694767,564,4,0
500,head_plus_lora,False,True,False,269,352.8620000000002,0.3327784538269043,0.032947050718569876,0.07684751261785365,133,136,0
500,head_plus_lora,False,True,True,274,306.00800000000004,0.42023491859436035,-0.45494502882017707,-0.4439995858875099,274,0,0
500,head_plus_lora,True,False,True,58,153.181,0.7000943422317507,-0.6472618387485373,-0.546243953852029,55,3,0
500,head_plus_lora,True,True,False,2,162.72799999999995,0.8872132301330566,-0.37296157836914023,-0.39051297773671184,2,0,0
500,head_plus_lora,True,True,True,136,163.73399999999998,0.7612274885177612,-0.8218112374754514,-0.7674726511875715,135,1,0
