task,budget,fold,method,epoch,weighted_huber
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,28,0.4358641334427631
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,29,0.4325193573656527
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,30,0.4290939025374314
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,31,0.42564197222577604
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,32,0.4221886495238323
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,33,0.41870732019333445
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,34,0.4152188834490147
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,35,0.4117152950309855
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,36,0.40813059386482564
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,37,0.40450734807018307
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,38,0.4008392081432248
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,39,0.3971689137561043
fold0__draw0__n100__head_plus_lora__seed42,100,0,head_plus_lora,40,0.3933847564408097
fold0__draw0__n500__head_only__seed42,500,0,head_only,1,0.4230062355500017
fold0__draw0__n500__head_only__seed42,500,0,head_only,2,0.4116003183220558
fold0__draw0__n500__head_only__seed42,500,0,head_only,3,0.4042363622176144
fold0__draw0__n500__head_only__seed42,500,0,head_only,4,0.4007017376092623
fold0__draw0__n500__head_only__seed42,500,0,head_only,5,0.40007548510676827
fold0__draw0__n500__head_only__seed42,500,0,head_only,6,0.40078816100768266
fold0__draw0__n500__head_only__seed42,500,0,head_only,7,0.401276963954905
fold0__draw0__n500__head_only__seed42,500,0,head_only,8,0.4008032072642907
fold0__draw0__n500__head_only__seed42,500,0,head_only,9,0.3993786622358517
fold0__draw0__n500__head_only__seed42,500,0,head_only,10,0.39740604141553604
fold0__draw0__n500__head_only__seed42,500,0,head_only,11,0.39532252379928007
fold0__draw0__n500__head_only__seed42,500,0,head_only,12,0.39347509746282583
fold0__draw0__n500__head_only__seed42,500,0,head_only,13,0.39207117330549934
fold0__draw0__n500__head_only__seed42,500,0,head_only,14,0.3911611279832332
fold0__draw0__n500__head_only__seed42,500,0,head_only,15,0.39064217101946497
fold0__draw0__n500__head_only__seed42,500,0,head_only,16,0.39031967690086855
fold0__draw0__n500__head_only__seed42,500,0,head_only,17,0.3899945395599458
fold0__draw0__n500__head_only__seed42,500,0,head_only,18,0.3895162616331187
fold0__draw0__n500__head_only__seed42,500,0,head_only,19,0.38883359125848216
fold0__draw0__n500__head_only__seed42,500,0,head_only,20,0.3879591911865454
fold0__draw0__n500__head_only__seed42,500,0,head_only,21,0.3869834944404713
fold0__draw0__n500__head_only__seed42,500,0,head_only,22,0.38601511362464613
fold0__draw0__n500__head_only__seed42,500,0,head_only,23,0.3851387754147022
fold0__draw0__n500__head_only__seed42,500,0,head_only,24,0.3843998788451297
fold0__draw0__n500__head_only__seed42,500,0,head_only,25,0.383799615918746
fold0__draw0__n500__head_only__seed42,500,0,head_only,26,0.3832863861533799
fold0__draw0__n500__head_only__seed42,500,0,head_only,27,0.3827770782420192
