budget,comparison,selection,n,fit_similarity_median,fit_similarity_min,fit_similarity_max,budget_similarity_median,mean_abs_change,median_change,improved_fraction,weighted_error_improvement,toward_nearest_label_fraction
100,head_only-minus-native,all,3344,0.23728813559322035,0.06779661016949153,0.3493975903614458,0.24193548387096775,0.28207346540318723,-0.23096990585327148,0.6486244019138756,0.03780491325539922,0.5807416267942583
100,head_only-minus-native,top20,20,0.2143361581920904,0.06779661016949153,0.325,0.23425324675324677,1.957123327255249,-1.7924406528472898,0.95,1.4096827835245407,0.5
100,head_only-minus-native,top_decile,335,0.21818181818181817,0.06779661016949153,0.3484848484848485,0.22666666666666666,0.7943013241041952,-0.6591634750366211,0.9134328358208955,0.4447691020075415,0.608955223880597
100,head_plus_lora-minus-native,all,3344,0.23728813559322035,0.06779661016949153,0.3493975903614458,0.24193548387096775,0.3427793616027923,-0.2658209800720215,0.6405502392344498,0.04411969830907748,0.5583133971291866
100,head_plus_lora-minus-native,top20,20,0.19791666666666669,0.06779661016949153,0.325,0.19791666666666669,2.453788185119629,-2.0995235443115234,0.85,0.30541451966065103,0.3
100,head_plus_lora-minus-native,top_decile,335,0.21875,0.06779661016949153,0.3484848484848485,0.22727272727272727,1.0196824671617195,-0.8478977680206299,0.9044776119402985,0.5059774260403315,0.5223880597014925
100,head_plus_lora-minus-head_only,all,3344,0.23728813559322035,0.06779661016949153,0.3493975903614458,0.24193548387096775,0.12013835527680138,-0.034711599349975586,0.5699760765550239,0.006314785053678255,0.4485645933014354
100,head_plus_lora-minus-head_only,top20,20,0.21733870967741936,0.0851063829787234,0.325,0.21733870967741936,0.8101160049438475,-0.6385078430175779,0.45,-0.37702708006464286,0.25
100,head_plus_lora-minus-head_only,top_decile,335,0.2236842105263158,0.0851063829787234,0.34523809523809523,0.23170731707317074,0.36817436858789243,-0.3143186569213863,0.6746268656716418,0.008887826960102471,0.3641791044776119
500,head_only-minus-native,all,3344,0.27710843373493976,0.1,0.3493975903614458,0.2835820895522388,0.24281047626830746,-0.1919105052947998,0.6752392344497608,0.04996901344861205,0.6270933014354066
500,head_only-minus-native,top20,20,0.25,0.1,0.3137254901960784,0.256578947368421,1.9050806403160094,-1.6919970512390137,0.9,0.44009563552461717,0.6
500,head_only-minus-native,top_decile,335,0.2641509433962264,0.1,0.3492063492063492,0.2682926829268293,0.6927860480635913,-0.5570938587188721,0.9074626865671642,0.3826719191219149,0.7402985074626866
500,head_plus_lora-minus-native,all,3344,0.27710843373493976,0.1,0.3493975903614458,0.2835820895522388,0.29522824066392545,-0.22685503959655762,0.6785287081339713,0.06620872015499754,0.6118421052631579
500,head_plus_lora-minus-native,top20,20,0.2677881963596249,0.13043478260869565,0.34615384615384615,0.27559322033898304,2.5602038621902468,-2.5337417125701904,0.9,0.8539205342024585,0.75
500,head_plus_lora-minus-native,top_decile,335,0.2647058823529412,0.1,0.3493975903614458,0.27419354838709675,0.9234320633446992,-0.7287135124206543,0.9104477611940298,0.48397278195717425,0.6537313432835821
500,head_plus_lora-minus-head_only,all,3344,0.27710843373493976,0.1,0.3493975903614458,0.2835820895522388,0.10401260695959393,-0.027424573898314986,0.6157296650717703,0.016239706706385484,0.4922248803827751
500,head_plus_lora-minus-head_only,top20,20,0.28342245989304815,0.11940298507462686,0.34615384615384615,0.2899159663865546,0.9998428106307984,-0.8830347061157222,0.55,-0.09047899247609663,0.55
500,head_plus_lora-minus-head_only,top_decile,335,0.27419354838709675,0.11940298507462686,0.3493975903614458,0.28125,0.34152881209530045,-0.27642393112182617,0.764179104477612,0.06445392472299656,0.48955223880597015
