task_id,method,budget,fold,path,origin
strict_chemical__fold0__draw00__n100__native_continuous,native_continuous,100,0,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold0__draw00__n100__native_continuous,fresh native capture
strict_chemical__fold0__draw00__n100__repr_ridge_stable,repr_ridge_stable,100,0,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold0__draw00__n100__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold0__draw00__n500__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,500,0,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold0__draw00__n500__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold0__draw00__n500__native_continuous,native_continuous,500,0,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold0__draw00__n500__native_continuous,fresh native capture
strict_chemical__fold0__draw00__n500__repr_ridge_stable,repr_ridge_stable,500,0,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold0__draw00__n500__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold1__draw00__n100__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,100,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n100__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold1__draw00__n100__native_continuous,native_continuous,100,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n100__native_continuous,fresh native capture
strict_chemical__fold1__draw00__n100__repr_ridge_stable,repr_ridge_stable,100,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n100__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold1__draw00__n500__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,500,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n500__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold1__draw00__n500__native_continuous,native_continuous,500,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n500__native_continuous,fresh native capture
strict_chemical__fold1__draw00__n500__repr_ridge_stable,repr_ridge_stable,500,1,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold1__draw00__n500__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold2__draw00__n100__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,100,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n100__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold2__draw00__n100__native_continuous,native_continuous,100,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n100__native_continuous,fresh native capture
strict_chemical__fold2__draw00__n100__repr_ridge_stable,repr_ridge_stable,100,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n100__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold2__draw00__n500__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,500,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n500__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold2__draw00__n500__native_continuous,native_continuous,500,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n500__native_continuous,fresh native capture
strict_chemical__fold2__draw00__n500__repr_ridge_stable,repr_ridge_stable,500,2,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold2__draw00__n500__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold3__draw00__n100__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,100,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n100__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold3__draw00__n100__native_continuous,native_continuous,100,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n100__native_continuous,fresh native capture
strict_chemical__fold3__draw00__n100__repr_ridge_stable,repr_ridge_stable,100,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n100__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold3__draw00__n500__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,500,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n500__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold3__draw00__n500__native_continuous,native_continuous,500,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n500__native_continuous,fresh native capture
strict_chemical__fold3__draw00__n500__repr_ridge_stable,repr_ridge_stable,500,3,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold3__draw00__n500__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold4__draw00__n100__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,100,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n100__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold4__draw00__n100__native_continuous,native_continuous,100,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n100__native_continuous,fresh native capture
strict_chemical__fold4__draw00__n100__repr_ridge_stable,repr_ridge_stable,100,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n100__repr_ridge_stable,fresh fitted ridge
strict_chemical__fold4__draw00__n500__descriptor_lightgbm_rdkit_mordred,descriptor_lightgbm_rdkit_mordred,500,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n500__descriptor_lightgbm_rdkit_mordred,reused historical fit
strict_chemical__fold4__draw00__n500__native_continuous,native_continuous,500,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n500__native_continuous,fresh native capture
strict_chemical__fold4__draw00__n500__repr_ridge_stable,repr_ridge_stable,500,4,/home/dan/projects/nesso-finetune/PXR/artifacts/experiments/affinity_comparison_20260906/controls_v1/cells/strict_chemical__fold4__draw00__n500__repr_ridge_stable,fresh fitted ridge
