budget,method,record_id,fit_similarity,abs_change,top20
100,head_only,nesso_7e660cd2f66afd5bbacc,0.27450980392156865,0.9136507511138912,False
100,head_only,nesso_1f2662862dfcd9df467b,0.22413793103448276,0.9134578704833984,False
100,head_only,nesso_061e68afdb1c8f1f96de,0.23076923076923078,0.9109911918640137,False
100,head_only,nesso_9bd97dfb53c44469592e,0.2033898305084746,0.910297155380249,False
100,head_only,nesso_3be3df11aef5e43ec864,0.23728813559322035,0.9025373458862305,False
100,head_only,nesso_f5250c77df26ece917f0,0.19230769230769232,0.9012870788574219,False
100,head_only,nesso_c92c970a2bd5e72b7a0b,0.20454545454545456,0.8975872993469238,False
100,head_only,nesso_1446209e22908f8ea4e5,0.20967741935483872,0.8956704139709473,False
100,head_only,nesso_64885429dd9023480a43,0.23809523809523808,0.8950891494750977,False
100,head_only,nesso_b6c035deaa0aed1b6c49,0.16666666666666666,0.8950006961822514,False
100,head_only,nesso_cfe07c17f75d5eb08e2a,0.24489795918367346,0.8887910842895508,False
100,head_only,nesso_7a8012c768ef002e2610,0.13157894736842105,0.8831562995910645,False
100,head_only,nesso_c5903e99b2034bdad4ac,0.20588235294117646,0.8771505355834965,False
100,head_only,nesso_a12b09c4ab1f58258ba6,0.27419354838709675,0.8755624294281006,False
100,head_only,nesso_8f2bd49c37337f893e36,0.13157894736842105,0.8633947372436523,False
100,head_only,nesso_388e61b456804a52d531,0.24528301886792453,0.85676097869873,False
100,head_only,nesso_21c53d8a15113c5941c7,0.2,0.8517708778381348,False
100,head_only,nesso_f0590475bdebf30b71ce,0.26,0.8504219055175781,False
100,head_only,nesso_86ea49450f3b5c58506e,0.17142857142857143,0.8480982780456543,False
100,head_only,nesso_22978799cbf203042bf9,0.1774193548387097,0.8407473564147949,False
100,head_only,nesso_3d6e36b1fe7705fccc49,0.16176470588235295,0.8389849662780757,False
100,head_only,nesso_edc8c06762b1140dc169,0.2,0.8389086723327637,False
100,head_only,nesso_f9c40d795351a74446f5,0.225,0.8339810371398926,False
100,head_only,nesso_389d3107726b6ca3b319,0.21794871794871795,0.8256039619445801,False
100,head_only,nesso_c5625a5c825d46fa148a,0.21212121212121213,0.8223955631256112,False
100,head_only,nesso_b32cd3de767d16339d82,0.23684210526315788,0.8207376003265381,False
100,head_only,nesso_c4188e07ab9f66b6d823,0.31746031746031744,0.8188743591308594,False
100,head_only,nesso_043d40bf4102f26688d6,0.2972972972972973,0.8180599212646484,False
100,head_only,nesso_a642dce88639e86f5926,0.225,0.8172540664672852,False
100,head_only,nesso_8a0517fbf2afde9d34fb,0.1111111111111111,0.8167166709899902,False
100,head_only,nesso_b8b08b7c22f8d40a4399,0.17543859649122806,0.8145587444305415,False
100,head_only,nesso_e6d74000015b9556197c,0.27586206896551724,0.8139877319335938,False
100,head_only,nesso_21e9e6150c40c8571141,0.25806451612903225,0.8135881423950195,False
100,head_only,nesso_0cb71db5b8cbc1c25cb1,0.18604651162790697,0.8135790824890137,False
100,head_only,nesso_f99cb62860a4576f9af9,0.1724137931034483,0.8096880912780771,False
100,head_only,nesso_d7e9f5cf7703418f551c,0.28205128205128205,0.8074452877044678,False
100,head_only,nesso_9df0f863ba2c6952d54d,0.23214285714285715,0.8054766654968262,False
100,head_only,nesso_05c3665ea1a327497276,0.17543859649122806,0.8052549362182617,False
100,head_only,nesso_330c160a80e354ea907c,0.22388059701492538,0.8030986785888681,False
100,head_only,nesso_ec6d3e6270384a67fcf3,0.1568627450980392,0.8019769191741943,False
100,head_only,nesso_48835785bcdfa497ba95,0.25,0.8008785247802734,False
100,head_only,nesso_5664fb7e009d9d5256aa,0.13138686131386862,0.7985439300537109,False
100,head_only,nesso_e766f8d81a9ad5cb70b0,0.18518518518518517,0.7985410690307617,False
100,head_only,nesso_6ce1ba9ed5314a09a16e,0.14606741573033707,0.7947678565979004,False
100,head_only,nesso_ddf9fc4aac6beed786eb,0.28125,0.7945232391357422,False
100,head_only,nesso_380e21a6099699315fd2,0.2033898305084746,0.7929222583770748,False
100,head_only,nesso_dac249e5e4e0324d60b7,0.125,0.790461540222168,False
100,head_only,nesso_dc6d287476c3daac7ac7,0.27906976744186046,0.789421796798706,False
100,head_only,nesso_35c6dffbf412c7cd962e,0.20930232558139536,0.7882595062255859,False
100,head_only,nesso_9825ab8b417fbd33b96c,0.11864406779661017,0.7874705791473389,False
100,head_only,nesso_e08a31478a907313dd7e,0.2535211267605634,0.7868177890777583,False
100,head_only,nesso_eb66b47afefc0bc0683d,0.13725490196078433,0.7827351093292245,False
100,head_only,nesso_0916572182d89c344dfd,0.14583333333333334,0.7815847396850586,False
100,head_only,nesso_ed732c2ab972332d423e,0.2,0.779232501983643,False
100,head_only,nesso_0748894f7a0e7ccd3972,0.15789473684210525,0.7782983779907222,False
100,head_only,nesso_4150bd5b78510719e485,0.16666666666666666,0.7762579917907715,False
100,head_only,nesso_bb478bafff86f8e7bf41,0.3472222222222222,0.7672774791717529,False
100,head_only,nesso_43753c467432aeaa1ab7,0.17647058823529413,0.76688551902771,False
100,head_only,nesso_c77ecacb9934178c9e3f,0.16923076923076924,0.763247013092041,False
100,head_only,nesso_e8f6c2bfe7b8c588027f,0.2,0.7605700492858887,False
100,head_only,nesso_18ebadc54b6e8ca47524,0.23728813559322035,0.7582297325134273,False
100,head_only,nesso_1dcc5011c8f83758c411,0.3157894736842105,0.7560896873474121,False
100,head_only,nesso_e17101ab52b477a8b3fa,0.25,0.753943920135498,False
100,head_only,nesso_05d914562aedcc78163a,0.13043478260869565,0.7506446838378906,False
100,head_only,nesso_5c0a568495478cbf4b94,0.34146341463414637,0.7487778663635254,False
100,head_only,nesso_b899a3c8b943580e5127,0.2222222222222222,0.7438678741455078,False
100,head_only,nesso_0d387037591ae00e8c02,0.17647058823529413,0.7407751083374023,False
100,head_only,nesso_e4bd8fab427a0785b253,0.16455696202531644,0.7399659156799316,False
100,head_only,nesso_81ceb662ae1bc7291bdf,0.23684210526315788,0.7393364906311031,False
100,head_only,nesso_37b8fb565db2ade1239c,0.1348314606741573,0.7376751899719238,False
100,head_only,nesso_6f266b2c3f7d35c065d7,0.1320754716981132,0.7376189231872554,False
100,head_only,nesso_c20880eac0768b4d626c,0.2,0.736244678497314,False
100,head_only,nesso_41bc33721abcb3b23b6a,0.11764705882352941,0.7340908050537109,False
100,head_only,nesso_8dc42f73a5232c623df4,0.23529411764705882,0.7329969406127934,False
100,head_only,nesso_6d3d6677291c586ff580,0.1891891891891892,0.7260298728942871,False
100,head_only,nesso_fed1bbeebcf8fd14a770,0.22807017543859648,0.7215499877929688,False
100,head_only,nesso_86f590938d06200bb9fc,0.17647058823529413,0.7201097011566162,False
100,head_only,nesso_985bf0804b473f16de4a,0.20987654320987653,0.7141828536987305,False
100,head_only,nesso_62f84e96376a3c4d874b,0.23636363636363636,0.7140219211578369,False
