budget,method,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90,macro_weighted_mae,macro_mae,macro_spearman
100,descriptor_lightgbm_rdkit_mordred,3344,22195.68651120898,2782.3431885649925,0.6102662645055481,0.745000612973059,0.5005957956381644,0.20569772292405983,-0.11528185566440094,0.991413375332917,4.296472354729924,4.502170077653984,1.1327476130416705,0.5466353981129011,0.48257475170931297,1.5325000000000002,0.742241038316477,0.4843334670906864,2.322685968975854,6.239379764835656,1.61,7.54855421686747,1.0731533934486222,0.6177267404202017,0.6377774225878119,0.7601674641148325,2.2969265513946135,0.8447966507177034,2.872857272689386,0.6100868747774255,0.7449921661529343,0.5211450368491682
100,head_only,3344,22195.68651120898,2782.3431885649925,0.5894197050700021,0.790666107582848,0.44362407343041005,0.44173845876446577,0.09890466768813305,1.0945007605228025,4.296472354729924,4.7382108134943905,1.1327476130416705,0.4856843488968453,0.4287666054688728,1.5325000000000002,0.48959851264953613,0.31947700662286205,0.7165312767028809,6.896758556365967,1.61,7.54855421686747,1.0941730331726207,0.5807012747331793,0.6523880578374273,0.777511961722488,2.5118189015913233,0.8914473684210527,3.947578213705401,0.589470700660965,0.7906628100901494,0.44500139989706533
100,head_plus_lora,3344,22195.68651120898,2782.3431885649925,0.5831049200163234,0.7635094853099186,0.49427391570382956,0.3931617019517267,0.07667996323848617,1.05176282635973,4.296472354729924,4.689634056681651,1.1327476130416705,0.5852525515803289,0.5166663295884598,1.5325000000000002,0.619148850440979,0.4040123004508835,0.27306032180786133,7.101966381072998,1.61,7.54855421686747,0.9838953993588218,0.5744657762336463,0.6381846608097572,0.7888755980861244,2.3941116553174253,0.8974282296650717,3.833045623142754,0.5831609855193203,0.763509295890837,0.4931263795524631
100,native_continuous,3344,22195.68651120898,2782.3431885649925,0.6272246217981063,0.9141240809370189,0.38687161269746456,0.7126681299111186,0.33384091433207025,1.2698077142119082,4.296472354729924,5.009140484641043,1.1327476130416705,0.3458222929166435,0.30529509745603123,1.5325000000000002,0.40736567974090576,0.2658177355568716,3.730055809020996,7.441765785217285,1.61,7.54855421686747,1.246704657201706,0.5889012522019879,0.733614583806128,0.8005382775119617,3.3472146509024516,0.8932416267942583,4.586329761829102,0.6273686584541414,0.914129184840675,0.3850532652356482
100,repr_ridge_stable,3344,22195.68651120898,2782.3431885649925,0.6186101546473792,0.7662503089572238,0.4604780782076697,0.24146230335984958,-0.07196764811890173,1.1166044366775223,4.296472354729924,4.537934658089775,1.1327476130416705,0.7601500517129215,0.6710674495899006,1.5325000000000002,0.6226430659129072,0.40629237579961314,-6.602363373766557,13.332896587754341,1.61,7.54855421686747,0.5818718669135889,0.6257619664220445,0.6543323822265181,0.8038277511961722,2.4600804271208028,0.8971291866028708,3.5637141854818126,0.6183557697796156,0.7662405635894093,0.4804093336287155
500,descriptor_lightgbm_rdkit_mordred,3344,22195.68651120898,2782.3431885649925,0.5005882644475287,0.5996355491166773,0.6568631517488387,0.1696963755822231,-0.07927884864242879,0.8291793869948346,4.296472354729924,4.466168730312147,1.1327476130416705,0.6854571791969858,0.6051278954862559,1.5325000000000002,0.8441268971011278,0.5508168985977995,2.264636551145392,5.604191099975965,1.61,7.54855421686747,1.1644391895825226,0.5101905855609876,0.5216964038182821,0.7787081339712919,1.725293845831351,0.8785885167464115,2.3917960031300156,0.50054230807976,0.5996416823120599,0.6543590289543845
500,head_only,3344,22195.68651120898,2782.3431885649925,0.5772556048767891,0.7932207027253083,0.47263051257899164,0.4698594803540598,0.11836320437035604,1.1010037014534826,4.296472354729924,4.766331835083984,1.1327476130416705,0.4086926621526942,0.3607976370440249,1.5325000000000002,0.42330825328826904,0.27622071992709235,1.0930500030517578,5.896872520446777,1.61,7.54855421686747,1.37312600488342,0.5663383653344107,0.6468276820832856,0.7616626794258373,2.322703125978771,0.8905502392344498,3.8139178870739547,0.5773587077730781,0.7932176692883764,0.47112614548945064
500,head_plus_lora,3344,22195.68651120898,2782.3431885649925,0.5610158981704035,0.7565352583634528,0.5292908557846769,0.42068885922246396,0.09757577423090542,1.0478938484739215,4.296472354729924,4.717161213952388,1.1327476130416705,0.5131808862272641,0.4530408012507422,1.5325000000000002,0.5558691024780273,0.3627204583869672,0.9692697525024414,5.912570476531982,1.61,7.54855421686747,1.1873142205021463,0.5505676681529805,0.6230109782151863,0.7595693779904307,2.1647931799820164,0.8935406698564593,3.5526077555583426,0.5611212303849731,0.7565336065602031,0.5274993166371534
500,native_continuous,3344,22195.68651120898,2782.3431885649925,0.6272246217981063,0.9141240809370189,0.38687161269746456,0.7126681299111186,0.33384091433207025,1.2698077142119082,4.296472354729924,5.009140484641043,1.1327476130416705,0.3458222929166435,0.30529509745603123,1.5325000000000002,0.40736567974090576,0.2658177355568716,3.730055809020996,7.441765785217285,1.61,7.54855421686747,1.246704657201706,0.5889012522019879,0.733614583806128,0.756578947368421,2.7720282290312666,0.8842703349282297,4.437035978445026,0.6273686584541414,0.914129184840675,0.3850532652356482
500,repr_ridge_stable,3344,22195.68651120898,2782.3431885649925,0.5344679183218226,0.6666029104416206,0.6084392250204703,0.23655010479982502,-0.019763486711147353,0.9229464335035119,4.296472354729924,4.53302245952975,1.1327476130416705,0.7345780219173058,0.6484922267413181,1.5325000000000002,0.7716601986887524,0.5035303090954337,-1.4198932882013615,6.765703559937759,1.61,7.54855421686747,0.9514812732872194,0.5344207994592649,0.5719166248637054,0.7831937799043063,1.9701546352565922,0.8791866028708134,2.7311143047274555,0.5345403365998826,0.6666064610046372,0.6074185125496208
