budget,stratum,n,weight_share,delta_weighted_mae,contribution_to_overall_delta
100,lt4,1036,0.16354407756597575,-0.11153465137433885,-0.018240831675658938
100,4to5,1257,0.38500784822382167,0.026401304955877516,0.01016470961136332
100,5to6,995,0.4263712289474005,0.009187338296632956,0.0039172167202909105
100,ge6,56,0.02507684526280207,-0.0859709300384563,-0.0021558797096735507
500,lt4,1036,0.16354407756597575,-0.1183784379988834,-0.01936009244622844
500,4to5,1257,0.38500784822382167,0.017018311305172257,0.006552183416007508
500,5to6,995,0.4263712289474005,-0.004500811096421515,-0.0019190163584413384
500,ge6,56,0.02507684526280207,-0.06032582256139001,-0.0015127813177232313
