budget,method,similarity_lower,similarity_upper,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
100,descriptor_lightgbm_rdkit_mordred,0.0,0.2,20,93.22055313714478,12.606483922832012,1.1853060959700248,1.5079233883101648,0.6934938437025252,1.2103503291944562,0.5468780903392857,1.6900520555481018,3.2940000000000005,4.504350329194455,1.5569341668805396,0.7331054321662737,0.470864759577547,2.0825,1.1663797860611629,0.560086331842095,2.767220656487146,5.590649857249407,1.78,6.69,1.4607668763642825,1.194581597828483,1.2846774668470935,0.3,2.3391151475069227,0.5,2.859411835435791
100,descriptor_lightgbm_rdkit_mordred,0.2,0.3,910,6038.964231960527,754.1047951083781,0.5982767653032277,0.755384241886342,0.4728150638053058,0.23294609861127766,-0.10420741404222794,1.0204793587888794,4.302983516483517,4.535929615094794,1.1406661706718169,0.5399243147609885,0.4733412181786629,1.5074999999999994,0.7222492565573582,0.47910398444932567,2.322685968975854,5.753347572030344,1.62,6.87,1.0385684415646224,0.6014360091143982,0.6318460743360192,0.7571428571428571,2.3023020934869165,0.8362637362637363,2.8751100597678616
100,descriptor_lightgbm_rdkit_mordred,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.6114365339771398,0.7347655020294677,0.5100699245297888,0.18710241472158423,-0.12328789790037956,0.9722835883294327,4.30232334474601,4.4894257594675935,1.1218298007550147,0.5467997225886785,0.48741771899861364,1.5200000000000005,0.7503920849196088,0.49367900323658465,2.398915009102651,6.239379764835656,1.61,7.54855421686747,1.0822504316606445,0.6199491999589626,0.6361534292168004,0.7651201325600663,2.2945506130241737,0.8508699254349628,2.8721194402551102
100,head_only,0.0,0.2,20,93.22055313714478,12.606483922832012,1.1235471126073078,1.4936389174461364,0.7112781954887217,1.3932494101524355,0.9081664826597263,1.7420154481238304,3.2940000000000005,4.687249410152435,1.5569341668805396,1.0675346860504482,0.6856646278046244,2.0825,1.1407902240753174,0.5477984269269232,2.4835968017578125,6.151637077331543,1.78,6.69,1.0837726894744741,1.0342068311773414,1.2666736482107115,0.45,2.414163349151612,0.75,4.065321138381959
100,head_only,0.2,0.3,910,6038.964231960527,754.1047951083781,0.5997289265023298,0.8321458195382422,0.3569975237595985,0.5044935235977173,0.13945183601825648,1.1762199993417324,4.302983516483517,4.807477040081234,1.1406661706718169,0.50557897457061,0.4432313218098155,1.5074999999999994,0.49957966804504395,0.3313961313731636,0.7165312767028809,6.738335609436035,1.62,6.87,0.8367228871895838,0.5882899855800331,0.6708279202567536,0.7637362637362637,2.507286765968406,0.8758241758241758,3.960772297450475
100,head_only,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.5824443472821423,0.7692054638062638,0.4744893989189846,0.4101985548597358,0.07896488502189995,1.054876413399238,4.30232334474601,4.712521899605745,1.1218298007550147,0.46741589947781687,0.41665491428667367,1.5200000000000005,0.46686291694641113,0.3071466558857967,0.8674421310424805,6.896758556365967,1.61,7.54855421686747,1.2186106849106026,0.5749165523690165,0.6418660257190936,0.7854183927091963,2.5143364469374916,0.8985086992543496,3.9416289698356617
100,head_plus_lora,0.0,0.2,20,93.22055313714478,12.606483922832012,1.0659028979664262,1.3705725636482238,0.7413533834586465,1.2533154187202455,0.8143336013211436,1.6273362889620935,3.2940000000000005,4.547315418720245,1.5569341668805396,1.138969241676853,0.731546179604294,2.0825,1.4363183975219727,0.6897087142962653,2.0110926628112793,6.05531644821167,1.78,6.69,1.019028395612858,1.0010896048083797,1.1864505280632507,0.4,2.3047412452697764,0.85,3.9391384906768807
100,head_plus_lora,0.2,0.3,910,6038.964231960527,754.1047951083781,0.6007710125292502,0.8110316475669106,0.4140843650321155,0.4539416765485491,0.11385163714060378,1.1394498760636604,4.302983516483517,4.756925193032066,1.1406661706718169,0.6085034889203363,0.5334632555657776,1.5074999999999994,0.6393328905105591,0.42410141990750205,0.27306032180786133,6.66790246963501,1.62,6.87,0.7820005331170229,0.5894440250113462,0.6627989824453326,0.765934065934066,2.3889866795382653,0.8846153846153846,3.8471834141657912
100,head_plus_lora,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.5736616742067564,0.7405656455333531,0.5221882970429941,0.3631232383152402,0.05842473506329859,1.0104446914298149,4.30232334474601,4.66544658306125,1.1218298007550147,0.5671752103593389,0.5055804454272994,1.5200000000000005,0.5998990535736084,0.39467042998263696,0.3917112350463867,7.101966381072998,1.61,7.54855421686747,1.0741004264841818,0.5661289787818812,0.6257508497501003,0.8007456503728252,2.3967840398078923,0.9026512013256006,3.826837152893521
100,native_continuous,0.0,0.2,20,93.22055313714478,12.606483922832012,1.5588356789534954,2.144318350791931,0.6330827067669172,2.0148909864425657,1.281155789715006,2.370205804535689,3.2940000000000005,5.308890986442566,1.5569341668805396,0.6447119477856159,0.41409069278590976,2.0825,0.9531848430633545,0.45771180939416783,4.1242241859436035,6.276876926422119,1.78,6.69,1.5416779126400746,1.4494911752705975,1.7685071137857176,0.25,3.2563932514190674,0.6,4.589826936721804
