selection_scope,objective_label,selected_objective,selected_delta,selected_learning_rate,fixed_refit_epochs,development_cv_native_loss,development_cv_mae,development_cv_spearman
within_objective,mse,mse,,0.001,15,0.7792203298382212,0.6292122893831108,0.6408704882058898
within_objective,mae,mae,,0.01,14,0.651969912341622,0.6249727344674089,0.6355882748641257
within_objective,huber_0.25,huber,0.25,0.001,18,0.1353030178793951,0.6238942653957469,0.6342881359060444
within_objective,huber_0.5,huber,0.5,0.001,18,0.22445034142137998,0.6246277138566588,0.6340666746193496
within_objective,huber_1,huber,1.0,0.001,21,0.31530246741927126,0.617447934548965,0.6432812151667419
within_objective,huber_2,huber,2.0,0.001,21,0.36860303918532494,0.6206069115521538,0.6460511397395017
global_all_objectives,global_selector,huber,1.0,0.001,21,0.31530246741927126,0.617447934548965,0.6432812151667419
