dataset,model,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,mse,42,3344.0,0.7196266818492909,0.9330520305150652,0.7796420896559024,0.6039782881883194,0.5784636606170376,-0.16007509343262094,0.9947470684038608,0.798212811235287
nested_development,mse,43,3344.0,0.6827666640243194,0.8882742450601459,0.7397080209969071,0.631217645618243,0.602372915324373,-0.10755637153099201,0.5039605779349281,0.9053683081747523
nested_development,mse,44,3344.0,0.6475230328222514,0.8638626525512575,0.7015251423314982,0.6531863573570847,0.6235842494369586,0.07108505369187941,-0.5592701416169974,1.1117753110660358
nested_development,mae,42,3344.0,0.6347177016354366,0.8681487773240103,0.687651872458335,0.656424461206928,0.6231437584399676,0.14924813293198477,-0.3642379736491789,1.0483588298710746
nested_development,mae,43,3344.0,0.6435741666733666,0.8941526678800638,0.6972469487434333,0.6615849450052282,0.6361456874449555,0.266495630211663,-0.8392656768249872,1.1255257649195745
nested_development,mae,44,3344.0,0.6469953482220919,0.8942382109496125,0.7009534499044048,0.6459193923260007,0.6232399373087274,0.22714627686969802,-0.12581191578350526,0.9775988275452032
nested_development,huber_0.25,42,3344.0,0.6380891711165764,0.8634963307281353,0.691304515665966,0.6494936086034333,0.6254511145988579,0.04388493883652378,0.19618507072491867,0.9446888831209146
nested_development,huber_0.25,43,3344.0,0.6312245726461349,0.8698043894011701,0.6838674235859581,0.6631141134688868,0.6322308011530925,0.18429868357703277,-0.5784994571820924,1.0879761028258217
nested_development,huber_0.25,44,3344.0,0.6517204593489917,0.896407978285821,0.7060726257295225,0.63175113481184,0.6146581191288472,0.17355121457790473,0.11365118735422969,0.9357492421507283
nested_development,huber_0.5,42,3344.0,0.6325691473245922,0.8493181166920897,0.6853241330694323,0.6638466201316473,0.6268990245518455,0.05009733688988012,-0.2576288192090738,1.04774603815034
nested_development,huber_0.5,43,3344.0,0.6646294227161209,0.8899960872396998,0.720058170496952,0.6230884780965704,0.5845074785692868,0.0841966075998442,-0.12540108057003135,1.0094059773346293
nested_development,huber_0.5,44,3344.0,0.6304638327412931,0.8526054863585067,0.6830432395137788,0.66243691503614,0.6318374775696066,0.07705772706866092,-0.26356984116604393,1.0426456685123977
nested_development,huber_1,42,3344.0,0.6247943734884565,0.8522316305141835,0.676900958841609,0.6706389139345829,0.6412356979690027,0.12795346147805708,-0.5242443316033324,1.0895688811582156
nested_development,huber_1,43,3344.0,0.6361827744098673,0.8468626072101644,0.6892391293349419,0.6643968719192983,0.6375366660729256,-0.021177475893470667,0.03750069670127446,0.9961819660934716
nested_development,huber_1,44,3344.0,0.6417098919074805,0.8655473969467216,0.6952271972377873,0.6493019178543517,0.6173537320732853,0.08057071610315393,0.050648036079275746,0.9700211421137658
nested_development,huber_2,42,3344.0,0.6312472343520417,0.8468637965619554,0.6838919752322409,0.6701822853932603,0.6380787649323988,0.06335336461406404,-0.5747728079080349,1.117302726350933
nested_development,huber_2,43,3344.0,0.6569811290036282,0.8669962021228546,0.7117720245789234,0.644255694627543,0.6068197419434804,0.013392632581826594,-0.204844105677403,1.0444216869111231
nested_development,huber_2,44,3344.0,0.6331545642764107,0.8492134015755161,0.6859583726093877,0.6635460794321018,0.6315772080774057,0.042342936089590395,-0.25209321161516407,1.0483427529098515
nested_development,global_selector,42,3344.0,0.6266960533915827,0.8433006922658807,0.6789612349971845,0.670081370990131,0.6336701648335945,0.05020808453009287,-0.2959178041912801,1.0565281306262797
nested_development,global_selector,43,3344.0,0.6295128485279522,0.8573856375575766,0.6820129451430732,0.6570417192640662,0.6267457336531559,0.07038408274955556,0.10463485170996296,0.959921069775186
nested_development,global_selector,44,3344.0,0.6316442386660581,0.8636264641945498,0.6843220889019935,0.6578273991247782,0.6275256890755955,0.1340147380861637,-0.16435618067907556,1.0068483311106151
retrospective_lockbox_790,mse,42,790.0,0.5997379118279567,0.8011493805617425,0.7126739518363148,0.6647832209972779,0.6120026896224942,-0.03737591598607317,-0.7771549823930232,1.1858157021226519
retrospective_lockbox_790,mse,43,790.0,0.6080224496261982,0.8017432154480149,0.7225185425739833,0.6654683796199102,0.6024541082686693,-0.05789984588381611,-0.7527095158132755,1.1857909788139662
retrospective_lockbox_790,mse,44,790.0,0.6115357015827034,0.8035435261654268,0.7266933714554988,0.662160425089647,0.5986979237927863,-0.1056586505793318,-0.2158478565578233,1.0745045666672217
retrospective_lockbox_790,mae,42,790.0,0.587662953726853,0.8210615724920718,0.6983251705796113,0.6420671940792534,0.5800737585775363,0.11177251139773597,-0.12258853769455187,1.0023862266647456
retrospective_lockbox_790,mae,43,790.0,0.5747441209841379,0.8029148389125221,0.6829736055004567,0.6658847888243952,0.6033039265693295,0.10221208180053323,-0.7411666000955193,1.1412638031802789
retrospective_lockbox_790,mae,44,790.0,0.7426561441421509,0.9100878321453393,0.8825049720270738,0.6510527188265289,0.5931384173620633,-0.420924406594868,0.6917361609988603,0.9322969482489923
retrospective_lockbox_790,huber_0.25,42,790.0,0.6142393447537965,0.8084092195280272,0.7299061349395104,0.6568154571925925,0.5928999410489683,-0.11540818202344678,0.0452699399240613,1.0162903464632902
retrospective_lockbox_790,huber_0.25,43,790.0,0.6047855900148802,0.8215166790982943,0.7186721532008213,0.6336144130201088,0.5615927083572853,0.023087533636938166,0.1295095318982147,0.96566226708258
retrospective_lockbox_790,huber_0.25,44,790.0,0.619042830756948,0.8110302231725692,0.7356141605369291,0.6567199136839336,0.597013399435205,-0.1262150289438948,-0.1368050665902511,1.0612429111772663
retrospective_lockbox_790,huber_0.5,42,790.0,0.5910920421503767,0.8014448600720647,0.7023999871783155,0.6557708178088267,0.5939603915208393,-0.0015405146683318755,-0.17136537326420173,1.0391244919452685
retrospective_lockbox_790,huber_0.5,43,790.0,0.614028984009465,0.8215121580706765,0.7296561613760301,0.6358120546380843,0.564907159152176,-0.040357110651233534,0.3486842692058989,0.9296146804156215
retrospective_lockbox_790,huber_0.5,44,790.0,0.6190501083301593,0.8105073068284264,0.7356228085425961,0.6579336481495873,0.5994442027756361,-0.12340640436244917,-0.25980818928204363,1.0891712820195776
retrospective_lockbox_790,huber_1,42,790.0,0.5906961518420448,0.8440572655855186,0.7019295471661565,0.6694007001526701,0.6081457770162025,0.27998433879659146,-1.1685911373894387,1.1890289963907887
retrospective_lockbox_790,huber_1,43,790.0,0.587669147841538,0.7977152021521187,0.6983325311017722,0.6665943957838814,0.6031263471469636,0.03864161135275153,-0.744616215929416,1.1583059113874485
retrospective_lockbox_790,huber_1,44,790.0,0.5796823150900345,0.7931145086899862,0.6888417059472962,0.6667309465049785,0.6077008525017622,0.026861258217051057,-0.40021472808680286,1.0839415518555977
retrospective_lockbox_790,huber_2,42,790.0,0.5892566638294655,0.8351207089371342,0.7002189906208498,0.6715750154382867,0.6082002361660851,0.25575845012181925,-1.1871435947296907,1.1991553638577233
retrospective_lockbox_790,huber_2,43,790.0,0.6304707926738111,0.8119030745763677,0.7491941104118706,0.6633325412916221,0.6046491710133913,-0.1593854733962047,-0.2247387444166246,1.0901375832558904
retrospective_lockbox_790,huber_2,44,790.0,0.599117397416996,0.7960464089364723,0.7119365889837933,0.66638648018606,0.6063857789884199,-0.07883403047730651,-0.18583841751552038,1.0609551696432942
retrospective_lockbox_790,global_selector,42,790.0,0.5906961518420448,0.8440572655855186,0.7019295471661565,0.6694007001526701,0.6081457770162025,0.27998433879659146,-1.1685911373894387,1.1890289963907887
retrospective_lockbox_790,global_selector,43,790.0,0.587669147841538,0.7977152021521187,0.6983325311017722,0.6665943957838814,0.6031263471469636,0.03864161135275153,-0.744616215929416,1.1583059113874485
retrospective_lockbox_790,global_selector,44,790.0,0.5796823150900345,0.7931145086899862,0.6888417059472962,0.6667309465049785,0.6077008525017622,0.026861258217051057,-0.40021472808680286,1.0839415518555977
