scope,outer_fold,objective,delta,objective_label,learning_rate,candidate,candidate_order,global_candidate_order,native_loss,best_epochs,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
outer_training,0.0,mse,,mse,0.0003,mse_lr0.0003,0,0,0.7963155318420624,21;26;26;21,2675.0,0.638934312078886,0.8599708542724862,0.6893786653218598,0.659030154695143,0.6291816923349136,0.07606632605222899,-0.6431301238836055,1.1298903600557308
outer_training,0.0,mse,,mse,0.001,mse_lr0.001,1,1,0.7821632606960903,15;13;18;17,2675.0,0.6342460390322677,0.8498011447197269,0.6843202495278694,0.664704551208086,0.630841156022516,0.038508634905948816,-0.4314958663183398,1.090797896121727
outer_training,0.0,mse,,mse,0.003,mse_lr0.003,2,2,0.8035635970908904,11;20;11;6,2675.0,0.6366805636254427,0.8556926068514755,0.6869469817020667,0.6621230897220826,0.6281974923703293,0.06849335472606052,-0.5873693549788483,1.1190590969606633
outer_training,0.0,mse,,mse,0.01,mse_lr0.01,3,3,0.8347948145420752,9;6;7;3,2675.0,0.6539933912687212,0.8806981855161028,0.7056266703461745,0.6416649006704525,0.6153687698626066,0.11114049740372418,-0.7230986216931076,1.1390565716380234
outer_training,0.0,mse,,mse,0.03,mse_lr0.03,4,4,0.8157805374626801,11;12;10;5,2675.0,0.6381432478539298,0.860650664617544,0.6885251459705358,0.6583049359669281,0.6246570403901133,0.08145706905828458,-0.6094728957346722,1.1207969604160486
outer_training,0.0,mae,,mae,0.0003,mae_lr0.0003,0,5,0.6640067214832127,23;30;29;28,2675.0,0.6340703621801929,0.8675339806959347,0.6841307028537876,0.6521243619892638,0.622978919201711,0.11695743808568082,-0.3051180217333065,1.042699697165172
outer_training,0.0,mae,,mae,0.001,mae_lr0.001,1,6,0.6667769824233011,22;9;12;16,2675.0,0.6393006571653848,0.8715433879479016,0.6897739336334895,0.6471388321386998,0.6161295569528307,0.11457248757264327,-0.18215014169962707,1.0153438508585624
outer_training,0.0,mae,,mae,0.003,mae_lr0.003,2,7,0.6612268923376208,12;8;19;10,2675.0,0.63314919867471,0.8661374063875764,0.6831368127841078,0.6559990737041479,0.6244211779529428,0.1272256826062069,-0.4454527605780154,1.0720480881011971
outer_training,0.0,mae,,mae,0.01,mae_lr0.01,3,8,0.6712788291066607,7;9;7;10,2675.0,0.6467896649155661,0.8828680912778736,0.6978542042807289,0.6390211095834406,0.6113719209477974,0.13739364506373897,-0.3212672481017661,1.041534222671764
outer_training,0.0,mae,,mae,0.03,mae_lr0.03,4,9,0.6882584998540789,8;9;4;5,2675.0,0.6581151680527446,0.9004500371994965,0.7100738645638076,0.6209644329709929,0.591984491018761,0.1477948810719998,-0.16432264951202988,1.0037246181143034
outer_training,0.0,huber,0.25,huber_0.25,0.0003,huber_0.25_lr0.0003,0,10,0.13790097410990812,26;30;29;28,2675.0,0.6353463004459845,0.8721145133117956,0.685507377422794,0.6493673612455217,0.621882558793111,0.13209583280688136,-0.2715812705974405,1.0315453680997992
outer_training,0.0,huber,0.25,huber_0.25,0.001,huber_0.25_lr0.001,1,11,0.1383005764551252,8;13;24;19,2675.0,0.6381631186084212,0.8687964975726847,0.6885465855363118,0.6469671628242163,0.615810699836218,0.08998534272095868,-0.14626134942076494,1.012849488221002
outer_training,0.0,huber,0.25,huber_0.25,0.003,huber_0.25_lr0.003,2,12,0.13961276675496145,9;13;11;10,2675.0,0.6413358607425869,0.8808196839317242,0.6919698180916976,0.6434979133477283,0.6184686956416307,0.14639333090381088,-0.43929696631228726,1.066028204180348
outer_training,0.0,huber,0.25,huber_0.25,0.01,huber_0.25_lr0.01,3,13,0.13851579203226855,8;8;10;10,2675.0,0.6411917643573798,0.8755220030682874,0.6918143451865274,0.6452538622778967,0.6162198350716596,0.12222379183546407,-0.41972949204535787,1.0674330365884148
