feature_coordinate,PC1,PC2,PC3,PC4,PC5
397,-0.0019487698822918285,0.005947899458811107,0.009555064432843341,-0.0025747715721275953,-0.008514650505080604
398,0.0001506463917369174,0.00012551630441256113,8.083343282659123e-06,1.882349838522931e-05,-4.9341283546674835e-05
399,0.03705815901817938,-0.053290357515588124,-0.003987460479596827,0.1240964630020812,0.04275346665364334
400,0.009605539727984972,-0.014813461194226454,-0.007774896127655795,0.026406291235531003,-0.004674932059183889
401,0.00012867460617039153,0.0002950399969993277,-3.254330701466008e-05,4.5573905051896436e-05,0.00026337161871752083
402,0.004627709871063244,-0.0070605915948332145,-0.0025763218491754087,0.016223152808805465,0.0046395584349004995
403,0.005463389216000083,-0.010416887478530874,0.0006989466568545722,0.023706205285073407,0.018065090597254176
404,-6.9701278078656145e-06,2.1605133684484338e-06,-2.0808462087708437e-05,-4.596493090146684e-05,0.0001013714629436796
405,0.018493285405391035,-0.02160625332222581,0.008605085617338134,0.058571562134370224,0.02568640303862531
406,0.0010770981555667278,0.00014727481369240417,0.0006972550359525644,0.0004088505289550582,-0.001236968962390244
407,0.015323750422925357,-0.019151601746781582,0.005427501937492989,0.05110002584255058,0.019957960785319383
408,0.015085695438482071,-0.011743230738268119,0.011228525996694362,0.036028871501648935,0.014666668258274753
409,0.010244197343655405,-0.0163994323706009,-0.0032202201238920054,0.0356652938924019,0.015053858816083232
410,0.0016053023385947207,-0.0029118959680936715,0.002659342272746626,0.007488094489344137,-0.004319141371026223
411,0.0006945561264398238,0.000833059760061072,-4.7378416077354136e-05,0.00031357750209896315,0.0001976969130948833
412,-0.00017405343045867583,0.0006487698897833627,0.0015676091679947878,0.0003644970714322554,-0.0006399358804791036
413,-0.0009461515373248541,0.0035804233952121517,0.009071142808985964,-0.0008640488170379451,0.0009502262691349617
414,-0.001300091455138036,0.003981539551233376,0.00569186070993573,0.0002670795121182528,-0.01146894870528543
415,0.019903911059803693,-0.021080673543549033,0.008799912372407383,0.05669919471096119,0.02512346455301325
416,0.00288402229546161,0.002893835832421932,0.000389855352286308,0.0016670444643844232,-0.000274491119876766
417,0.0,-0.0,-0.0,0.0,0.0
418,0.02185270332049206,-0.029393631112766397,-0.0016187321834232227,0.07042676316585943,0.007343770324930922
419,-0.002876158285014316,0.008287020075453023,0.01294866231607721,-0.010189192632657666,0.0014386250204951989
420,0.01719357191583143,-0.023851107789697734,-0.0013168769317915133,0.05303547507306115,0.02510725401201559
421,0.025553812167207077,-0.04163677665326774,-0.013835887824441817,0.08631805962866716,0.03407518109677149
422,-0.0003039716667916046,0.0012121773960189742,0.003306100403460469,-0.00027204669888257173,0.0007038355967809497
423,-0.00030901484886181925,0.0012901231370663158,0.003400989450596501,-0.002144697861376578,0.002617731142793304
424,-0.004360608470767134,0.010721659030528404,0.011433499077701088,-0.012243691142809947,-0.0073818778555621465
425,-0.0005975148259268293,0.0021369313771344616,0.004594643584199705,0.0007473018463335306,-0.0027762092538033425
426,-0.003914552527915153,0.010719259313321447,0.006263539503367656,-0.009050865535269712,-0.041398238430133724
427,-0.0036759274823987076,0.010414166794198414,0.01388038046829528,-0.006308396710489478,-0.016605777022931097
428,-0.000948400682799366,0.005423879856227199,0.00191400553694898,0.004635334330553302,-0.04899943352976091
429,-0.0009154532714071415,0.003068325368892069,0.0058348708272119255,0.00013408938421657194,-0.004266731218644506
430,-0.001405090599170536,0.004845623310408182,0.012941982290679431,-0.00579809705504954,0.008706288839526703
431,-0.0006805958491797236,0.0025554978808100723,0.0062712243139413605,0.00038052369228249166,-0.0007970591448408747
432,0.011853411425593565,-0.015656853685894402,0.004411252202447293,0.03916568883399446,0.022542268568073953
433,0.0167540412300967,-0.018624760983704376,-0.0013273053038058951,0.052981299401104916,-0.026341911061441698
434,-0.006945135422831089,0.016606215104208913,0.01197701078827434,-0.013960217529172803,-0.055223843118885514
435,0.03091099419058376,-0.0478644652490549,-0.01324093881458696,0.10534431208845794,0.03276609238973347
436,-0.00014742477344757818,0.00045788477155279017,0.0005655257951653484,-0.0002431736108036047,-0.0009153453855675488
437,0.013708084524201714,-0.01661214967907135,0.0029449232983310017,0.042015949209050656,0.022344319922289062
438,-0.0011641272237715647,0.005529360058233864,0.0034717865600852726,-0.004353176919746358,-0.025486268363981563
439,-0.0008432371377475191,0.0027983344518176883,0.00578286424510499,-0.002532455633328313,0.0012081425584193931
440,-0.0019801484610230853,0.0043769005573392784,0.0036747193976910766,0.003846453896583345,-0.023609597434194295
441,-0.0002483806418400925,0.000947417745813033,0.0024108629063945473,-4.2417255408759494e-05,6.866374081124246e-05
442,8.160624527551824e-05,0.00020213087232711806,-2.7811211880037436e-05,0.00015041039457070767,0.00021539958607078063
443,0.001378152740885696,0.0016502077403433989,-0.00018558005814547874,0.0006803028581946995,0.0003039835652748344
444,-4.99422297514307e-07,1.8764296742388199e-06,2.8638394756069878e-06,-7.343600257426075e-07,-6.8178030562607255e-06
445,0.016335309893299184,-0.01753042265862539,0.007634909323058975,0.04784519046975916,0.009778024444552759
446,0.016657692067935707,-0.027487657447602343,-0.0058048399608441855,0.0562643623380031,0.03509218612457791
447,0.020665210177179462,-0.02548156187405017,-0.0032319878232472616,0.07882889314436535,-0.03873247056989032
448,-0.00012743170395752943,0.0004094324298222538,0.0006939134344859986,-0.000334529580585035,-0.00028296349316162613
449,-0.003101483590236036,0.010004401930931427,0.018111324364199988,-0.0010043782239285226,-0.01591922617908308
450,0.0001173295201936224,0.00016603031076200584,-2.643020008635704e-05,0.00014872038412594337,-0.00014759644349832324
451,-0.0002868458299541843,0.0012248579382883077,0.0025058499231537007,0.0010266722088422928,-0.0066190893692244885
452,0.02459747486173833,-0.0370222353130632,-0.007705037751160103,0.08050563165689396,0.02247919120320679
453,-0.005908430646629406,0.01763976444919091,0.0282400659708118,-0.0128388952203515,-0.013934632287576637
454,-2.485860012443301e-05,9.381172131858322e-05,0.0002135528426369017,0.0001693203555669387,-0.0003605704462976011
455,0.018171479884856078,-0.020861742413660074,0.008381564532688901,0.05685480880191121,0.028885014002493846
456,0.007440174944877642,-0.012834874609390375,-0.010534904050066954,0.02856002131945694,-0.0036590062767025604
457,-0.00025837081250643486,0.002849807636210327,-0.0015090053946487847,-0.0018996029519530693,-0.02518106710839487
458,0.00033992358544388505,0.00028201402790273793,0.00013127223251341492,8.103765025004481e-05,-0.0002563043755943121
459,-0.000935690284953504,0.002226917795109164,0.0012578212014853892,-0.0037245563570551866,-0.002250123685621744
460,0.002833900504377413,0.0020833589982895283,0.0017234615518153835,0.001215291760998349,-0.0011539348409018775
461,0.021005994198283546,-0.030301228704660836,0.0034260367928936625,0.06653172099985499,0.046090731538030345
462,0.0101150855765282,-0.010625507746023471,-9.420048386159993e-05,0.03908444001068292,-0.043419805615269126
463,0.02034936533643262,-0.024714829354159824,0.007299182576216106,0.06256607058347712,0.02290521735969279
464,0.009433003117610302,-0.01584534278791342,-0.007401486670075608,0.033139167794630754,0.0019295976887040698
465,3.209706754116251e-06,-6.759373174585703e-06,1.0714528572528878e-05,-3.567579386200005e-06,-2.958826022595324e-05
466,0.0007043647472379872,0.0005493672178943495,0.000356206009052094,0.0005704048605603006,0.000726388616484437
467,0.00100224760654767,0.0012893771294013503,-0.0003103308060787475,0.0004895947614158427,0.00043054020426507
468,-0.001116567931279522,0.0044098951430071335,0.009059739322315118,0.001722795169660526,-0.010882174542861311
469,-1.5177693293907395e-05,6.910758100026579e-05,0.00022009866593054322,0.0001273519651835714,-9.695611744387084e-05
470,-0.0005967257373799536,0.002084529057076068,0.004230290275983602,0.0011063814542716956,-0.004298684578034275
471,-0.0038827812343956263,0.010584773293014525,0.012231485656763137,-0.006230218968860854,-0.02021547971615345
472,0.012425024827073361,-0.007505078130541876,0.010959870070886266,0.027838201576195983,0.008272788979583839
473,0.013869699744914542,-0.019562362231286465,-0.0010018801087024335,0.0426792595594079,0.017598866092058883
474,0.00322849529224828,-0.0004398469897045256,0.003656734143575375,0.0032054417088330737,-0.003784587744181162
475,-4.526240080318334e-05,0.00024415439464356854,0.0007286533157418313,-0.00022633333073774525,0.0003837678063074193
476,0.01031860608011855,-0.01363544452350691,-0.005770104907259662,0.029779267255277974,-0.007440722972776629
477,0.000747135324868758,0.0008166883213032394,1.6234615112248755e-05,0.00027527084353960577,-2.8243339452632046e-05
478,4.5490764431918725e-05,0.0017514093248945316,-0.0001383445166440872,-0.006559880117215838,0.011923354836541208
479,0.012378551239219555,-0.011018342854893424,0.006504780831206781,0.03498879640111317,0.003181541455763279
480,0.0,-0.0,-0.0,0.0,0.0
481,-0.0010384895659312123,0.0034360487920040922,0.006400169072617964,-0.0004660692389602006,-0.004108244440588066
482,0.003142800979856832,-0.002048632726851403,0.003373708540649515,0.008244927727205646,-0.0003977898014911433
483,-5.198076961497048e-05,0.00021365067160403084,0.0005994884211932007,0.00013191511660390204,-4.799278843383243e-05
484,0.0012751553943106818,0.0005975320091862538,0.0013805466615534393,0.000873499903474989,-0.0010976637167392734
485,0.0017144356899700388,0.0019206365130823876,1.806023338296879e-05,0.0008772225559622365,0.00018828963417548948
486,0.020334394670592802,-0.03418957388623166,-0.01688107138975329,0.07231789326334451,0.009808558726514666
487,0.029839644340310126,-0.03624135110339843,0.007066435914538078,0.08564441296663504,0.025331674668058152
488,4.6264720325612346e-06,3.115948505675258e-06,1.1467206390176436e-05,-2.44710241300773e-05,6.823665329279618e-06
489,0.0011551677589352646,0.0011911999494299062,0.0041847252048084465,-0.0007065536973087324,0.007709222465551574
490,0.024018354618337956,-0.03374049718944776,-0.0073387635085135966,0.07781952055624228,0.01945010287146136
491,0.00577055916041251,-0.0022803602937434817,0.006496365679280132,0.011787654456963342,-0.0018710219223020683
492,-0.0011745845602256569,0.003877134125310445,0.007047935258261494,0.0007555759082613381,-0.00672807389710886
