feature_coordinate,mean
0,0.0002753493246849644
1,0.011115456414386701
2,2.426353422809018
3,0.0
4,0.03667072637639405
5,0.021096215587840125
6,0.0034400478259406305
7,0.02986925421282649
8,0.014109902600501552
9,0.6393998087691277
10,0.0
11,1.5382599165177409
12,0.30477010204265137
13,0.0
14,0.0
15,0.09130067086854335
16,1.7348881807617185
17,0.01202447060495615
18,0.0013660365742359435
19,0.0006404784538685099
20,0.034943371445261405
21,0.007440477979489776
22,0.006845806426765246
23,0.6134988347282321
24,0.006709716302837339
25,0.00023250262203969454
26,0.0
27,0.02364494794150859
28,0.015497978539406612
29,0.046288920142693424
30,0.0
31,0.00852013725573509
32,0.14578479900956154
33,0.0
34,0.0
35,0.09963608154822051
36,0.006651268719414775
37,0.03420141731883493
38,0.9753809740731234
39,0.18726423240387055
40,1.6252749742111237
41,0.015173231630305354
42,0.07217848064761127
43,0.8869264143587059
44,0.001590230651467183
45,0.07720070095447619
46,0.012570588239000745
47,0.0
48,0.0024067625964871433
49,1.0770318769950726
50,2.7736538163872
51,0.005652193398923395
52,0.034090532805396326
53,0.009124435248236622
54,0.0
55,0.05365081617840383
56,0.014814068639036001
57,0.07971514297179147
58,0.46405196142645827
59,0.0034842068890920666
60,0.0
61,0.049908204191324246
62,1.3376483817904536
63,3.034529874555802
64,0.008812218986932883
65,2.6061584518144003
66,0.03656832239274203
67,0.6745900915251626
68,1.4855470482502846
69,2.2996318103638633
70,0.43044671134992046
71,0.0016389217085102529
72,0.0783893330786912
73,0.01515957121915545
74,3.3814377135521414
75,0.0
76,0.06990728713572025
77,0.49022988303515475
78,3.058456381720504
79,0.0004908803083965083
80,0.011381461848749927
81,0.005636404789805983
82,0.09800517097762763
83,0.001979574979991434
84,0.00013156213828821502
85,0.0012900124361925717
86,0.0
87,0.0
88,0.010723479448608235
89,0.0
90,0.00429611587139408
91,0.00014901706619125805
92,0.573098564053146
93,0.034750851646564794
94,0.8573166832960607
95,0.0015669892136560102
96,0.0
97,0.0002014680128348501
98,0.0
99,0.05399650303283751
100,0.042753969500750374
101,0.024846741626636262
102,1.7573340867320744
103,0.012817336990538112
104,0.021211116472214603
105,0.07054943930019032
106,0.004736849298460062
107,0.006618395510116263
108,0.051005102471230135
109,0.020072702559058745
110,0.007635583461632141
111,1.7085496171168164
112,0.0
113,0.01023408696590143
114,0.002710959446309001
115,2.851330064700551e-05
116,0.012024662969856742
117,0.0
118,0.005016940882046257
119,0.8766968395643417
120,0.0013378073269741957
121,0.05319904339940924
122,0.19286412696028796
123,2.9934288992337064
124,0.35144113582412995
125,0.14204280809209677
126,2.2434999352347766
127,0.0007809997407015431
128,0.14092959550935685
129,0.0
130,0.01773211810933916
131,0.007280484975970675
132,0.018286417777601042
133,0.17890496294205768
134,1.420817304717858
135,0.00021503972664974522
136,0.0008079661992178009
137,0.0026766092440728365
138,0.0022350149050925335
139,0.002379178056163651
140,0.014328154267377831
141,0.046040494244492226
142,0.3269573855325223
143,1.5514355322622368
144,0.0034226041608022163
145,0.03395017590061828
146,0.0
147,0.011408047670382632
148,0.0
149,0.9505055768094494
150,0.003423154567987725
151,0.001021438238153047
152,1.1387217852073102
153,0.34370386719917567
154,0.006365246558339117
155,2.9454969214264337
156,1.0597127697081863
157,1.8552309386187087
158,0.16912073834964106
159,0.00857930462005321
160,2.8966150170985308
161,0.0
162,0.4774978732685759
163,0.4828225715290844
164,0.0
165,0.001051406505290401
166,0.004790235367051045
167,0.04065663938891838
168,0.005309662812848411
169,0.00019801706164790112
170,0.0
171,0.19129933345545994
172,0.0014049375884270553
173,1.4808416632093204
174,0.005030714869989376
175,0.29396247567216816
176,0.0023217161841084513
177,1.7155629391269536
178,0.0
179,0.04503716263278392
180,0.08254667550757634
181,0.016568956125759336
182,0.0237787470898845
183,0.13108196535535407
184,0.0
185,0.004954937836556344
186,0.07694227371418305
187,0.001662213907857831
188,0.014440717612299623
189,0.38037120470716995
190,0.2873843100331902
191,0.8904410748693504
192,0.17141534918562717
193,0.006503667914125908
194,0.7913148907908911
195,0.13822856262152453
196,0.20216335068594968
197,0.006012713133344097
198,0.017478568138527956
199,0.03511258603283093
200,0.0004933085025212411
201,0.016452383352488137
202,0.026626318385690878
203,0.0032523515406978187
204,0.5606359245398185
205,0.018916730528349798
206,0.015239154074996104
207,0.8670592838229888
208,0.0004993330544689626
209,1.0132305755605253
210,0.0008422752316488603
211,0.005138921609335539
212,0.0
213,0.00024879992823673494
214,0.0
215,0.0013581684937602596
216,1.7337556490273567
217,0.0019428716063428152
218,0.015124827017339222
219,1.9777699877200513e-05
220,1.6143361046669658
221,1.168262165200197
222,0.01790099831422764
223,2.2734413235225497
224,0.669571393885779
225,1.3145473951977371
226,1.6066633513944812
227,0.0007898264239279277
228,0.22553850268347983
229,0.4432341435603334
230,1.4428055833760007
231,0.004574433461491143
232,0.002272397720892178
233,0.0
234,0.020765421317186224
235,0.006031060404184332
236,0.004449505345566136
237,0.00562902265473416
238,0.0
239,0.17217371882826232
240,0.0
241,0.0598737829805989
242,0.010620201570226959
243,2.7525026848752487
244,0.01363948983046712
245,0.21441482454672028
246,0.010540168498460043
247,2.566246286925802
248,0.07787398052954396
249,0.39582753141798327
250,0.07499359063269419
251,0.14937364195950292
252,0.03051873783939674
253,0.01126042844362236
254,0.008021771408724442
255,0.00036982345310124486
256,0.0004988844911946634
257,0.00025640301513329646
258,0.008606430635515725
259,0.5042695944625261
260,0.0018787329134188201
261,0.02036770300173232
262,0.0004108842266233344
263,1.365459352945597
264,0.036519497864696965
265,0.001892509642970619
266,0.00028834155979053826
267,0.028012326512759794
268,0.050212623909646065
269,0.0012971304321403138
270,0.03951940336153267
271,0.0
272,0.0
273,0.18296370208129714
274,0.036688687668614196
275,0.0
276,0.0006668567813433813
277,0.07916047471980943
278,0.028766399868830825
279,0.555275181974017
280,0.86247334626178
281,0.014537693888091585
282,1.1887635827007699
283,0.017486091123884946
284,0.0
285,0.07038552013702655
286,0.020006636514118985
287,0.022972603894449307
288,0.03411670456502284
289,0.015330115299778834
290,0.15511912021019528
291,1.6379387371117275
292,0.0
293,1.1156594199061607
294,0.004344041624137659
295,0.9890262144729138
296,2.919075095375474
297,0.0040684927379685725
298,0.007624310944853217
299,0.00014846386058193646
300,0.0018879531004853797
301,0.005487772110297064
302,0.792991835193967
303,0.0
304,4.725551233693744
305,0.0
306,0.04654752115527409
307,0.7462867617687327
308,0.2961171020677928
309,1.6072331443295311
310,1.802120726007487
311,0.002235984456453597
312,1.096243110293763
313,0.08366123655071242
314,0.0005240303566723919
315,0.02671143213848463
316,0.008983791713339932
317,2.0072560345878796
318,0.682792863853551
319,0.051096546913733325
320,0.0
321,5.637905137105422e-05
322,0.0007849064740267667
323,0.004148168146218124
324,0.07895217668354226
325,0.006252514833415096
326,0.020568838044466298
327,0.0
328,0.014103032096008364
329,0.9739277184958699
330,0.01509061038191096
331,0.0
332,0.011459171317482109
333,0.09389899283397997
334,0.0
335,0.3089422989162086
336,0.8276081331359427
337,0.004301276895703312
338,0.0021587010722553903
339,0.0
340,0.0
341,0.019761165292069102
342,0.025408408932084816
343,0.1343007142227767
344,0.7135803094178296
345,0.00018087389509073286
346,0.43903923594352734
347,0.01566472878617248
348,0.0
349,0.8043692268021226
350,0.0
351,0.017897117321499796
352,0.001349107750009692
353,0.0007431736510050925
354,0.029006365968502666
355,1.5305377633342048
356,0.0032943100534807267
357,0.07063273904381685
358,0.03378952471049208
359,1.8609223930102787
360,0.4056504360627401
361,0.0
362,0.0002497308464212851
363,0.10955436416995226
364,0.0014043120760916237
365,0.7314582691755164
366,0.0
367,2.744296525003451
368,0.6201007142028009
369,0.057024341611343135
370,0.3743396550851415
371,0.0001335489378716244
372,0.006072992770865773
373,0.00950044287707318
374,0.012231844579288513
375,4.429833799337692
376,0.026472339866700712
377,0.007968180554442143
378,0.05906860704163901
379,0.0074286736585823685
380,2.934511483321635
381,0.007926917383692375
382,0.01717073134364979
383,0.5131861811891447
384,0.0016624033228275878
385,0.0821524710688544
386,0.3874605844325373
387,0.003423085066369561
388,0.007641399280350816
389,0.6845634226076212
390,0.0038664869378704095
391,0.016219015259955203
392,0.001816861106430372
393,0.0407537884484424
394,0.01716452147299201
395,0.06627908200649411
396,0.004141108413910912
397,0.024304000256387025
398,0.00034429491653539346
399,0.7255419948891375
400,0.4495560570719427
401,0.00032365452453636664
402,0.07169779220319679
403,0.20460808531572802
404,0.0002405142843830243
405,0.217720680130405
406,0.004842725123791804
407,0.1964390205116898
408,0.13099051520794308
409,0.27809321180957425
410,0.06800920374326087
411,0.0011128442468897007
412,0.001617897833300906
413,0.009144097416768625
414,0.019395490219308573
415,0.23543665013120077
416,0.005147293464026668
417,0.0
418,0.4374810137198881
419,0.040607680095377505
420,0.2861124436498027
421,0.6422681303797334
422,0.0028324525437928272
423,0.005147625544580796
424,0.0730005608666599
425,0.005840892773166156
426,0.14026438874865405
427,0.049848826350889316
428,0.3348280308739189
429,0.009721244822376582
430,0.03667285216807357
431,0.006118406716547015
432,0.15341215776071734
433,0.6158843632034388
434,0.4853219943695911
435,0.8913718656566
436,0.002292429096996784
437,0.171237609841589
438,0.07011971641643837
439,0.008885201174792561
440,0.39891014439298916
441,0.002229401098706862
442,0.00013592594713150884
443,0.002253982417829085
444,7.636520931381357e-06
445,0.18422896194530197
446,0.5441251889965163
447,1.1268916746476692
448,0.001416722071383808
449,0.03786605181569082
450,0.000339654220254762
451,0.008023999022034723
452,0.5763296721119915
453,0.0741044960194156
454,0.00031679574819058894
455,0.2176098315263586
456,0.2082928103376982
457,0.0885010409463001
458,0.0006720963197105239
459,0.01374007278828298
460,0.005999084200005996
461,0.37315005238020893
462,0.4912765972498965
463,0.2479996405849367
464,0.38338532312227297
465,4.887404744669296e-05
466,0.0018886241896978121
467,0.001585612289660998
468,0.01752300029865613
469,0.00012246756613896223
470,0.006618613695823832
471,0.056484853875621126
472,0.08718323351093457
473,0.25130460694494644
474,0.014141454811444123
475,0.0006536532295912361
476,0.26612111129441507
477,0.0012508160568345961
478,0.0802085831199893
479,0.11115565031998609
480,0.0
481,0.01142428121106191
482,0.023065336428484635
483,0.0004119411797115677
484,0.0038409196308248064
485,0.0029173435099672474
486,0.6010581693942346
487,0.488919410200647
488,2.011493668316654e-05
489,0.01967361309433592
490,0.5799914647626419
491,0.03063286293039553
492,0.012656103066529669
493,0.02910147445681884
494,0.4372836751016704
495,0.6492634747025855
496,0.21889916367851267
497,0.00545941113213603
498,0.30935624881946083
499,0.13809442001452857
500,0.34800922228736386
501,0.0015262153253636577
502,0.06984393126453813
503,0.0033083185731794277
504,0.0
505,0.6613603427429109
506,0.11037486297541864
507,0.0498290716293914
508,0.0033486612658038665
509,0.0023094904854109415
510,0.4591515341664455
511,0.0002979243789135554
512,0.0012353291761789595
513,0.5050244819950513
514,0.0005210978691978603
515,0.3503564210997395
516,0.06985798324475011
517,0.14597010105162075
518,0.2276464857553181
519,0.4111691624623541
520,0.0018489068734980942
521,0.009319882907873491
522,0.001273206993269079
523,0.0009987346898167257
524,0.002092433299336796
525,0.017737640560889823
526,0.2522811656906916
527,0.005656143588027315
528,0.10006853198057762
529,0.0010592849818214275
530,0.01020782171975839
531,0.15940212711477963
532,0.004842475002618177
533,0.3652108773326225
534,0.34927237769098657
535,0.24906924562684693
536,0.08512898508356839
537,0.34899197412770616
538,0.18218690431543122
539,0.15921498166098202
540,0.4511476703485002
541,0.0012978142000396144
542,0.708548640431257
543,0.038943458119024076
544,0.4118967811336393
545,0.15833071620943265
546,1.0524024961919538
547,0.03429747292544675
548,0.4831928806869607
549,0.0942495288210364
550,0.33835897877651966
551,0.1028157134738675
552,0.15505987515396763
553,0.0007810337217212721
