dimension,value,n,MW_median,y_true_median,prepared_formal_charge_median,norm_l2_median,centered_norm_l2_median,member1_norm_l2_median,member2_norm_l2_median,PC1_median,PC2_median,PC3_median,PC4_median,PC5_median
MW_lt200,<200,196,161.12600000000003,2.385,0.0,26.573650973393722,14.903034893558548,24.79023783761353,8.909847274662516,12.549102143739606,-2.0607325477565084,1.7862728431094268,0.03354971104970497,-2.323980973524508
MW_lt200,>=200,3148,347.44000000000005,4.68,0.0,17.296100563005773,5.5365891585696625,16.430967774514976,5.006520139146392,-2.1290703373021387,-0.38132077069207165,-0.4996489419292891,-0.11900863007669879,0.10269917722553909
potency_lt4,<4,1036,312.369,2.88,0.0,19.870139583179437,6.8741423551301954,18.44696893803458,6.790510135645887,1.8944716059627442,-2.084028205603682,0.02014146797759725,0.45683479684506306,-0.23422352355581286
potency_lt4,>=4,2308,349.84000000000003,4.93,0.0,16.90060127435872,5.376959448899743,16.110834936513353,4.629786785374774,-2.9037840050804418,0.11953350229787567,-0.6294395825646899,-0.3000293207869613,0.12717815049899633
prepared_charge,-1,219,223.22799999999998,2.69,-1.0,20.424401128720508,7.608457247953996,18.880044563703695,6.414893902830467,1.820264695671871,-1.3444799928772289,0.7626171014847243,0.010831816951081208,-0.6159305229499759
prepared_charge,-2,4,436.9640000000001,1.9849999999999999,-2.0,18.818623867968547,8.178781278481424,18.12845364554978,4.9013677237885815,-3.6958608081057482,0.936054145494101,0.4654188533013828,0.20660917481801705,0.19400609826136045
prepared_charge,0,2663,347.41800000000006,4.76,0.0,17.120396293283942,5.450783706304599,16.288230845693366,4.846634577900851,-2.6926099559609487,-0.034061365673610816,-0.5547386944611699,-0.13953482499186098,0.09886789845818278
prepared_charge,1,409,343.431,4.26,1.0,19.722444123682088,6.654493522421831,18.318726883630138,7.049722608481129,3.3089259640897595,-2.843744156939437,-0.18330231382257034,0.234802679797237,-0.24495334365711896
prepared_charge,2,48,356.99550000000016,3.21,2.0,20.757975966333305,7.7934499141320845,19.631312036709897,6.649133937918776,3.8803073632589613,-2.629754489633652,0.6224518448240733,-0.5523504192607455,-0.41815471475193544
prepared_charge,3,1,510.8280000000005,1.93,3.0,18.997402957906576,10.571575306134351,18.713336844818894,3.272971627958481,-7.560423802968175,6.094968671214204,2.903051901225588,-0.16355905052601138,-1.562546349344391
