dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
validation,all,continuous_plus_binary_linear,790.0,0.8032270598767274,0.9960267813174182,0.9544819356833053,0.3636326528512142,0.3306748871588515,-0.11652160351989085,0.5228651489074732,0.9055980132292119
validation,all,continuous_plus_binary_polynomial2,790.0,0.7533563363723849,0.9583941360757953,0.8952201066412694,0.4399540154603113,0.36605983844911005,-0.09652134690318681,0.41425159959588725,0.9265261032596873
validation,all,mean_repr_384d_ridge,790.0,0.5963012186002129,0.7886883696595698,0.7085900983803941,0.6714380901313631,0.6191128884008139,-0.05969531825826139,-0.039034250716865275,1.0226380495755756
validation,all,mean_repr_plus_readouts_386d_ridge,790.0,0.5962993062814029,0.7886909951768879,0.7085878259547619,0.6714336265735282,0.6191588288009943,-0.05968200149069732,-0.03884201614347369,1.022590849006788
validation,all,concat_repr_768d_ridge,790.0,0.591550053282629,0.7815987014709301,0.7029442459239607,0.6802449225553814,0.6233415714137569,-0.07003661065161983,0.267308216073477,0.954659389582233
validation,all,concat_repr_plus_member_readouts_772d_ridge,790.0,0.5915416220575109,0.7815996180233374,0.7029342270233622,0.6802448888371453,0.6233450397618499,-0.07003929773670423,0.2673912882901808,0.9546408859703516
validation,all,mean_repr_384d_mlp32_fixed,790.0,0.6083822149453284,0.855152883581482,0.7229460549367364,0.6259137206145644,0.5937427410787043,0.022790621756752838,1.0625648133720988,0.755754574493796
validation,all,mean_repr_plus_readouts_386d_mlp32_fixed,790.0,0.6357552116740244,0.8528020117391014,0.7554736330129385,0.6220504424654688,0.5636768569808832,-0.10318406908994855,0.9573579016190352,0.8021707911398027
validation,all,fine_tuned_continuous_head,790.0,0.5968595563291139,0.808844329818246,0.7092535761227006,0.6483527412135469,0.5812074216182777,-0.007891130759493672,-0.26916105410250096,1.0627805382913673
validation,all,fine_tuned_dual_branch_activity_adapter,790.0,0.594827914050633,0.8014578868719424,0.7068393573401833,0.6571227553405538,0.5912638908293543,-0.025205850253164564,-0.2818500319563225,1.0698535052346518
validation,all,lightgbm,790.0,0.4886110812562471,0.6895351522661249,0.5806209401179165,0.7601449961705956,0.6972646690999612,0.014117066473124126,-0.014580480154452591,1.000104489300193
validation,Emax_qualified,direct_affinity,714.0,0.8565009535819876,1.2171958382382577,0.9797274146843503,0.3318908501799923,0.3235500702046362,0.6555239123448271,-0.9873715531855739,1.066076550418142
validation,Emax_qualified,affinity_only_linear,714.0,0.8202887925334724,1.0284331844461458,0.9383053394656108,0.33189085017999237,0.3235500702046362,-0.05450452998949403,0.6506843066812084,0.8617439088941945
validation,Emax_qualified,binder_logit_only_linear,714.0,0.8236449854910509,1.0102105441804257,0.9421443944436103,0.3791235794030536,0.32632323813661934,-0.08364872245035279,-0.4158553897748399,1.1166249053433854
validation,Emax_qualified,continuous_plus_binary_linear,714.0,0.8096201604105929,1.0097813254355552,0.9261017904511536,0.3756065463649834,0.34759347401895485,-0.06425723330012457,0.32914078165546595,0.938433371840989
validation,Emax_qualified,continuous_plus_binary_polynomial2,714.0,0.7618529871139642,0.9737388445985928,0.8714622608569749,0.4477012078461557,0.378583286834159,-0.05008693447101146,0.3104639208099562,0.9396794986469695
validation,Emax_qualified,mean_repr_384d_ridge,714.0,0.5990143585205078,0.7973038322039859,0.6851957214732092,0.6803496008971969,0.6385318376501277,-0.020998962332888484,-0.13305657984612773,1.0354505446389108
validation,Emax_qualified,mean_repr_plus_readouts_386d_ridge,714.0,0.5990075317328099,0.7973120909672006,0.6851879125022629,0.6803396562548324,0.6385539922226985,-0.020986816472842416,-0.13278407790635893,1.035384943912405
validation,Emax_qualified,concat_repr_768d_ridge,714.0,0.5938452643439882,0.7881649789084682,0.6792829396454225,0.6896788933882505,0.6474435639188971,-0.03174669223005365,0.17808365389882633,0.9662421286365799
validation,Emax_qualified,concat_repr_plus_member_readouts_772d_ridge,714.0,0.593837102747782,0.7881656767697214,0.6792736038244671,0.6896788418349501,0.6474302448008635,-0.03174902725929285,0.17817532680450598,0.9662215014545112
validation,Emax_qualified,mean_repr_384d_mlp32_fixed,714.0,0.6164550430375655,0.8730419026423608,0.7051456312552846,0.6314821524982177,0.6106001273908479,0.06128865356789248,1.0108690766800963,0.7578650325992319
validation,Emax_qualified,mean_repr_plus_readouts_386d_mlp32_fixed,714.0,0.6399177699054389,0.862642113450118,0.7319839863552667,0.6293520233789298,0.5853689736362715,-0.07002120480563603,0.8860467313966208,0.8100775305288095
validation,Emax_qualified,fine_tuned_continuous_head,714.0,0.60130776302521,0.8195842702651757,0.6878190825527509,0.6594096809777489,0.6019488029795916,0.03370789691876749,-0.38611324273634495,1.080085688888014
validation,Emax_qualified,fine_tuned_dual_branch_activity_adapter,714.0,0.5981151483193277,0.8107005602590859,0.6841671401482549,0.668487645775206,0.6129452679336495,0.016037510504201654,-0.4022579072894771,1.088124188291231
validation,Emax_qualified,lightgbm,714.0,0.48686202073876766,0.6928454102256326,0.5569078083235687,0.7720862574109874,0.7218406191318304,0.05030742401499594,-0.1460773927949399,1.0216823604407732
validation,lower_Emax,direct_affinity,76.0,0.4260373513714264,0.5912347284617872,1.0543780063762316,0.16653268231553542,0.17807798051421203,0.12402417582116632,3.1360182615190157,0.35506179586676034
validation,lower_Emax,affinity_only_linear,76.0,0.7238125421470007,0.8328188639226117,1.791326564965241,0.16653268231553534,0.17807798051421203,-0.5782638568597236,3.6815804494371798,0.28700785112401594
validation,lower_Emax,binder_logit_only_linear,76.0,0.7973243915011503,0.9040838836119641,1.9732572734290728,0.09401029656575174,0.08720679973277368,-0.6693806582662809,4.165426846587486,0.1796031923357391
validation,lower_Emax,continuous_plus_binary_linear,76.0,0.7431655627559399,0.8560830444112835,1.8392223638226086,0.15865226338507823,0.17061248778073845,-0.6075316079529584,3.761625226698256,0.2704359266314998
validation,lower_Emax,continuous_plus_binary_polynomial2,76.0,0.6735325386159683,0.7999899990334305,1.666891161090473,0.18807060818140517,0.2666384135448134,-0.5327604321212553,3.5505490373395143,0.3138315875818301
validation,lower_Emax,mean_repr_384d_ridge,76.0,0.5708119830332304,0.7026088031474298,1.412673322535837,0.42590187121496076,0.42613470060702796,-0.42323739892558043,2.680808646910335,0.49915803288736377
validation,lower_Emax,mean_repr_plus_readouts_386d_ridge,76.0,0.5708562408563431,0.7025513895080748,1.4127828539540328,0.4259466237680093,0.42536900904462044,-0.42321308179001843,2.680205332121895,0.4992891846734885
validation,lower_Emax,concat_repr_768d_ridge,76.0,0.5699871493640699,0.7169799467878194,1.4106319839609869,0.4294046527239327,0.362363531909371,-0.4297603179279126,2.8114023842523657,0.4708672208269058
