dataset,representation,model_class,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,active_threshold,active_n,active_mae,predicted_above_6,active_predicted_above_6,prediction_minimum,prediction_maximum
nested_development,member1_384d,ridge,3344.0,0.6807906163430436,0.9237350711405838,0.7375671749411014,0.5900436479276651,0.5806148531851989,0.0021012393212667454,0.6975665914854544,0.8372325573825248,6.0,55,1.5031836242457484,6,1,-0.8032633011347858,15.402200501192173
nested_development,member2_384d,ridge,3344.0,0.6248929336789175,0.8726289858224755,0.6770077387523407,0.6483313633570837,0.6621509077254902,-0.0014945898462311443,0.6602144600728183,0.846630202462893,6.0,55,1.3240096860984465,1,0,-14.362149709683681,6.122057965371583
nested_development,mean_384d,ridge,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042,6.0,55,1.305040312086485,4,1,-9.457164503589436,8.380221645358358
nested_development,concat_768d,ridge,3344.0,0.6262024466987568,0.9374089759972086,0.6784264625058783,0.6123212865832875,0.6637836684161205,-0.009321811149124504,1.2322060161535633,0.7147559451030993,6.0,55,1.297510104453383,7,1,-22.46079959325239,9.995599377632216
nested_development,member1_384d,one_hidden_mlp,3344.0,0.6830353602975994,0.9822094471601698,0.739999125995188,0.5430779469944763,0.5588960754640488,0.1067072919268839,1.0555202200166371,0.736048127669294,6.0,55,1.5404148286789516,3,1,-13.339582602183023,19.375227292378742
nested_development,member1_384d,two_hidden_mlp,3344.0,0.6725919356379386,0.9831398441349442,0.7286847408699753,0.5501215169362428,0.5664562749640244,0.08062959961609616,1.1920373667063948,0.7092443859894877,6.0,55,1.7423589616861168,3,1,0.9656239151954651,30.23635991414388
nested_development,member2_384d,one_hidden_mlp,3344.0,0.6202457371550307,1.067190243372995,0.6719729754503269,0.5351857035349482,0.6526971016048967,0.08132895570894623,1.8201155225385781,0.5656622255300785,6.0,55,1.2431409975659808,2,1,0.20298607150713602,41.363547007242836
nested_development,member2_384d,two_hidden_mlp,3344.0,0.6226129266771326,1.5010222088003988,0.6745375837843041,0.3804113467164702,0.656959769253681,0.08199233083590765,3.040985272844479,0.2867413972811788,6.0,55,1.2116380788023866,5,1,1.3442954619725545,75.24820963541667
nested_development,mean_384d,one_hidden_mlp,3344.0,0.6237179525369735,0.8713986454911495,0.6757347665628473,0.6531008525056332,0.6445024233601264,0.06336463230081396,0.6289899677217895,0.8411971360208736,6.0,55,1.309757180182244,3,0,-6.95821879307429,7.322929223378499
nested_development,mean_384d,two_hidden_mlp,3344.0,0.6198412585177222,0.8368161875179374,0.6715347641138573,0.6785725729150794,0.6363356434786201,0.028010658606148407,0.40150337788974166,0.9006785238440455,6.0,55,1.2871213041335487,4,1,1.276301622390747,7.273608843485515
nested_development,concat_768d,one_hidden_mlp,3344.0,0.6217137374656271,0.9265804796910537,0.6735634040136865,0.6194469522472702,0.6526674345654647,0.03220115369160679,1.1326961371347375,0.7308881604121885,6.0,55,1.3482620552497526,2,0,-6.233140627543132,24.439889272054035
nested_development,concat_768d,two_hidden_mlp,3344.0,0.6345637513443312,1.2416466677068838,0.6874850830247468,0.4581339513011519,0.6333197874604971,0.08413966589001394,2.46405808087489,0.41830097375199904,6.0,55,1.344668308607633,6,1,1.3667744795481365,54.88702265421549
retrospective_lockbox_790,member1_384d,ridge,790.0,0.6464533277946182,0.8440106853224607,0.768186300567386,0.6091387965869607,0.5543003056924753,-0.06128772922709018,0.21676041108931382,0.964338101596441,6.0,9,1.2992118729485407,0,0,1.0698919296264648,5.854944705963135
retrospective_lockbox_790,member2_384d,ridge,790.0,0.6062774514065512,0.813821121121129,0.7204449455033017,0.6503178351464596,0.6103895548395794,-0.0765076702455931,0.540553413122469,0.8931855562895454,6.0,9,1.3207205931345622,1,0,-2.716261863708496,6.074283599853516
retrospective_lockbox_790,mean_384d,ridge,790.0,0.5963026500170745,0.78868989493072,0.7085917993459181,0.6714364278453089,0.6191232241944308,-0.059694614168963864,-0.039030570986541266,1.022637040739586,6.0,9,1.3439976109398737,1,0,1.5132856369018555,6.048828125
retrospective_lockbox_790,concat_768d,ridge,790.0,0.5915508216544042,0.7816021510574077,0.7029451589870482,0.6802418977754173,0.6233504773001097,-0.07003868278068832,0.2673486588245382,0.9546505489380216,6.0,9,1.2956465350257025,2,0,0.6559906005859375,6.461636543273926
retrospective_lockbox_790,member1_384d,one_hidden_mlp,790.0,0.6247825233624454,0.8471133863525533,0.7424346888557374,0.6042072377155234,0.5414979635505675,0.049621593670503,0.08165985848426834,0.9706340906769976,6.0,9,1.2796878284878201,0,0,1.7425765196482341,5.5538201332092285
retrospective_lockbox_790,member1_384d,two_hidden_mlp,790.0,0.6180465893101591,0.8572561752950149,0.734430317870218,0.61086634641829,0.5410443157896345,0.14461230775977993,0.4186855764810106,0.876619389068003,6.0,9,1.0985997341297293,0,0,2.002437631289164,5.803699334462483
retrospective_lockbox_790,member2_384d,one_hidden_mlp,790.0,0.5732935961027186,0.8263854239343852,0.681249933744694,0.6432014672687599,0.610444464266232,0.06433309363916453,0.6855430640815731,0.8328128819047329,6.0,9,1.2206040135136358,2,0,-4.795405387878418,6.1308895746866865
retrospective_lockbox_790,member2_384d,two_hidden_mlp,790.0,0.5960018835429903,0.8008840693769735,0.7082343958410903,0.6654267976256248,0.5848872659271854,-0.05629621898071676,0.6204138612935409,0.8707522194112913,6.0,9,1.3264051719948098,1,0,1.6066156228383381,6.091919422149658
retrospective_lockbox_790,mean_384d,one_hidden_mlp,790.0,0.5685029095738247,0.780036984219294,0.6755571178775935,0.6788854509811986,0.6128842220113317,0.002964194786699504,0.22648039762000247,0.9481350097612214,6.0,9,1.2496136559380426,0,0,1.3702549537022908,5.792078971862793
retrospective_lockbox_790,mean_384d,two_hidden_mlp,790.0,0.575864321855553,0.787524536375739,0.6843047502657571,0.6734116751559167,0.6022050078577312,0.0037562932344428444,0.39294190398504447,0.9103440850338905,6.0,9,1.3315359044958046,1,0,1.8572254578272502,6.064716498057048
retrospective_lockbox_790,concat_768d,one_hidden_mlp,790.0,0.5940417647388162,0.8172763468122244,0.7059051690460363,0.6562966032978658,0.6121999838655997,-0.06166001505049473,0.8453042472134521,0.8202344791407616,6.0,9,1.308731026119656,0,0,-3.8937663237253823,5.913552761077881
retrospective_lockbox_790,concat_768d,two_hidden_mlp,790.0,0.5655995692925111,0.7909752046413135,0.6721070525223741,0.6850810023939945,0.6081509856231634,0.12565778893257495,0.4797803680672699,0.8668364452304648,6.0,9,1.0779610563207556,0,0,1.7585877974828084,5.996089458465576
nested_development,published_twin_member_pair,published_pretrained_twin_head_finetune,3344.0,0.6329507983947217,0.860099040900178,0.6857376130658528,0.6576018969174745,0.625215523785095,0.09665846527102673,-0.39056932018885776,1.066902368028678,6.0,55,1.348632258614731,1,1,1.3080102602640789,6.070027192433675
retrospective_lockbox_790,published_twin_member_pair,published_pretrained_twin_head_finetune,790.0,0.5968595563291139,0.808844329818246,0.7092535761227006,0.648352741213547,0.5812074216182777,-0.007891130759493672,-0.26916105410250685,1.0627805382913673,6.0,9,1.4182051333333332,0,0,1.6729879,5.520433
