dataset,representation,model_class,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,member1_384d,ridge,42,3344.0,0.6807906163430436,0.9237350711405838,0.7375671749411014,0.5900436479276651,0.5806148531851989,0.0021012393212667454,0.6975665914854544,0.8372325573825248
nested_development,member1_384d,ridge,43,3344.0,0.6807906163430436,0.9237350711405838,0.7375671749411014,0.5900436479276651,0.5806148531851989,0.0021012393212667454,0.6975665914854544,0.8372325573825248
nested_development,member1_384d,ridge,44,3344.0,0.6807906163430436,0.9237350711405838,0.7375671749411014,0.5900436479276651,0.5806148531851989,0.0021012393212667454,0.6975665914854544,0.8372325573825248
nested_development,member2_384d,ridge,42,3344.0,0.6248929336789175,0.8726289858224755,0.6770077387523407,0.6483313633570837,0.6621509077254902,-0.0014945898462311443,0.6602144600728183,0.846630202462893
nested_development,member2_384d,ridge,43,3344.0,0.6248929336789175,0.8726289858224755,0.6770077387523407,0.6483313633570837,0.6621509077254902,-0.0014945898462311443,0.6602144600728183,0.846630202462893
nested_development,member2_384d,ridge,44,3344.0,0.6248929336789175,0.8726289858224755,0.6770077387523407,0.6483313633570837,0.6621509077254902,-0.0014945898462311443,0.6602144600728183,0.846630202462893
nested_development,mean_384d,ridge,42,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042
nested_development,mean_384d,ridge,43,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042
nested_development,mean_384d,ridge,44,3344.0,0.6327893414750589,0.89895093414691,0.6855626909660888,0.6267899185584018,0.6537124795131735,-0.01166902705042544,0.840021112755163,0.8066767544840042
nested_development,concat_768d,ridge,42,3344.0,0.6262024466987568,0.9374089759972086,0.6784264625058783,0.6123212865832875,0.6637836684161205,-0.009321811149124504,1.2322060161535633,0.7147559451030993
