scope,outer_fold,representation,model_class,candidate,candidate_order,alpha,mae,rmse,spearman,pearson,bias,learning_rate,weight_decay,best_epochs,n,rae,calibration_intercept,calibration_slope
full_development,,member1_384d,ridge,alpha0,0,0.0,97.63273271831382,3139.1030459718,0.5166170777003654,0.029551983203149435,-53.34909431579554,,,,,,,
full_development,,member1_384d,ridge,alpha1,1,1.0,0.6845309980219705,0.9455558658055014,0.5826930083153222,0.5783566154712555,0.006973368731130606,,,,,,,
full_development,,member1_384d,ridge,alpha10,2,10.0,0.6730299821906778,0.9039841065039647,0.586348945367336,0.6079213484273971,0.0021673139533335112,,,,,,,
full_development,,member1_384d,ridge,alpha100,3,100.0,0.6863514252253996,0.9010380643577918,0.5695519327594026,0.606082998030189,-0.0014818934777131867,,,,,,,
full_development,,member1_384d,ridge,alpha1000,4,1000.0,0.7159610755483987,0.9323942704232705,0.5325522435011392,0.5683335024961722,-0.0008407478295636477,,,,,,,
full_development,,member2_384d,ridge,alpha0,0,0.0,0.6733537508321787,0.9932257719464107,0.62150778638503,0.5800204904139232,0.021246334421618197,,,,,,,
full_development,,member2_384d,ridge,alpha1,1,1.0,0.6579214328511518,0.9673231964571827,0.6327002147760715,0.5953165556959412,0.0146091819219516,,,,,,,
full_development,,member2_384d,ridge,alpha10,2,10.0,0.6359649508476952,0.9081253620722498,0.6476824078175545,0.6295059192198157,0.0066228393375644444,,,,,,,
full_development,,member2_384d,ridge,alpha100,3,100.0,0.6248929336789175,0.8726289858224755,0.6621509077254902,0.6483313633570837,-0.0014945898462311443,,,,,,,
full_development,,member2_384d,ridge,alpha1000,4,1000.0,0.6487285218178979,0.9237723647824605,0.6408334322867403,0.5926987607054944,-0.007185518176446721,,,,,,,
full_development,,mean_384d,ridge,alpha0,0,0.0,0.7475642532304619,1.6516346916345035,0.6091939018904341,0.34558994384491865,0.027067043282604855,,,,,,,
full_development,,mean_384d,ridge,alpha1,1,1.0,0.6719365639164806,1.1850440540069043,0.6419211202864771,0.4917539257778441,0.008250449429077078,,,,,,,
full_development,,mean_384d,ridge,alpha10,2,10.0,0.6305062056394585,0.9066224090673836,0.6579022164270911,0.630387686429248,-0.004448926247151321,,,,,,,
full_development,,mean_384d,ridge,alpha100,3,100.0,0.629237804491073,0.8694485617930879,0.6529727714133131,0.6476648597823983,-0.01130802383268075,,,,,,,
full_development,,mean_384d,ridge,alpha1000,4,1000.0,0.6615843083674102,0.8935331456485535,0.6140949134775762,0.6154714766839783,-0.008867285335983199,,,,,,,
full_development,,concat_768d,ridge,alpha0,0,0.0,112.01048945178795,3505.4233201792713,0.5483203320326684,0.02987933229092957,-61.419880338647694,,,,,,,
full_development,,concat_768d,ridge,alpha1,1,1.0,0.7050966231372149,1.1518584570843011,0.6111508446251473,0.5137959884151627,0.025671208200753373,,,,,,,
full_development,,concat_768d,ridge,alpha10,2,10.0,0.6492605311504631,1.0085577385637337,0.6476836502275591,0.5844463438041998,-0.00332322562408198,,,,,,,
full_development,,concat_768d,ridge,alpha100,3,100.0,0.6262024466987568,0.9374089759972086,0.6637836684161205,0.6123212865832875,-0.009321811149124504,,,,,,,
full_development,,concat_768d,ridge,alpha1000,4,1000.0,0.6427158367315644,0.9528898940649112,0.6450460062465448,0.5774083032096259,-0.012036243680624885,,,,,,,
outer_training,0.0,member1_384d,one_hidden_mlp,lr0.0001_wd0,0,,0.6904496373550915,0.9317852867722267,0.543879871118168,0.5827427868931111,0.12728658788003655,0.0001,0.0,40;38;21;23,2675.0,0.7449611649797391,0.25802068293899816,0.912765847651931
outer_training,0.0,member1_384d,one_hidden_mlp,lr0.0003_wd0,1,,0.6714966106218712,0.9137892530247977,0.5704163976795206,0.6054988010796127,0.11883758235646187,0.0003,0.0,25;19;21;25,2675.0,0.7245117822714525,0.37730631194548875,0.8874569875665005
outer_training,0.0,member1_384d,one_hidden_mlp,lr0.001_wd0,2,,0.6747638984350401,0.9205930606428786,0.5675404081630478,0.6036189003495772,0.16685843209685564,0.001,0.0,18;25;6;12,2675.0,0.7280370249596033,0.18386032214425313,0.9213018074332441
outer_training,0.0,member1_384d,one_hidden_mlp,lr0.0003_wd0.0001,3,,0.6725481587458995,0.9157228652532304,0.5687367938346136,0.6021961660154518,0.11893415394676067,0.0003,0.0001,24;19;21;19,2675.0,0.7256463509251623,0.32926604869127746,0.898334542436659
outer_training,0.0,member1_384d,one_hidden_mlp,lr0.001_wd0.0001,4,,0.6807862325494534,0.9323604736856929,0.5618467075818431,0.5920379140584671,0.17353554147871852,0.001,0.0001,18;9;6;12,2675.0,0.7345348269643327,0.25830116012415877,0.9032446231665011
outer_training,1.0,member1_384d,one_hidden_mlp,lr0.0001_wd0,0,,0.7115638090199601,1.2688928883670771,0.5406196296998447,0.39022434755249275,0.08123378596920618,0.0001,0.0,27;38;15;34,2675.0,0.7566901827957793,2.5785888960096024,0.38933155211519727
outer_training,1.0,member1_384d,one_hidden_mlp,lr0.0003_wd0,1,,0.7189256724361148,1.9995051530417933,0.5602062988897928,0.25097961352936266,0.06993048377473564,0.0003,0.0,15;21;10;22,2675.0,0.7645189252127949,3.6339403724261334,0.14741606552152542
outer_training,1.0,member1_384d,one_hidden_mlp,lr0.001_wd0,2,,0.718997295727594,2.183921184005794,0.5600067409645834,0.22952231813080398,0.07288512659197441,0.001,0.0,20;18;4;15,2675.0,0.7645950907524621,3.740197447630013,0.122873470221444
outer_training,1.0,member1_384d,one_hidden_mlp,lr0.0003_wd0.0001,3,,0.7156493518226815,1.8380985456432546,0.5584795776403683,0.2660536997671283,0.07068497218051589,0.0003,0.0001,15;21;10;20,2675.0,0.7610348249642296,3.527414500315215,0.1719071098682442
outer_training,1.0,member1_384d,one_hidden_mlp,lr0.001_wd0.0001,4,,0.7422066563482396,2.193907572099483,0.5299824222191568,0.206060425890528,0.11547030803546512,0.001,0.0001,7;10;4;3,2675.0,0.7892763563086715,3.7853149802024313,0.1114037465360843
outer_training,2.0,member1_384d,one_hidden_mlp,lr0.0001_wd0,0,,0.6993202020336735,0.9668819616735949,0.5385699560878984,0.5578402417673973,0.1248495236115122,0.0001,0.0,38;37;17;30,2675.0,0.7501637228715486,0.7429546221056444,0.8028194640529482
outer_training,2.0,member1_384d,one_hidden_mlp,lr0.0003_wd0,1,,0.6869405086378272,0.9569260329146595,0.5575262235212801,0.5718459272887267,0.11045865328993537,0.0003,0.0,19;27;24;12,2675.0,0.7368839736825079,0.8004177819575187,0.7923536991414858
outer_training,2.0,member1_384d,one_hidden_mlp,lr0.001_wd0,2,,0.6807261268500613,0.9638660943982752,0.5795534340976064,0.5799272491367071,0.05234750816818495,0.001,0.0,15;18;30;11,2675.0,0.7302177801938904,1.1461586130148174,0.7231167895786217
outer_training,2.0,member1_384d,one_hidden_mlp,lr0.0003_wd0.0001,3,,0.6893514303643214,0.9528398588078956,0.554460522369078,0.5697896597570068,0.0930682099136438,0.0003,0.0001,12;21;17;23,2675.0,0.7394701795616451,0.7172056060428323,0.8145522077821462
outer_training,2.0,member1_384d,one_hidden_mlp,lr0.001_wd0.0001,4,,0.6874366903901301,0.992891849130038,0.5694144131728737,0.5457236381564706,0.05804887069086947,0.001,0.0001,20;18;11;11,2675.0,0.737416229935718,1.2367107630033356,0.7012734231839339
outer_training,3.0,member1_384d,one_hidden_mlp,lr0.0001_wd0,0,,0.714133897769431,1.2485270837629057,0.5358646431467636,0.4043403558498606,0.08812850009650612,0.0001,0.0,40;15;37;25,2675.0,0.7670718180663111,2.5250806001995105,0.4034121682820331
outer_training,3.0,member1_384d,one_hidden_mlp,lr0.0003_wd0,1,,0.7212869245051424,1.9294788475559055,0.5557930506268489,0.27259896313118603,0.03083906534711676,0.0003,0.0,23;10;16;16,2675.0,0.7747550904049819,3.5844874159158517,0.1636937079159905
outer_training,3.0,member1_384d,one_hidden_mlp,lr0.001_wd0,2,,0.7243048074298016,2.027626372472489,0.5509051991899502,0.25598317205019566,0.07412828855460835,0.001,0.0,22;4;10;13,2675.0,0.7779966855021482,3.6527459404195577,0.14643758429798584
outer_training,3.0,member1_384d,one_hidden_mlp,lr0.0003_wd0.0001,3,,0.717960562293866,1.8362092787621833,0.5578560106008655,0.28543980466288305,0.042975276697816214,0.0003,0.0001,23;10;16;20,2675.0,0.771182148808286,3.508923165179789,0.1806662194240415
outer_training,3.0,member1_384d,one_hidden_mlp,lr0.001_wd0.0001,4,,0.7205702070373442,2.025357935494282,0.5571631893918791,0.26192501283901043,0.09183493554070517,0.001,0.0001,22;4;14;14,2675.0,0.7739852434998271,3.636691981930527,0.14950810131925982
outer_training,4.0,member1_384d,one_hidden_mlp,lr0.0001_wd0,0,,0.6881909784103524,0.9479045930439043,0.5152712713629061,0.533352951862549,0.11913278442451736,0.0001,0.0,40;27;37;32,2676.0,0.7793288306019339,0.6062033675868403,0.8377006939745856
