dataset,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
nested_development,mean384_ridge,mae,0.6327893414750589,0.6092865856590564,0.6547922552650299,2000,2931
nested_development,mean384_ridge,rmse,0.89895093414691,0.8323659565479449,0.9767953121098357,2000,2931
nested_development,mean384_ridge,rae,0.6855626909660888,0.6277467858121717,0.7394444251154603,2000,2931
nested_development,mean384_ridge,pearson,0.6267899185584018,0.5528789762757673,0.6918541369491558,2000,2931
nested_development,mean384_ridge,spearman,0.6537124795131735,0.6043272794176159,0.708354927914193,2000,2931
nested_development,mean384_ridge,bias,-0.01166902705042544,-0.041053929196744145,0.020477767415960378,2000,2931
nested_development,mean384_one_hidden_mlp,mae,0.6237179525369735,0.5998843047920746,0.6452085238192697,2000,2931
nested_development,mean384_one_hidden_mlp,rmse,0.8713986454911495,0.825745002195075,0.9224273491737768,2000,2931
nested_development,mean384_one_hidden_mlp,rae,0.6757347665628473,0.6218767438113642,0.7267761993284083,2000,2931
nested_development,mean384_one_hidden_mlp,pearson,0.6531008525056332,0.5934504029180558,0.7049084649458844,2000,2931
nested_development,mean384_one_hidden_mlp,spearman,0.6445024233601264,0.5931655667277205,0.701941529256555,2000,2931
nested_development,mean384_one_hidden_mlp,bias,0.06336463230081396,0.02820941689320796,0.10121620130528222,2000,2931
nested_development,mean384_two_hidden_mlp,mae,0.6198412585177222,0.6006715204131691,0.6381350356950779,2000,2931
nested_development,mean384_two_hidden_mlp,rmse,0.8368161875179374,0.8080565978468632,0.8622903587771467,2000,2931
nested_development,mean384_two_hidden_mlp,rae,0.6715347641138573,0.6099290258811291,0.7298354010378804,2000,2931
nested_development,mean384_two_hidden_mlp,pearson,0.6785725729150794,0.6319329831123776,0.7171260403300691,2000,2931
nested_development,mean384_two_hidden_mlp,spearman,0.6363356434786201,0.584154821235953,0.6939970351024505,2000,2931
nested_development,mean384_two_hidden_mlp,bias,0.028010658606148407,-0.0008668164238447462,0.05720575530472913,2000,2931
nested_development,published_ft_head,mae,0.6329507983947217,0.6093098071846891,0.6541768992987164,2000,2931
nested_development,published_ft_head,rmse,0.860099040900178,0.8303935292572595,0.8876317235222292,2000,2931
nested_development,published_ft_head,rae,0.6857376130658528,0.6328238740895336,0.7366284221032934,2000,2931
nested_development,published_ft_head,pearson,0.6576018969174745,0.611257909288098,0.6972701828823956,2000,2931
nested_development,published_ft_head,spearman,0.625215523785095,0.5743611844614158,0.6820403116295489,2000,2931
nested_development,published_ft_head,bias,0.09665846527102673,0.0627826790847467,0.13030848288062052,2000,2931
retrospective_lockbox_790,mean384_ridge,mae,0.5963026500170745,0.5587712397512824,0.6333699656641665,2000,735
retrospective_lockbox_790,mean384_ridge,rmse,0.78868989493072,0.7338631751753664,0.8409467227955247,2000,735
retrospective_lockbox_790,mean384_ridge,rae,0.7085917993459181,0.6570162669143004,0.7708452618149043,2000,735
retrospective_lockbox_790,mean384_ridge,pearson,0.6714364278453089,0.616746321121088,0.718660883020191,2000,735
retrospective_lockbox_790,mean384_ridge,spearman,0.6191232241944308,0.563990036632572,0.6689314566220188,2000,735
retrospective_lockbox_790,mean384_ridge,bias,-0.059694614168963864,-0.1134961080598575,-0.004471410814893387,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,mae,0.5685029095738247,0.5316776297591033,0.6073169902819441,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,rmse,0.780036984219294,0.7215313276261216,0.8363633686087275,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,rae,0.6755571178775935,0.6242923909211507,0.7386908566235706,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,pearson,0.6788854509811986,0.62015909247093,0.7277933811416054,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,spearman,0.6128842220113317,0.5555339784285533,0.6646066408253042,2000,735
retrospective_lockbox_790,mean384_one_hidden_mlp,bias,0.002964194786699504,-0.050117030202018756,0.05814179403300201,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,mae,0.575864321855553,0.5376627922751034,0.6155870385648824,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,rmse,0.787524536375739,0.727378378620019,0.8442138106266915,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,rae,0.6843047502657571,0.6296106818171656,0.7506138426943819,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,pearson,0.6734116751559167,0.6131324773133425,0.7247489953584716,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,spearman,0.6022050078577312,0.5451544448662983,0.6540560146217796,2000,735
retrospective_lockbox_790,mean384_two_hidden_mlp,bias,0.0037562932344428444,-0.049837823858243806,0.06067021612556725,2000,735
retrospective_lockbox_790,published_ft_head,mae,0.5968595563291139,0.55681303005174,0.6362743742418469,2000,735
retrospective_lockbox_790,published_ft_head,rmse,0.808844329818246,0.7503168523415717,0.8627484001331528,2000,735
retrospective_lockbox_790,published_ft_head,rae,0.7092535761227006,0.6571744053506479,0.768788503254682,2000,735
retrospective_lockbox_790,published_ft_head,pearson,0.648352741213547,0.5874997707634564,0.7007574303680012,2000,735
retrospective_lockbox_790,published_ft_head,spearman,0.5812074216182777,0.5231853807086047,0.6354211082241752,2000,735
retrospective_lockbox_790,published_ft_head,bias,-0.007891130759493672,-0.0644969879410764,0.04960003844310369,2000,735
