false_positive_rate,true_positive_rate,score_threshold,cohort,threshold,curve,recall,precision
0.0,0.0,inf,development_all,4.0,roc,,
0.0,0.0004332755632582322,0.9623817205429076,development_all,4.0,roc,,
0.0019305019305019305,0.0004332755632582322,0.9181459546089172,development_all,4.0,roc,,
0.0019305019305019305,0.0008665511265164644,0.9144670963287354,development_all,4.0,roc,,
0.0028957528957528956,0.0008665511265164644,0.9119300246238708,development_all,4.0,roc,,
0.0028957528957528956,0.0012998266897746968,0.9011979699134828,development_all,4.0,roc,,
0.003861003861003861,0.0012998266897746968,0.862017035484314,development_all,4.0,roc,,
0.003861003861003861,0.00389948006932409,0.8354533910751343,development_all,4.0,roc,,
0.004826254826254826,0.00389948006932409,0.828401505947113,development_all,4.0,roc,,
0.004826254826254826,0.004332755632582322,0.817264199256897,development_all,4.0,roc,,
0.005791505791505791,0.004332755632582322,0.8132033348083496,development_all,4.0,roc,,
0.005791505791505791,0.004766031195840554,0.8065729141235352,development_all,4.0,roc,,
0.006756756756756757,0.004766031195840554,0.804113507270813,development_all,4.0,roc,,
0.006756756756756757,0.006065857885615251,0.7917421460151672,development_all,4.0,roc,,
0.007722007722007722,0.006065857885615251,0.7900129556655884,development_all,4.0,roc,,
0.007722007722007722,0.007365684575389948,0.781087338924408,development_all,4.0,roc,,
0.008687258687258687,0.007365684575389948,0.7777246236801147,development_all,4.0,roc,,
0.008687258687258687,0.00779896013864818,0.7746217250823975,development_all,4.0,roc,,
0.009652509652509652,0.00779896013864818,0.7689170241355896,development_all,4.0,roc,,
0.009652509652509652,0.008232235701906412,0.7683374881744385,development_all,4.0,roc,,
0.011583011583011582,0.008232235701906412,0.7658572196960449,development_all,4.0,roc,,
0.011583011583011582,0.009098786828422877,0.7601264715194702,development_all,4.0,roc,,
0.012548262548262547,0.009098786828422877,0.7598179578781128,development_all,4.0,roc,,
0.012548262548262547,0.009532062391681109,0.7472391128540039,development_all,4.0,roc,,
0.015444015444015444,0.009532062391681109,0.7377784252166748,development_all,4.0,roc,,
0.015444015444015444,0.010398613518197574,0.7312649488449097,development_all,4.0,roc,,
0.017374517374517374,0.010398613518197574,0.7265793085098267,development_all,4.0,roc,,
0.017374517374517374,0.010831889081455806,0.7221646904945374,development_all,4.0,roc,,
