dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
development,all,all_pairs_combined_readouts,3344.0,0.8321331401977538,1.0448197169682492,0.9015313587713437,0.38632921544666843,0.3961897042582904,0.0028127982766377392,0.04922406834590604,0.9878963909648653
validation,all,all_pairs_combined_readouts,790.0,0.8032270598767274,0.9960267813174182,0.9544819356833053,0.3636326528512142,0.3306748871588515,-0.11652160351989085,0.5228651489074732,0.9055980132292119
development,all,ligand_ligand_only_combined_readouts,3344.0,0.8431216248688278,1.0511529043576477,0.913436260809012,0.3727150781662494,0.39222678314606374,0.0025017734985561062,0.06488070841521193,0.9843259159269393
validation,all,ligand_ligand_only_combined_readouts,790.0,0.8121497329321894,0.9930394079968257,0.9650848282835044,0.3737296751100289,0.34981403513289117,-0.12975918819087962,0.41488414220434927,0.9335552504529964
development,all,receptor_ligand_only_combined_readouts,3344.0,0.8356280432967564,1.0483488865479047,0.9053177297105774,0.3788134345697941,0.3883815795393716,0.00263597906556092,0.058334035350934954,0.9858179860374281
validation,all,receptor_ligand_only_combined_readouts,790.0,0.8053997934163913,0.9979728148807925,0.957063814479795,0.3592806204591291,0.3250269195972912,-0.1190849824729175,0.4975607327911733,0.9120198823903635
