pool_variant,representation,selected,alpha,mae,rmse,spearman,pearson,bias
all_pairs,ridge_member1_384d,False,0.0,97.63273271831382,3139.1030459718,0.5166170777003654,0.029551983203149435,-53.34909431579554
all_pairs,ridge_member1_384d,False,0.0001,1.3209636897928902,7.281377579007859,0.526653486825069,0.06810836880251143,0.07644493426466026
all_pairs,ridge_member1_384d,False,0.001,1.0327782302955006,3.9225832423612883,0.5297024262817005,0.12086799024100951,0.056160788028548785
all_pairs,ridge_member1_384d,False,0.01,0.8439506272008375,2.028779089500255,0.5450064280641052,0.24199844419473895,0.034109051345828624
all_pairs,ridge_member1_384d,False,0.1,0.7371988767750575,1.1871712952590616,0.5612975843649189,0.441600628579935,0.015737657609200335
all_pairs,ridge_member1_384d,False,1.0,0.6845309980219705,0.9455558658055014,0.5826930083153222,0.5783566154712555,0.006973368731130606
all_pairs,ridge_member1_384d,True,10.0,0.6730299821906778,0.9039841065039647,0.586348945367336,0.6079213484273971,0.0021673139533335112
all_pairs,ridge_member1_384d,False,100.0,0.6863514252253996,0.9010380643577918,0.5695519327594026,0.606082998030189,-0.0014818934777131867
all_pairs,ridge_member1_384d,False,1000.0,0.7159610755483987,0.9323942704232705,0.5325522435011392,0.5683335024961722,-0.0008407478295636477
all_pairs,ridge_member2_384d,False,0.0,0.6733537508321787,0.9932257719464107,0.62150778638503,0.5800204904139232,0.021246334421618197
all_pairs,ridge_member2_384d,False,0.0001,0.6733500747036906,0.9932204760658893,0.6215076222386481,0.5800238045105527,0.021244545674059055
all_pairs,ridge_member2_384d,False,0.001,0.6733171430734868,0.9931729178434001,0.6215398586304803,0.5800535655622059,0.021228479480001637
all_pairs,ridge_member2_384d,False,0.01,0.672994817702466,0.9927073384799441,0.6218030478583763,0.5803448742282404,0.021070962968081305
all_pairs,ridge_member2_384d,False,0.1,0.6702471107383012,0.9887876951181491,0.624040388876312,0.5827858426291205,0.01975051746567103
all_pairs,ridge_member2_384d,False,1.0,0.6579214328511518,0.9673231964571827,0.6327002147760715,0.5953165556959412,0.0146091819219516
all_pairs,ridge_member2_384d,False,10.0,0.6359649508476952,0.9081253620722498,0.6476824078175545,0.6295059192198157,0.0066228393375644444
all_pairs,ridge_member2_384d,True,100.0,0.6248929336789175,0.8726289858224755,0.6621509077254902,0.6483313633570837,-0.0014945898462311443
all_pairs,ridge_member2_384d,False,1000.0,0.6487285218178979,0.9237723647824605,0.6408334322867403,0.5926987607054944,-0.007185518176446721
all_pairs,ridge_mean_384d,False,0.0,0.7475642532304619,1.6516346916345035,0.6091939018904341,0.34558994384491865,0.027067043282604855
all_pairs,ridge_mean_384d,False,0.0001,0.747522898746836,1.6513660731510122,0.6092222177028978,0.3456576239548815,0.027050997275697704
all_pairs,ridge_mean_384d,False,0.001,0.7471532529171876,1.6489689953261193,0.6093933865974965,0.34626211993647776,0.026908251422530186
all_pairs,ridge_mean_384d,False,0.01,0.7436919522566728,1.626812332875693,0.6108153185096569,0.351895907780397,0.025626516463610586
all_pairs,ridge_mean_384d,False,0.1,0.721821839333473,1.4938734324380418,0.6174637384507572,0.387713637803164,0.019192110348911533
all_pairs,ridge_mean_384d,False,1.0,0.6719365639164806,1.1850440540069043,0.6419211202864771,0.4917539257778441,0.008250449429077078
all_pairs,ridge_mean_384d,False,10.0,0.6305062056394585,0.9066224090673836,0.6579022164270911,0.630387686429248,-0.004448926247151321
all_pairs,ridge_mean_384d,True,100.0,0.629237804491073,0.8694485617930879,0.6529727714133131,0.6476648597823983,-0.01130802383268075
all_pairs,ridge_mean_384d,False,1000.0,0.6615843083674102,0.8935331456485535,0.6140949134775762,0.6154714766839783,-0.008867285335983199
all_pairs,ridge_concat_768d,False,0.0,112.01048945178795,3505.4233201792713,0.5483203320326684,0.02987933229092957,-61.419880338647694
all_pairs,ridge_concat_768d,False,0.0001,1.4469531372510167,10.724746697695098,0.5548294340559397,0.028172472530232622,0.29553359486100067
all_pairs,ridge_concat_768d,False,0.001,1.1670524496447137,7.968680754250561,0.5637170105734417,0.05340230282949075,0.17648555608062183
all_pairs,ridge_concat_768d,False,0.01,0.973929765336327,5.185301438868073,0.5666659271194073,0.10095823942293736,0.09887949022255157
all_pairs,ridge_concat_768d,False,0.1,0.8111018306964368,2.4098123003277063,0.5813025085900423,0.2392145084111633,0.05724103185348404
all_pairs,ridge_concat_768d,False,1.0,0.7050966231372149,1.1518584570843011,0.6111508446251473,0.5137959884151627,0.025671208200753373
all_pairs,ridge_concat_768d,False,10.0,0.6492605311504631,1.0085577385637337,0.6476836502275591,0.5844463438041998,-0.00332322562408198
all_pairs,ridge_concat_768d,True,100.0,0.6262024466987568,0.9374089759972086,0.6637836684161205,0.6123212865832875,-0.009321811149124504
all_pairs,ridge_concat_768d,False,1000.0,0.6427158367315644,0.9528898940649112,0.6450460062465448,0.5774083032096259,-0.012036243680624885
ligand_ligand_only,ridge_member1_384d,False,0.0,1321.0920269486255,53548.55099255504,0.5309523554099695,-0.03810651185226629,1270.2103145322692
ligand_ligand_only,ridge_member1_384d,False,0.0001,4.234433153404945,63.65359337797752,0.5395519423153425,-0.010107623528729638,0.9685345083396817
ligand_ligand_only,ridge_member1_384d,False,0.001,2.142568214039735,21.860141428311238,0.5467531984454199,0.05199590972707659,-0.34850989888615863
ligand_ligand_only,ridge_member1_384d,False,0.01,1.3405347165056258,11.74751485264956,0.5553854968525339,0.08346539989850402,-0.29206809114042315
ligand_ligand_only,ridge_member1_384d,False,0.1,0.9116766309398783,4.687608409462944,0.5629380724510559,0.1475727235500516,-0.10523084706825514
ligand_ligand_only,ridge_member1_384d,False,1.0,0.7380667314745057,1.4933795467045117,0.58706609047998,0.3819793396977864,-0.02470237348889579
ligand_ligand_only,ridge_member1_384d,False,10.0,0.670725250985088,0.9278106198876436,0.6094634541573507,0.5979027527143519,-0.0023833512166590238
ligand_ligand_only,ridge_member1_384d,True,100.0,0.6597009652988223,0.8809245528831926,0.6074214094662181,0.6293005620142154,0.002158117879206155
ligand_ligand_only,ridge_member1_384d,False,1000.0,0.6906127089668174,0.9027445543316736,0.5720991235798581,0.6067226989895449,0.003203658508946172
ligand_ligand_only,ridge_member2_384d,False,0.0,0.622859359287653,0.8329167866417122,0.6650215798791296,0.6877764914459084,0.00800575307167874
ligand_ligand_only,ridge_member2_384d,False,0.0001,0.6228589271348564,0.8329162765899911,0.6650212528700131,0.6877767949997124,0.008005778863786367
ligand_ligand_only,ridge_member2_384d,False,0.001,0.6228550382086421,0.8329116872708737,0.6650253510740587,0.6877795262939563,0.008006010986253172
ligand_ligand_only,ridge_member2_384d,False,0.01,0.6228161933160158,0.8328659072145471,0.6650681563748639,0.6878067711417991,0.008008331575796515
ligand_ligand_only,ridge_member2_384d,False,0.1,0.6224334158046607,0.8324190808246364,0.6653008530456077,0.6880726181539911,0.008031462006969907
ligand_ligand_only,ridge_member2_384d,False,1.0,0.6192323418657382,0.8287921149195774,0.6672071361633954,0.690227487753801,0.008247772848730336
ligand_ligand_only,ridge_member2_384d,False,10.0,0.6065077957730051,0.8151407354720134,0.6748827511081621,0.6984673612101219,0.009019859841742703
ligand_ligand_only,ridge_member2_384d,True,100.0,0.5923411508406173,0.7986160114616789,0.6831054620926742,0.7094560839512396,0.0072435887291106065
ligand_ligand_only,ridge_member2_384d,False,1000.0,0.602612834631879,0.8080047408833951,0.673142797374687,0.7019756167239158,0.0031141036097904664
ligand_ligand_only,ridge_mean_384d,False,0.0,0.6614849877015335,0.9742299028946733,0.64140096944493,0.5967436037149247,0.004807094025153221
ligand_ligand_only,ridge_mean_384d,False,0.0001,0.6614825180355437,0.97422368625223,0.6414033002272785,0.5967469077587036,0.004807013155760415
ligand_ligand_only,ridge_mean_384d,False,0.001,0.6614603032963983,0.9741677790528406,0.6414135734160348,0.5967766225585525,0.004806286491408695
ligand_ligand_only,ridge_mean_384d,False,0.01,0.6612400889633304,0.9736128776829913,0.6415383946250072,0.5970716552714189,0.004799133351708728
ligand_ligand_only,ridge_mean_384d,False,0.1,0.659327647633534,0.9684408552726235,0.6426485748509098,0.5998305409700753,0.00473763772779761
ligand_ligand_only,ridge_mean_384d,False,1.0,0.6475929976044572,0.9362320868234769,0.6505125587600716,0.6174151492045434,0.004550587967662188
ligand_ligand_only,ridge_mean_384d,False,10.0,0.6212048851562522,0.8642813623807569,0.6700031773914917,0.6601216008010092,0.004786113525967462
ligand_ligand_only,ridge_mean_384d,True,100.0,0.6062359481361093,0.8151269350904939,0.6724765256062223,0.6945392610342145,0.003231860377104961
ligand_ligand_only,ridge_mean_384d,False,1000.0,0.6304731390595291,0.8375786132128776,0.6493745274019808,0.6744004843682762,0.0012835591114557152
ligand_ligand_only,ridge_concat_768d,False,0.0,615.2035528699045,24302.747953616148,0.5456579234490859,-0.03832093547774008,575.915831167373
ligand_ligand_only,ridge_concat_768d,False,0.0001,3.892935837419786,60.991656642882496,0.546547145957613,0.03544052766120261,-0.9666655918594861
ligand_ligand_only,ridge_concat_768d,False,0.001,2.3182799035653896,34.50291291662942,0.5556450716509113,0.047094896565471625,-0.6511657501051322
ligand_ligand_only,ridge_concat_768d,False,0.01,1.2860540076206615,11.915021131675836,0.5632672170750974,0.07759654387676415,-0.19686617479140972
ligand_ligand_only,ridge_concat_768d,False,0.1,0.8829067798320716,3.168946269258882,0.5720994330992819,0.20878802865226734,-0.016229336957960243
ligand_ligand_only,ridge_concat_768d,False,1.0,0.7364047437269601,1.2847553260123614,0.6087834093361214,0.47231905724834855,0.00848054529227108
ligand_ligand_only,ridge_concat_768d,False,10.0,0.6448252590917712,0.9290350808987098,0.6539130704031845,0.625505967532417,0.008917426596489286
ligand_ligand_only,ridge_concat_768d,False,100.0,0.5999012307516719,0.8245060715396312,0.6826742886988081,0.6899115608121762,0.006344752437764533
ligand_ligand_only,ridge_concat_768d,True,1000.0,0.5984939407008737,0.804349891327454,0.6798542397386058,0.7044872204444466,0.0029577907622581434
receptor_ligand_only,ridge_member1_384d,False,0.0,64.575002955299,1072.2719273463665,0.5199582118367984,-0.00805770894482418,14.563835325019596
receptor_ligand_only,ridge_member1_384d,False,0.0001,1.2478507868347264,8.246587076400333,0.5246500069063158,0.045650818968139086,0.06826343533825198
receptor_ligand_only,ridge_member1_384d,False,0.001,0.942703615025956,3.1092991143890925,0.5331400366116691,0.13983891859409037,0.044906281053403774
receptor_ligand_only,ridge_member1_384d,False,0.01,0.7755524921641244,1.4012168370709264,0.5438744738126281,0.3559390174414422,0.032506821472416327
receptor_ligand_only,ridge_member1_384d,False,0.1,0.7113582246272803,1.0125056928787746,0.5621350076987454,0.5313782107312646,0.015943914258750958
receptor_ligand_only,ridge_member1_384d,False,1.0,0.6884508879143407,0.9586453175303321,0.5780517897465762,0.5660357546564184,0.009408542257498521
receptor_ligand_only,ridge_member1_384d,True,10.0,0.6778392619983399,0.9286921350891988,0.5784897993639013,0.5851186286000366,0.004002324724758549
receptor_ligand_only,ridge_member1_384d,False,100.0,0.6890077645342247,0.9150569356461311,0.5618275579955215,0.5908367850472565,0.0021445232074823873
receptor_ligand_only,ridge_member1_384d,False,1000.0,0.7141992164257513,0.9312448932367072,0.5299780986574113,0.5696096235816134,0.0017930408625485702
receptor_ligand_only,ridge_member2_384d,False,0.0,0.6774528717628994,1.2524915582428953,0.6184150013920179,0.474565086311986,0.04052286021273224
receptor_ligand_only,ridge_member2_384d,False,0.0001,0.6774486573216428,1.252468449498164,0.6184167293415646,0.47457313642714744,0.04052124484495811
receptor_ligand_only,ridge_member2_384d,False,0.001,0.6774107836577783,1.2522606967310828,0.6184582156949028,0.4746455224579455,0.040506724968785754
receptor_ligand_only,ridge_member2_384d,False,0.01,0.6770388587188931,1.2502052571965665,0.618696371235692,0.475363002532544,0.04036333087082648
receptor_ligand_only,ridge_member2_384d,False,0.1,0.6738930509789653,1.2316437868347907,0.6208843306679157,0.48194365202835276,0.03909023996741971
receptor_ligand_only,ridge_member2_384d,False,1.0,0.660708496441624,1.14813164496659,0.6305103573110515,0.5136270953404051,0.03325402483880418
receptor_ligand_only,ridge_member2_384d,False,10.0,0.6398151451631529,1.1226279443293063,0.6500420515287154,0.5212797600604036,0.026576276616222225
receptor_ligand_only,ridge_member2_384d,True,100.0,0.6274666141352968,1.0425132604498366,0.6646715912318882,0.5467406503156245,0.016728229024640565
receptor_ligand_only,ridge_member2_384d,False,1000.0,0.6423841162593996,0.8836490615266087,0.6446505697503433,0.6282689151227356,0.004397201703539686
receptor_ligand_only,ridge_mean_384d,False,0.0,0.7006714175285551,1.111129263262517,0.6108759130743096,0.5172855638949942,0.017015399821611998
receptor_ligand_only,ridge_mean_384d,False,0.0001,0.7006498144714067,1.1110349854816626,0.6108878554857543,0.5173312664471474,0.017009974044393906
receptor_ligand_only,ridge_mean_384d,False,0.001,0.7004568067930047,1.1101973089544892,0.6109883023208978,0.5177378138924456,0.016961322174752064
receptor_ligand_only,ridge_mean_384d,False,0.01,0.6986516748128414,1.1027468648135805,0.6118631980433623,0.5213913191841526,0.01649218139689068
receptor_ligand_only,ridge_mean_384d,False,0.1,0.6891151835393788,1.0639300107746519,0.6170094600496576,0.5414150263818361,0.013074233478414628
receptor_ligand_only,ridge_mean_384d,False,1.0,0.6558838206878418,0.9618655929418358,0.6394751058941253,0.5985462865374797,0.0038031821198078373
receptor_ligand_only,ridge_mean_384d,False,10.0,0.6238723343647542,0.8773678179463336,0.6588099135065986,0.649436012472642,-0.004076298062544255
