dataset,subset,model,metric,estimate
public_challenge,all,frozen_nesso,rmse,0.9564897489951038
public_challenge,all,frozen_nesso,rae,0.88294094176138
public_challenge,all,frozen_nesso,pearson,0.3900700998141231
public_challenge,all,frozen_nesso,spearman,0.4510789994208697
public_challenge,all,frozen_nesso,bias,0.2544355218323586
public_challenge,all,frozen_nesso,calibration_intercept,-2.038036875202925
public_challenge,all,frozen_nesso,calibration_slope,1.3535581755489152
public_challenge,all,fine_tuned_nesso,n,513.0
public_challenge,all,fine_tuned_nesso,mae,0.6013735309941521
public_challenge,all,fine_tuned_nesso,rmse,0.8092184008130011
public_challenge,all,fine_tuned_nesso,rae,0.7904053087454119
public_challenge,all,fine_tuned_nesso,pearson,0.6134865899454965
public_challenge,all,fine_tuned_nesso,spearman,0.6572964820080093
public_challenge,all,fine_tuned_nesso,bias,-0.07390156257309943
public_challenge,all,fine_tuned_nesso,calibration_intercept,-1.8639485313481772
public_challenge,all,fine_tuned_nesso,calibration_slope,1.410876487196244
public_challenge,all,established_2d_challenge,n,513.0
public_challenge,all,established_2d_challenge,mae,0.5164250652797187
public_challenge,all,established_2d_challenge,rmse,0.7330912898189303
public_challenge,all,established_2d_challenge,rae,0.6787547042376476
public_challenge,all,established_2d_challenge,pearson,0.6776713910335245
public_challenge,all,established_2d_challenge,spearman,0.7477520285028052
public_challenge,all,established_2d_challenge,bias,-0.02289772449412463
public_challenge,all,established_2d_challenge,calibration_intercept,-0.23920128203006433
public_challenge,all,established_2d_challenge,calibration_slope,1.0549775213373258
nested_development,Emax_qualified,mean,n,3072.0
nested_development,Emax_qualified,mean,mae,0.9363023015562959
nested_development,Emax_qualified,mean,rmse,1.1545595101554895
nested_development,Emax_qualified,mean,rae,0.9895050155993588
nested_development,Emax_qualified,mean,pearson,-0.09955651485585168
nested_development,Emax_qualified,mean,spearman,-0.07701270217769995
nested_development,Emax_qualified,mean,bias,0.056961340189622546
nested_development,Emax_qualified,mean,calibration_intercept,21.93131588015111
nested_development,Emax_qualified,mean,calibration_slope,-4.117413762305543
nested_development,Emax_qualified,frozen_nesso,n,3072.0
nested_development,Emax_qualified,frozen_nesso,mae,0.9553410054742407
nested_development,Emax_qualified,frozen_nesso,rmse,1.311362235013595
nested_development,Emax_qualified,frozen_nesso,rae,1.009625539692917
nested_development,Emax_qualified,frozen_nesso,pearson,0.3843121096736953
nested_development,Emax_qualified,frozen_nesso,spearman,0.39320860870505064
nested_development,Emax_qualified,frozen_nesso,bias,0.7643113966090928
nested_development,Emax_qualified,frozen_nesso,calibration_intercept,-2.055982131995347
nested_development,Emax_qualified,frozen_nesso,calibration_slope,1.258122184993511
nested_development,Emax_qualified,affine_frozen_nesso,n,3072.0
nested_development,Emax_qualified,affine_frozen_nesso,mae,0.8478488895019886
nested_development,Emax_qualified,affine_frozen_nesso,rmse,1.065665268439599
nested_development,Emax_qualified,affine_frozen_nesso,rae,0.8960254900987463
nested_development,Emax_qualified,affine_frozen_nesso,pearson,0.37881933025636044
nested_development,Emax_qualified,affine_frozen_nesso,spearman,0.3913196506520238
nested_development,Emax_qualified,affine_frozen_nesso,bias,0.05292516019051941
nested_development,Emax_qualified,affine_frozen_nesso,calibration_intercept,-0.09848767799464037
nested_development,Emax_qualified,affine_frozen_nesso,calibration_slope,1.010613904920035
nested_development,Emax_qualified,fine_tuned_nesso,n,3072.0
nested_development,Emax_qualified,fine_tuned_nesso,mae,0.6417778712262211
nested_development,Emax_qualified,fine_tuned_nesso,rmse,0.8733325326638672
nested_development,Emax_qualified,fine_tuned_nesso,rae,0.6782450725833689
nested_development,Emax_qualified,fine_tuned_nesso,pearson,0.6624597735916584
nested_development,Emax_qualified,fine_tuned_nesso,spearman,0.6427010570922734
nested_development,Emax_qualified,fine_tuned_nesso,bias,0.13527839768889902
nested_development,Emax_qualified,fine_tuned_nesso,calibration_intercept,-0.42396188495546855
nested_development,Emax_qualified,fine_tuned_nesso,calibration_slope,1.0659836983827784
nested_development,Emax_qualified,nested_2d_lightgbm,n,3072.0
nested_development,Emax_qualified,nested_2d_lightgbm,mae,0.5146657735884023
nested_development,Emax_qualified,nested_2d_lightgbm,rmse,0.720281144591875
nested_development,Emax_qualified,nested_2d_lightgbm,rae,0.5439101916940318
nested_development,Emax_qualified,nested_2d_lightgbm,pearson,0.781753592135158
nested_development,Emax_qualified,nested_2d_lightgbm,spearman,0.7526071910374574
nested_development,Emax_qualified,nested_2d_lightgbm,bias,0.06569988278800117
nested_development,Emax_qualified,nested_2d_lightgbm,calibration_intercept,-0.12940932717715775
nested_development,Emax_qualified,nested_2d_lightgbm,calibration_slope,1.0147972426500709
nested_development,lower_Emax_curated,mean,n,272.0
nested_development,lower_Emax_curated,mean,mae,0.8009148725333531
nested_development,lower_Emax_curated,mean,rmse,0.8968827722684451
nested_development,lower_Emax_curated,mean,rae,1.7837187131284604
nested_development,lower_Emax_curated,mean,pearson,0.04197928742226139
nested_development,lower_Emax_curated,mean,spearman,0.061432716449452036
nested_development,lower_Emax_curated,mean,bias,-0.6435740585994246
nested_development,lower_Emax_curated,mean,calibration_intercept,0.5576315725585019
nested_development,lower_Emax_curated,mean,calibration_slope,1.0200190965379545
nested_development,lower_Emax_curated,frozen_nesso,n,272.0
nested_development,lower_Emax_curated,frozen_nesso,mae,0.4592235985294118
nested_development,lower_Emax_curated,frozen_nesso,rmse,0.6493059108221586
nested_development,lower_Emax_curated,frozen_nesso,rae,1.0227375646254984
nested_development,lower_Emax_curated,frozen_nesso,pearson,0.19315839143098434
nested_development,lower_Emax_curated,frozen_nesso,spearman,0.20833378087131826
nested_development,lower_Emax_curated,frozen_nesso,bias,0.13387202499999995
nested_development,lower_Emax_curated,frozen_nesso,calibration_intercept,2.7968781222330414
nested_development,lower_Emax_curated,frozen_nesso,calibration_slope,0.42199650095976754
nested_development,lower_Emax_curated,affine_frozen_nesso,n,272.0
nested_development,lower_Emax_curated,affine_frozen_nesso,mae,0.7433120852645454
nested_development,lower_Emax_curated,affine_frozen_nesso,rmse,0.8685392893086711
nested_development,lower_Emax_curated,affine_frozen_nesso,rae,1.655431459259977
nested_development,lower_Emax_curated,affine_frozen_nesso,pearson,0.18977447835848293
nested_development,lower_Emax_curated,affine_frozen_nesso,spearman,0.20764916877950046
nested_development,lower_Emax_curated,affine_frozen_nesso,bias,-0.5652481341916572
nested_development,lower_Emax_curated,affine_frozen_nesso,calibration_intercept,3.4940696183948474
nested_development,lower_Emax_curated,affine_frozen_nesso,calibration_slope,0.3299962879306238
nested_development,lower_Emax_curated,fine_tuned_nesso,n,272.0
nested_development,lower_Emax_curated,fine_tuned_nesso,mae,0.5332567993566102
nested_development,lower_Emax_curated,fine_tuned_nesso,rmse,0.6933185521971861
nested_development,lower_Emax_curated,fine_tuned_nesso,rae,1.1876170171577924
nested_development,lower_Emax_curated,fine_tuned_nesso,pearson,0.3861886643919931
nested_development,lower_Emax_curated,fine_tuned_nesso,spearman,0.35351328897643713
nested_development,lower_Emax_curated,fine_tuned_nesso,bias,-0.3395195949778837
