scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,pearson,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.11379793127730199
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,spearman,none,,3344,1,0.03391250972834068
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,spearman,fold_potency_charge,fold;y_true,3344,6,0.041335832531002224
native_unique,unique,pooled,centered_norm_l2,prepared_formal_charge,spearman,fold_potency_charge_MW,fold;y_true;MW,3344,7,0.05521712372032516
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,pearson,none,,3344,1,0.26546130382417693
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,spearman,none,,3344,1,0.21113840532543804
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.0009793765899953402
native_unique,unique,pooled,centered_norm_l2,prepared_is_charged,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,3.6967953588413704e-05
native_unique,unique,pooled,centered_norm_l2,y_true,pearson,none,,3344,1,-0.28024397891965064
native_unique,unique,pooled,centered_norm_l2,y_true,pearson,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.20573088246004043
native_unique,unique,pooled,centered_norm_l2,y_true,pearson,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.12104007384686843
native_unique,unique,pooled,centered_norm_l2,y_true,spearman,none,,3344,1,-0.18316630438767706
native_unique,unique,pooled,centered_norm_l2,y_true,spearman,fold_potency_charge,fold;prepared_formal_charge,3344,10,-0.1182155019114773
native_unique,unique,pooled,centered_norm_l2,y_true,spearman,fold_potency_charge_MW,fold;prepared_formal_charge;MW,3344,11,-0.09029251532089491
native_unique,unique,pooled,centered_norm_l2,native_cached,pearson,none,,3344,1,-0.1491343335826364
native_unique,unique,pooled,centered_norm_l2,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.026232796510497598
native_unique,unique,pooled,centered_norm_l2,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.07687421730290647
native_unique,unique,pooled,centered_norm_l2,native_cached,spearman,none,,3344,1,0.05218802178469274
native_unique,unique,pooled,centered_norm_l2,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,0.1597944514415447
native_unique,unique,pooled,centered_norm_l2,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,0.19046657277910356
native_unique,unique,pooled,member1_norm_l2,MW,pearson,none,,3344,1,-0.40400067756553676
native_unique,unique,pooled,member1_norm_l2,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.306685397190268
