comparison,metric,estimate,ci_lower,ci_upper
convex_mae_stack_minus_two_d_lightgbm,mae,-0.0028434872778992926,-0.00695409667236543,0.0014964027607050766
convex_mae_stack_minus_two_d_lightgbm,spearman,0.007184190994711681,0.00285887276603064,0.01193933327518375
unconstrained_linear_stack_minus_two_d_lightgbm,mae,-0.0053683126766527756,-0.011578996510425144,0.001033192872153771
unconstrained_linear_stack_minus_two_d_lightgbm,spearman,0.01078704539092179,0.002551993236875769,0.019511077834328847
nesso_repr_residual_ridge_minus_two_d_lightgbm,mae,0.0011408208123328545,-0.01222455475791737,0.017626393788747672
nesso_repr_residual_ridge_minus_two_d_lightgbm,spearman,0.016688288334838264,0.004125576676931838,0.03038101291781717
