fold,seed,epoch,train_loss,validation_loss,validation_mae,validation_spearman,learning_rate,gradient_norm_last_batch,screen_learning_rate
0,42,1,0.34821473224140775,0.3295363485813141,0.85902482526934,0.39699784768521673,1e-05,0.9732981324195862,1e-05
0,42,2,0.33208513352358454,0.3156126141548157,0.8318763980330993,0.40186066661882675,1e-05,0.7579099535942078,1e-05
0,42,3,0.31939670179491847,0.30502989888191223,0.8126691549191468,0.40520912743546555,1e-05,0.3050018846988678,1e-05
0,42,4,0.30984328793031035,0.297481894493103,0.7982147951746286,0.40831196846330314,1e-05,0.6821900010108948,1e-05
0,42,5,0.3029196946977455,0.2922922670841217,0.7879046086687764,0.4114472729045256,1e-05,0.46215057373046875,1e-05
0,42,6,0.2980610184357545,0.2889408469200134,0.7814657192294459,0.4142826715156753,1e-05,0.338064044713974,1e-05
0,42,7,0.2946843268046869,0.28681570291519165,0.7779390468034417,0.41705127965965744,1e-05,0.25295311212539673,1e-05
0,42,8,0.2922557081908823,0.28548741340637207,0.7757913715158786,0.41921540702292703,1e-05,0.2975824475288391,1e-05
0,42,9,0.2905651029248104,0.2844579815864563,0.7741239854594603,0.42165284827209554,1e-05,0.18159569799900055,1e-05
0,42,10,0.2892339883452264,0.2836601138114929,0.7729261113018641,0.4235972864989837,1e-05,0.3464684784412384,1e-05
0,42,11,0.2881623988285243,0.28298527002334595,0.7719195270916179,0.4256440245563223,1e-05,0.4090648889541626,1e-05
0,42,12,0.2872263094643566,0.2823629677295685,0.7708926021771311,0.42752644163233006,1e-05,0.34582868218421936,1e-05
0,42,13,0.286406291244186,0.28180673718452454,0.769948413313602,0.4296082481917819,1e-05,0.20927706360816956,1e-05
0,42,14,0.2855952159043784,0.2812274992465973,0.7689616775747993,0.43139614062523646,1e-05,0.12453113496303558,1e-05
0,42,15,0.2848537347695538,0.28072285652160645,0.7680143530614794,0.4331787226855139,1e-05,0.252977579832077,1e-05
0,42,16,0.2841563797554123,0.2802168130874634,0.7670280070176659,0.4350436455887532,1e-05,0.6947497725486755,1e-05
0,42,17,0.28345002167692807,0.2796800136566162,0.7659952363219582,0.4367869509266637,1e-05,0.47563329339027405,1e-05
0,42,18,0.28275591438061726,0.27921509742736816,0.7650412772575031,0.43891085972779553,1e-05,0.08229692280292511,1e-05
1,42,1,0.35154249985641406,0.3180520236492157,0.8364844902677209,0.3283967566655376,1e-05,0.6388190984725952,1e-05
1,42,2,0.33482126779645405,0.30640944838523865,0.8112092859042956,0.33264651271619033,1e-05,0.65277099609375,1e-05
1,42,3,0.32165324828335057,0.29785656929016113,0.793616511069784,0.33543252446790744,1e-05,0.33303847908973694,1e-05
1,42,4,0.3112678823404223,0.29242607951164246,0.7841570880416618,0.33770839796572266,1e-05,1.0107961893081665,1e-05
1,42,5,0.30386693875366283,0.2886398136615753,0.778631563927917,0.33928836970200876,1e-05,0.33927226066589355,1e-05
1,42,6,0.29854587385587605,0.28642114996910095,0.7764780440280613,0.3409898592279661,1e-05,0.06857273727655411,1e-05
1,42,7,0.2949020255169022,0.2851395905017853,0.7753282560682083,0.3430192103233184,1e-05,0.8174993395805359,1e-05
1,42,8,0.2925076896230751,0.2843502163887024,0.7747606656084502,0.3443738210664246,1e-05,0.14810810983181,1e-05
1,42,9,0.2907323796949654,0.28378844261169434,0.7743819837470405,0.34585309575569584,1e-05,0.12489461153745651,1e-05
1,42,10,0.28941859190709124,0.2832227945327759,0.7737585490843998,0.34785439195237733,1e-05,0.1510944366455078,1e-05
2,42,1,0.35122713090103364,0.31789630651474,0.8391753604558194,0.356686937397144,1e-05,0.4761558175086975,1e-05
2,42,2,0.33431880708609785,0.30606353282928467,0.8152988310387672,0.3645832251426548,1e-05,0.4207208752632141,1e-05
2,42,3,0.3211301769942881,0.297368586063385,0.7975592193118838,0.3699628093853131,1e-05,0.8029451966285706,1e-05
2,42,4,0.3111065504985435,0.29150500893592834,0.7843792849627668,0.3747021010042295,1e-05,0.4517205059528351,1e-05
2,42,5,0.3037465944691239,0.28782469034194946,0.7757278785220889,0.37875054108948575,1e-05,0.7006883025169373,1e-05
2,42,6,0.2985076483053582,0.28564539551734924,0.7703250880590646,0.38162101668734133,1e-05,0.14484013617038727,1e-05
2,42,7,0.29494910119849943,0.2844310700893402,0.7677862227087776,0.38502397399520166,1e-05,0.4091912508010864,1e-05
2,42,8,0.29251170604585486,0.28371915221214294,0.7665849699781616,0.3869497013536256,1e-05,0.13738219439983368,1e-05
2,42,9,0.2907635283135922,0.2831210792064667,0.7658153221033436,0.3889913555031221,1e-05,0.18072566390037537,1e-05
2,42,10,0.289463506134871,0.28270694613456726,0.7654998668248701,0.3907037655424507,1e-05,0.6546615362167358,1e-05
2,42,11,0.28842222003179174,0.28228625655174255,0.7650287058962835,0.3926356449362867,1e-05,0.30739474296569824,1e-05
2,42,12,0.2875574440042549,0.28187283873558044,0.7645460343325263,0.3942453941371254,1e-05,0.12289226055145264,1e-05
2,42,13,0.2867209248342247,0.28121310472488403,0.7633648406229747,0.39593065105598674,1e-05,0.31092196702957153,1e-05
2,42,14,0.28595277914377015,0.2807692587375641,0.7626330018578089,0.39763662851105713,1e-05,0.5133331418037415,1e-05
2,42,15,0.28524069646808586,0.28024035692214966,0.7616671052570656,0.39903257945192133,1e-05,0.4827459752559662,1e-05
2,42,16,0.2845463496390904,0.279776930809021,0.7608538094479229,0.4005118934785006,1e-05,0.14200808107852936,1e-05
3,42,1,0.34963449450296774,0.32208752632141113,0.8465291365522263,0.4292173702279289,1e-05,0.9533479809761047,1e-05
3,42,2,0.3334705641280825,0.30777087807655334,0.8160403280871154,0.43521958666243615,1e-05,0.15216805040836334,1e-05
3,42,3,0.3209143249230964,0.29715317487716675,0.793775073109899,0.4402118082033269,1e-05,0.578495979309082,1e-05
3,42,4,0.3114995441926974,0.289463073015213,0.7786164066645418,0.44434320653346615,1e-05,0.2666929066181183,1e-05
3,42,5,0.304628516001122,0.2843101918697357,0.7690536341218136,0.4471396144900446,1e-05,0.5659552812576294,1e-05
3,42,6,0.3000269106838191,0.2805570662021637,0.7625372050446423,0.4499575445298305,1e-05,0.1320701390504837,1e-05
3,42,7,0.2966176019205111,0.2784135639667511,0.7592956158362874,0.45178387564656275,1e-05,0.42611926794052124,1e-05
3,42,8,0.29444099698111276,0.27665087580680847,0.7571281132320296,0.45356265378056554,1e-05,0.35636550188064575,1e-05
3,42,9,0.2927867669814101,0.2754468619823456,0.7555402904989473,0.45521011514430837,1e-05,0.12766531109809875,1e-05
3,42,10,0.2915877537749638,0.27446553111076355,0.7541732891151189,0.4566314343209029,1e-05,0.10307898372411728,1e-05
3,42,11,0.29058581002404754,0.2736142575740814,0.7528958527746044,0.4581599230514956,1e-05,0.36885198950767517,1e-05
3,42,12,0.28972732639758386,0.2728586196899414,0.7516111160073045,0.45969232402875826,1e-05,0.26670506596565247,1e-05
