outer_fold,selected_alpha,inner_mae,inner_spearman
0,1000.0,0.5280505635164626,0.09249064506829427
1,1000.0,0.5116275198248788,0.06728363727882097
2,1000.0,0.5315648264222067,0.08397788776476776
3,1000.0,0.5337443926745771,0.09084845767638844
4,1000.0,0.5102774607732515,0.14871518438324238
