fold,seed,epoch,train_loss,validation_loss,validation_mae,validation_spearman,learning_rate,gradient_norm_last_batch,screen_huber_delta
0,42,1,0.18255528520200853,0.15832731127738953,0.7373978329795444,0.5169685360373464,0.01,0.2570425271987915,0.25
0,42,2,0.15351801717949806,0.15811942517757416,0.7348845428935878,0.5411024896433528,0.01,0.4675207734107971,0.25
0,42,3,0.15508880285459145,0.14733335375785828,0.6879867874546165,0.5526618586625488,0.01,0.17211423814296722,0.25
0,42,4,0.14700670595481016,0.14793074131011963,0.6896205931843216,0.5707809922169981,0.01,0.6694830060005188,0.25
0,42,5,0.14694989787640972,0.14753158390522003,0.6785753726339212,0.5721993227556109,0.01,0.14499728381633759,0.25
0,42,6,0.14341043070655002,0.146900475025177,0.6798211935019186,0.5751773800333575,0.01,0.08389517664909363,0.25
0,42,7,0.14145113572896084,0.14060188829898834,0.6571920008958808,0.5975851108482421,0.01,0.1300402581691742,0.25
0,42,8,0.13768757482555424,0.15307216346263885,0.7101594051459531,0.6092010411750871,0.01,0.16667096316814423,0.25
0,42,9,0.13638241996831982,0.13864348828792572,0.6476685864921906,0.6147032691175143,0.01,0.13508938252925873,0.25
0,42,10,0.14108832460697565,0.15059003233909607,0.7037557725044017,0.6024278305203551,0.01,0.11058396846055984,0.25
0,42,11,0.13955516003559684,0.13914574682712555,0.6469710978214424,0.6071934596052512,0.01,0.16467715799808502,0.25
0,42,12,0.13390845961659867,0.13909649848937988,0.6512802032455108,0.6148134844098703,0.01,0.22036264836788177,0.25
0,42,13,0.1357380694986504,0.1371413618326187,0.6467709378476364,0.6225508584421325,0.01,0.1774473637342453,0.25
0,42,14,0.13230851069789065,0.13476166129112244,0.6367670011969511,0.6198359952825321,0.01,0.27071741223335266,0.25
0,42,15,0.1327549990371009,0.14039114117622375,0.6532535439599698,0.6269595102146597,0.01,0.15608179569244385,0.25
0,42,16,0.1322234009025253,0.15988396108150482,0.7250878713469598,0.6148868076380031,0.01,0.8350369930267334,0.25
0,42,17,0.13890648995047417,0.1377784162759781,0.6411657494550771,0.622671133384809,0.01,0.1427505761384964,0.25
0,42,18,0.13251480587732012,0.13609060645103455,0.6362145111792555,0.6271461948807666,0.01,0.06789987534284592,0.25
0,42,19,0.1307273683425422,0.1363479048013687,0.6321748885716466,0.6308512723051812,0.01,0.161003977060318,0.25
1,42,1,0.18888270560269044,0.15042981505393982,0.7024692389712027,0.4578317389377386,0.01,0.2361869513988495,0.25
1,42,2,0.1547380703130615,0.14940795302391052,0.6886144575766207,0.5003838061045405,0.01,0.29198557138442993,0.25
1,42,3,0.14821273720153025,0.15594331920146942,0.728310919748828,0.50125518625995,0.01,0.3189752399921417,0.25
1,42,4,0.15549691468755775,0.14539845287799835,0.6711284238732627,0.5211315659459703,0.01,0.46997031569480896,0.25
1,42,5,0.1502051919253073,0.14829134941101074,0.6953749939215736,0.5309895162801291,0.01,0.15658694505691528,0.25
1,42,6,0.14607706805255927,0.14563539624214172,0.6824868879475045,0.5353415725148636,0.01,0.05970984324812889,0.25
1,42,7,0.1474041995991056,0.14578965306282043,0.685968510423897,0.5504317013334865,0.01,0.4780096709728241,0.25
1,42,8,0.14496691007480442,0.1405227929353714,0.6473406914139365,0.5650137816375219,0.01,0.17337113618850708,0.25
1,42,9,0.13789093901620847,0.1375063955783844,0.6435596171979233,0.5644648017270472,0.01,0.05700203403830528,0.25
1,42,10,0.13484535972648692,0.13537412881851196,0.6362757055855652,0.5826086862267734,0.01,0.12859712541103363,0.25
1,42,11,0.13764227479417748,0.14263394474983215,0.6704079990073348,0.5722423610894862,0.01,0.09929733723402023,0.25
1,42,12,0.13615601078929188,0.13545839488506317,0.6356468059842005,0.5717474726769334,0.01,0.04372852295637131,0.25
1,42,13,0.13453840317013108,0.13460461795330048,0.6344220397504456,0.5870742245266313,0.01,0.23176918923854828,0.25
1,42,14,0.1319807950024293,0.13640046119689941,0.6434707877810583,0.5865146294942155,0.01,0.09807681292295456,0.25
1,42,15,0.13422224010262535,0.13737723231315613,0.6440372250076545,0.5754052302872056,0.01,0.20081816613674164,0.25
2,42,1,0.1995890658759625,0.15259099006652832,0.7127040326613125,0.4618635976649878,0.01,0.21249015629291534,0.25
2,42,2,0.15608027924165546,0.14964044094085693,0.7011115598607314,0.5122336581311561,0.01,0.0977148711681366,0.25
2,42,3,0.1505872654524919,0.14460785686969757,0.6826502921727384,0.5475129160057598,0.01,0.21005746722221375,0.25
2,42,4,0.14740041756184302,0.14331009984016418,0.6709844438555708,0.5626639163640283,0.01,0.11702043563127518,0.25
2,42,5,0.14474351065181126,0.14351145923137665,0.6662503476705965,0.5715601660807719,0.01,0.11936227232217789,0.25
