model,selected_alpha,development_oof_mae,development_oof_spearman
ridge_member1_384d,10.0,0.6730299821906989,0.586348945367336
ridge_member2_384d,100.0,0.6248929336789177,0.6621509077254902
ridge_mean_384d,100.0,0.6292378044910735,0.6529727714133131
ridge_concat_768d,100.0,0.6262024466987571,0.6637836684161205
