dataset,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,similarity_bin
lockbox_all_790,Frozen Nesso-1,121.0,1.0187686570247934,1.431299895726931,1.0758680714240372,0.15619860205725028,0.10294678068189292,0.8090735859504131,2.011411208403432,0.45771362342267785,<=0.3
lockbox_all_790,Affine calibration,121.0,0.9331902983471074,1.210130009901244,0.985493261528452,0.15619858093606462,0.10294678068189292,0.1414716652892562,2.7147009983331767,0.36998458261606076,<=0.3
lockbox_all_790,Fine-tuned Nesso-1,121.0,0.6780900834710742,0.9376543394577423,0.7160953228442664,0.6109951055681712,0.5275412796189355,0.09016523223140493,-0.6310507964376827,1.120674393792905,<=0.3
lockbox_all_790,Frozen Nesso-1,385.0,0.7347717880519481,1.0699765110514858,0.9502841064254207,0.37065734541943435,0.3375606653076205,0.5137909625974026,-1.736079956609039,1.2435734033113897,"(0.3,0.4]"
lockbox_all_790,Affine calibration,385.0,0.7762129924675325,0.9562461212941858,1.003880227762176,0.37065734096641356,0.3375606653076205,-0.1971897072727273,0.17470494112363863,1.0052203060566525,"(0.3,0.4]"
lockbox_all_790,Fine-tuned Nesso-1,385.0,0.584932021038961,0.7896108236646164,0.7564955704223716,0.6240944213203886,0.5596647646488702,-0.06158990987012989,0.11182644071324108,0.9886925299518327,"(0.3,0.4]"
lockbox_all_790,Frozen Nesso-1,198.0,0.7774613545454545,1.1027482065427587,0.9575639269942054,0.3711621023415387,0.36998870280805923,0.5831968333333333,-1.1074952176915833,1.1052639357867888,"(0.4,0.5]"
lockbox_all_790,Affine calibration,198.0,0.753251361111111,0.9462173278499519,0.9277455749308444,0.37116206601274,0.36998870280805923,-0.13664170656565658,0.590773733767078,0.8934202382959576,"(0.4,0.5]"
lockbox_all_790,Fine-tuned Nesso-1,198.0,0.5521777691919193,0.7465366142547908,0.6800923415356729,0.6724347470728181,0.6149572588356061,-0.013708891414141404,-0.24271873911601818,1.0584931434414426,"(0.4,0.5]"
lockbox_all_790,Frozen Nesso-1,67.0,0.8531585328358209,1.2046479089960485,0.973480655057242,0.32422252902735915,0.23300874025819432,0.6442638940298507,-3.042116131223721,1.4843259778554494,"(0.5,0.6]"
lockbox_all_790,Affine calibration,67.0,0.8603919955223881,1.0165972541680226,0.9817342629430424,0.3242225222697974,0.23300874025819432,-0.08266254776119399,-0.7614077685058428,1.1998282348591476,"(0.5,0.6]"
lockbox_all_790,Fine-tuned Nesso-1,67.0,0.6378039597014926,0.8370230604881566,0.7277543300475833,0.6515881329168625,0.5603623742340166,0.06255555373134335,-1.7808628859443765,1.393277574030266,"(0.5,0.6]"
lockbox_all_790,Frozen Nesso-1,19.0,1.403336815789474,1.7433602547055587,1.1036175289735102,0.6524401554047421,0.6456140350877193,1.2170433105263154,-15.990487750686771,4.09259168900706,>0.6
lockbox_all_790,Affine calibration,19.0,1.165680947368421,1.3004951307085237,0.9167192880794703,0.6524402177758105,0.6456140350877193,0.4488914526315788,-9.702105922770247,3.3081728651107607,>0.6
