probe,learning_rate,seed,best_epochs,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
random_one_hidden_twin_mlp,0.0001,42,35;30;27;19;39,3344.0,0.6128649490240355,0.845012366364676,0.6639766445375138,0.6720465096663225,0.6508310330390004,0.09906788900665515,0.041199380659616106,0.9680887304203054
random_one_hidden_twin_mlp,0.0003,42,20;23;20;16;15,3344.0,0.6037422903184383,0.8385213222808607,0.6540931745719867,0.6776227581407135,0.6566451343354239,0.07522280652799503,0.23821942005875604,0.9283019023456875
random_one_hidden_twin_mlp,0.001,42,23;8;9;13;7,3344.0,0.608389608233595,0.8349989934978096,0.6591280693890564,0.6819218773892941,0.6491817033796268,0.09819329925230642,0.08555280571881388,0.9581888317704845
random_one_hidden_twin_mlp,0.003,42,25;10;15;10;5,3344.0,0.6127513327108063,0.8406765395418476,0.6638535528538683,0.6769522615085352,0.6459296878636566,0.08325009313097237,0.2760465483311822,0.9179636048312516
random_two_hidden_twin_mlp,0.0001,42,20;23;26;29;24,3344.0,0.6203908628934006,1.1686636415722433,0.6721302043813537,0.4786626073819279,0.6525340858197718,0.08937526087398563,2.2274981689548374,0.4717387303685878
random_two_hidden_twin_mlp,0.0003,42,26;8;18;16;22,3344.0,0.6129745354203215,1.0992942566765431,0.6640953702173047,0.5188313573294433,0.658272491378232,0.13523701513740266,1.907290439682942,0.539110694237268
random_two_hidden_twin_mlp,0.001,42,20;7;15;9;31,3344.0,0.6062054348329876,0.8907627087267009,0.6567617403504438,0.6403655349340039,0.6543595814552594,0.09753145722638305,0.7139234950935791,0.815326752764312
random_two_hidden_twin_mlp,0.003,42,14;4;3;9;15,3344.0,0.6195914256440093,0.8998176107164289,0.6712640956844631,0.6332007115028092,0.6339331009717253,0.13908466054591667,0.6161923680912506,0.8297221688198277
