comparison,metric,estimate,ci_lower,ci_upper
expanded_grid_minus_historical_grid,mae,0.0015537238700918943,-0.004560764840251213,0.007439589874925255
expanded_grid_minus_historical_grid,spearman,0.0012296161639262504,-0.007004140955266036,0.009684467789216
