learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope,validation_huber,best_epochs,active_n,active_mae,active_predicted_above_6,active_recall_at_6,prediction_maximum
1e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.7720574332100655,1.026810343207976,0.8364454594921866,0.4573486559631819,0.4317585317870392,0.1987275173885098,-0.29436845964506914,1.0212762379821583,0.280098633368629,13;5;11;27;28,55,1.310917699233073,1,0.01818181818181818,6.786174774169922
3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.7186397317312854,0.9621285532757546,0.7785728298969248,0.5448463651095352,0.5088286939111817,0.14232696300017605,-0.591788884601613,1.1012575449865765,0.2547948346447282,29;29;27;28;29,55,1.3992535037388547,0,0.0,5.577051162719727
0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.6630015401425277,0.9023009370537464,0.718294525813671,0.6206844816682955,0.5895988821487638,0.14364069321894016,-0.6243342710205786,1.1082615628500039,0.22910994350813516,28;27;30;28;27,55,1.387960664688562,0,0.0,5.543484210968018
0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.6347364844136563,0.8681180804986779,0.6876722216822174,0.6511542197415339,0.624375716317267,0.11534436966343188,-0.33760728890082325,1.050379001015269,0.21643495435645246,26;16;22;21;21,55,1.3434307715070213,0,0.0,5.951640605926514
0.001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.624986351174175,0.8569095668499168,0.6771089470775041,0.6644215478444465,0.6335470821134103,0.12633836653914005,-0.37908488063046286,1.057146129468277,0.21191642153807683,18;15;19;21;13,55,1.3219964167249165,0,0.0,5.638987064361572
0.003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.62441363254703,0.8534200625153852,0.676488464876782,0.6656594764591576,0.635766183387748,0.10983530998329624,-0.3645028435736945,1.0577961306764483,0.2115058827070099,19;13;11;18;13,55,1.3342976493229615,0,0.0,5.5795817375183105
0.01,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.6242618239315235,0.852100355271475,0.6763239957302002,0.6661631446520118,0.635935080810276,0.10455440533317845,-0.33754427576826246,1.0529398895160873,0.21148775876081896,7;8;14;20;13,55,1.3434684373076362,0,0.0,5.497679710388184
0.03,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.6251647311581682,0.8485864975590381,0.6773022035908894,0.665923303320358,0.633608087685846,0.07479426863190489,-0.1924579564919672,1.0269175271147315,0.2114186510586293,11;17;14;12;13,55,1.342246841196685,0,0.0,5.519652366638184
0.1,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,3344.0,0.6542874363012022,0.8758389352471225,0.7088536833606499,0.6397775382716864,0.6096968569914937,0.0631560103555313,-0.5442457374676561,1.110351086566228,0.22387251816647427,10;8;14;3;6,55,1.4885539628203313,0,0.0,5.22979736328125
