budget,method,outcome,rho,partial_rho_potency_charge_fold,partial_rho_plus_SE
100,head_only,absolute_movement,-0.42385513207877545,-0.33465284366001036,-0.3375929835505129
100,head_only,difference_distance_from_truth,0.35656752346159004,0.14189250215471835,0.14519448576679211
100,head_plus_lora,absolute_movement,-0.4293055044567223,-0.31317912384933383,-0.31745877629378727
100,head_plus_lora,difference_distance_from_truth,0.34384288573558464,0.11420703288050488,0.11911506564247946
500,head_only,absolute_movement,-0.30565901644028876,-0.2078126698887922,-0.20649847421749534
500,head_only,difference_distance_from_truth,0.30532177582104364,0.07233685135399318,0.07428460578914237
500,head_plus_lora,absolute_movement,-0.3137419856350239,-0.16251208871529396,-0.16282627296675475
500,head_plus_lora,difference_distance_from_truth,0.30417158163542085,0.05013076008892338,0.053767684179242124
