budget,method,stratum,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
100,descriptor_lightgbm_rdkit_mordred,lt4,1036,3629.9730764192436,818.9342623395676,1.0635642784431738,1.2922175481968514,0.159072853358061,1.2692976334960304,1.0286275444970459,1.51012476164733,2.835916988416989,4.105214621913018,0.7026480380032734,0.5463237535319291,0.7775212111662995,1.2325,0.7911719976712428,0.6419245417210895,2.322685968975854,5.652825424590983,1.61,3.99,0.20575559063513751,1.0600587815453484,1.098228106305184,0.472007722007722,2.3062934609387993,0.6167953667953668,2.8947242613999475
100,descriptor_lightgbm_rdkit_mordred,4to5,1257,8545.513503531074,1139.9038819884247,0.37882255207884225,0.3838765761683601,0.1292390754819626,0.00025636601425419,-0.02664307213481641,0.4869136562787432,4.585182975338107,4.5854393413523615,0.2665338639814909,0.4418664717433727,1.6578248825224606,0.41999999999999993,0.6137931228313791,1.4614121972175695,2.8477803404006243,5.770603896442069,4.0,4.99,0.07478114715728433,0.3718609480712586,0.38252009415323707,0.9419252187748608,2.2810499416906045,0.979315831344471,2.8533321541130547
100,descriptor_lightgbm_rdkit_mordred,5to6,995,9463.602135115412,980.1715817135897,0.6004489391189918,0.5959158714997127,0.12798141735535165,-0.5531516517182111,-0.5600452670700905,0.7165814158910769,5.339572864321608,4.786421212603397,0.25173097921555226,0.41605120601807466,1.6527612426352112,0.3799999999999999,0.5666910035274775,1.4912921145459939,3.216550748414477,6.239379764835656,5.0,5.99,0.0836370574791714,0.6118234448369161,0.5959293154610509,0.8562814070351759,2.313763689889679,0.9276381909547738,2.8828022178210833
100,descriptor_lightgbm_rdkit_mordred,ge6,56,556.5977961432507,55.94354064284147,1.3742884149665504,1.37634859757373,0.4033156763045534,-1.37634859757373,-1.3742884149665504,1.4349467150373947,6.302563468158348,4.926214870584618,0.27150028399727333,0.4209537161627136,1.5504724708388933,0.26624999999999943,0.4941842196453763,1.8560909658042342,3.8826810756139523,5.750155841505634,6.0,7.54855421686747,0.24316262586976142,1.357483162464782,1.37634859757373,0.30357142857142855,2.180852039029845,0.5714285714285714,2.7298867966227482
100,descriptor_lightgbm_rdkit_mordred,ge4,2308,18565.713434789737,2141.272332721013,0.5216373199746842,0.49936944100951974,0.26058924848341164,-0.2717240740224573,-0.3389393164473489,0.6328134639398718,4.952076929903322,4.680352855880865,0.500095031325158,0.4432645068438888,0.8863605496525752,0.6762500000000005,0.570591427353758,0.8437581180831906,2.8477803404006243,6.239379764835656,4.0,7.54855421686747,0.3052663522322322,0.5500533621033266,0.5010937975544801,0.8895147313691508,2.292721994077553,0.9471403812824957,2.863041761292444
100,head_only,lt4,1036,3629.9730764192436,818.9342623395676,1.3842211149392958,1.6029070235403347,0.15571232789705478,1.5887475904258521,1.370605749193814,1.7941644681420228,2.835916988416989,4.42466457884284,0.7026480380032734,0.5860620759862412,0.8340763003504053,1.2325,0.6062465906143188,0.49188364350046154,0.7165312767028809,6.2720232009887695,1.61,3.99,0.20711605742545797,1.3868260354879598,1.417627823285608,0.3696911196911197,2.5365499862464698,0.6611969111969112,3.9492933484670276
100,head_only,4to5,1257,8545.513503531074,1139.9038819884247,0.34628482461405413,0.3621047675163858,0.115588096146296,0.22960716200519765,0.19829816823293686,0.4679370291034554,4.585182975338107,4.814790137343304,0.2665338639814909,0.33691012246354907,1.2640424651140965,0.41999999999999993,0.4067726135253906,0.9685062226795017,3.7012195587158203,6.470167636871338,4.0,4.99,0.08062448227635434,0.34149346329578306,0.35783670182969035,0.9737470167064439,2.4959812873530782,0.9968178202068417,3.9132602223082964
100,head_only,5to6,995,9463.602135115412,980.1715817135897,0.47361896730906755,0.46840377390684196,0.12226829158270065,-0.3972230760296385,-0.4076669840487808,0.5613792168608533,5.339572864321608,4.94234978829197,0.25173097921555226,0.33953948949595625,1.3488188484152175,0.3799999999999999,0.4078822135925293,1.07337424629613,3.714681625366211,6.738335609436035,5.0,5.99,0.09235683918482195,0.4883910712703827,0.4685780885895471,0.9668341708542714,2.510230688967298,1.0,3.99930403367239
100,head_only,ge6,56,556.5977961432507,55.94354064284147,1.107741545924339,1.1097917779259345,0.1555946763463134,-1.1097917779259345,-1.107741545924339,1.211280807179108,6.302563468158348,5.192771690232413,0.27150028399727333,0.4879263270368191,1.7971484959541306,0.26624999999999943,0.5774998664855957,2.1690135830444954,4.096983432769775,6.896758556365967,6.0,7.54855421686747,0.1600798689570793,1.1078249970605867,1.1097917779259345,0.5535714285714286,2.438010847227914,0.8571428571428571,3.767107583454677
100,head_only,ge4,2308,18565.713434789737,2141.272332721013,0.4340199285378877,0.42607269816692245,0.24121626690163336,-0.07312352581144248,-0.1497386555718619,0.5391811475963069,4.952076929903322,4.87895340409188,0.500095031325158,0.35165598117619673,0.7031783144183104,0.6762500000000005,0.4103196859359741,0.6067573914025491,3.7012195587158203,6.896758556365967,4.0,7.54855421686747,0.35737639790336817,0.45737042633613867,0.42522856202198506,0.9605719237435009,2.500717773470556,0.9948006932409013,3.946808335190216
100,head_plus_lora,lt4,1036,3629.9730764192436,818.9342623395676,1.2726864635649568,1.481675704335614,0.1712033871905642,1.4465726807218722,1.2388206402404782,1.694027965298751,2.835916988416989,4.282489669138861,0.7026480380032734,0.6773269863830412,0.9639633924088262,1.2325,0.7196646332740784,0.5839063961655808,0.27306032180786133,6.086215019226074,1.61,3.99,0.19108396312176296,1.275905127616683,1.3039445002328083,0.416988416988417,2.416217825164206,0.6862934362934363,3.832333964012765
100,head_plus_lora,4to5,1257,8545.513503531074,1139.9038819884247,0.3726861295699316,0.38506951462587097,0.14499018298623986,0.1963100225088989,0.16560320110134477,0.49917994598676724,4.585182975338107,4.781492997847005,0.2665338639814909,0.40986364681114107,1.537754492763454,0.41999999999999993,0.5021209716796875,1.1955261230468752,2.803079128265381,6.561429977416992,4.0,4.99,0.08448663230928091,0.36787886199382297,0.3817186758902425,0.9681782020684169,2.3859472129718595,0.994431185361973,3.79338639728968
100,head_plus_lora,5to6,995,9463.602135115412,980.1715817135897,0.48280630560570054,0.4791726300896113,0.1519889687630045,-0.37520374053686706,-0.3847763474348565,0.5839090199975882,5.339572864321608,4.964369123784741,0.25173097921555226,0.4092364680540247,1.625689731670267,0.3799999999999999,0.48646092414855957,1.280160326706736,3.098236560821533,6.66790246963501,5.0,5.99,0.09156939826834741,0.49433908084323414,0.47919718715523585,0.9587939698492463,2.384184946759861,0.9979899497487437,3.8946618109468245
100,head_plus_lora,ge6,56,556.5977961432507,55.94354064284147,1.0217706158858826,1.024116827871221,0.19134863756297502,-1.024116827871221,-1.0217706158858826,1.1467623449504944,6.302563468158348,5.278446640287127,0.27150028399727333,0.5251669721530854,1.9343146328287437,0.26624999999999943,0.6717358827590942,2.5229516723346315,4.118773937225342,7.101966381072998,6.0,7.54855421686747,0.15095005244581097,1.0160000758151955,1.024116827871221,0.625,2.344786424636841,0.8392857142857143,3.6416316747665407
100,head_plus_lora,ge4,2308,18565.713434789737,2141.272332721013,0.4482777588695527,0.4411437128183152,0.28340641450607296,-0.07968655368339914,-0.15054208149176745,0.5608967077080361,4.952076929903322,4.872390376219923,0.500095031325158,0.42723569865410094,0.854309025070708,0.6762500000000005,0.5060769319534302,0.7483577551991568,2.803079128265381,7.101966381072998,4.0,7.54855421686747,0.34068366710637277,0.4671509851284323,0.44055553032548794,0.9558058925476604,2.3841887818506726,0.9922010398613518,3.833365068055521
100,native_continuous,lt4,1036,3629.9730764192436,818.9342623395676,1.7307583790279668,1.9915840195320746,0.09735117377446713,1.9915840195320746,1.7307583790279668,2.133345377129108,2.835916988416989,4.8275010079490634,0.7026480380032734,0.3559873122601863,0.5066367413076416,1.2325,0.42729222774505615,0.34668740587834174,3.730055809020996,6.315380573272705,1.61,3.99,0.14079734379276987,1.7340963250541708,1.7695116147194732,0.3716216216216216,3.3732828319210797,0.6563706563706564,4.593844378408778
100,native_continuous,4to5,1257,8545.513503531074,1139.9038819884247,0.4603860382205112,0.48449445572749145,0.08327739717453632,0.45583846540610373,0.42728257608214426,0.595871408554894,4.585182975338107,5.041021440744211,0.2665338639814909,0.29575835422582675,1.109646443449172,0.41999999999999993,0.34494638442993164,0.8213009153093612,4.261742115020752,6.421951770782471,4.0,4.99,0.06424425381427616,0.4547614236056346,0.4784465276366708,0.9888623707239459,3.333566566958917,0.9992044550517104,4.552359677893639
100,native_continuous,5to6,995,9463.602135115412,980.1715817135897,0.3370070078639447,0.33431723168147864,0.10987921143853772,-0.2024561570517382,-0.21248735461724058,0.41799359951566656,5.339572864321608,5.13711670726987,0.25173097921555226,0.2979744536258116,1.1837019605388417,0.3799999999999999,0.3766167163848877,0.9910966220654942,4.353365421295166,6.7233123779296875,5.0,5.99,0.10376935147316566,0.34819833522635707,0.33424316315120073,1.0,3.3408095470409296,1.0,4.629394257166877
100,native_continuous,ge6,56,556.5977961432507,55.94354064284147,0.9262333013811044,0.9266911793863096,0.21534412587473073,-0.9225695100257402,-0.9220864383178432,1.006596384033046,6.302563468158348,5.379993958132608,0.27150028399727333,0.44068872122505803,1.6231611795643053,0.26624999999999943,0.4425128698348999,1.6620201683939937,4.53795051574707,7.441765785217285,6.0,7.54855421686747,0.2724346172747943,0.9302547029419326,0.9266911793863097,0.9642857142857143,3.285109013829913,1.0,4.444652616637095
